,title,contents
0,"한남대 의류학과, 2일 ‘제27회 졸업작품발표회’ 개최",? News1 한남대 의류학과 ‘제27회 졸업작품발표회’ 학생 작품들 ? News1 (대전ㆍ충남뉴스1) 박찬수 기자  한남대 의류학과가 6월 2일 대전 컨벤션센터(DCC)에서 ‘제27회 졸업작품발표회’를 개최한다. 이날...
1,"‘내일도 맑음’ 설인아, 의류사업 밑바닥부터 시작",설인아가 의류사업을 시작하기 위해 밑바닥부터 일을 배우기 시작했다. 5월 31일 방송된 KBS 1TV 저녁... 강하늬는 죽은 부친과 의류 상표권 계약을 맺었던 김호철을 찾아가 부친이 못한 의류사업을 시작해보고 싶다고...
2,‘아침발전소’ 신세계 열린다는 의류 건조기 열풍… 200% 활용을 위한 궁금 ...,"잡은 ‘의류 건조기’ 에 대해 심층적으로 파헤친다. 실생활과 밀접하게 연관되어 있는 다양한 상식과 소문을 파헤쳐보는 ‘오해타파’ 코너에서는 최근 주부 사이에서 열풍이 불고 있다는 가전제품, ‘의류 건조기’..."
3,中 7월부터 가전·의류·화장품 등 수입관세 인하,"가전·의류·화장품 등 일부 소비재 관세를 대폭 인하하기로 결정했다. 수입산 세탁기와 냉장고 등 가전제품에 부과됐던 관세는 평균 20.5%에서 8%로 대폭 인하된다. 의류, 신발, 모자, 주방용품, 체육용품 등에 대한 관세는..."
4,"환경가전 트렌드 이끄는 코웨이, ""이번엔 의류청정기""","- ''의류관리+공기청정'' 의류청정기 이달 출시하며 마케팅 박차 - 기획 초기부터 소비자 니즈 파악, 공간활용성도 높아 사진코웨이 가 올해 전략제품 ‘의류청정기’(Fresh Wear Styling System)를 공식 출시하고 환경가전시장..."
5,쿨~한 그녀 비밀은 냉감티셔츠… 기능성 의류의 초대,"낮에는 더워서 부채질을 하게 되는 요즘, 야외활동을 즐기는 사람들에겐 기능성 의류가 필요한 계절이다.... 여름철 평상복으로 입기 좋은 리넨 소재 의류도 대거 출시되고 있다. 에잇세컨즈의 ‘리넨 컬렉션’은 남성복..."
6,"‘내일도 맑음’ 설인아, 의류사업 뛰어드나.. 새로운 시작 (종합)",설인아가 의류사업에 뛰어들 것을 예고했다. 5월 30일 방송된 KBS 1TV 저녁 일일드라마 ‘내일도 맑음’ 18회... 이후 이날 방송말미 강하늬는 죽은 부친과 의류 상표권 계약을 맺은 김호철을 찾아가 “이제부터 시작해보려고...
7,유명 의류업체 ‘아메리칸 이글’ 일본 전범기 티셔츠 판매 논란,미국의 유명의류 업체 ‘아메리칸 이글’이 일본 전범기 티셔츠를 버젓이 판매하고 있어 논란이 일고 있다.... 한인 최모씨는 “도대체 미국내 의류업체들의 전범기에 대한 무지가 어디까지인지 모르겠다”며 “특히...
8,"베일 벗은 삼성 의류청정기, 선발 주자 LG 스타일러 꺾을 비책은?",특허청에 출원된 삼성 의류청정기 상표 정보. / 키프리스 갈무리 삼성전자가 빠르면 7월 의류관리기 시장에 뛰어든다. 29일 특허정보넷 키프리스에 따르면 삼성전자는 14일 특허청에 '삼성 의류청정기'라는 상표를...
9,"롯데·현대아울렛, 유명 브랜드 의류 등 최대 30% 추가 할인 행사","롯데·현대아울렛은 내달 1~3일까지 유명 브랜드 의류 등을 최대 30% 추가 할인하는 상반기 세일을... 폴로, 나이키, 노스페이스 등 남녀 의류 브랜드와 코치, 마이클코어스 등 해외 브랜드, 닥스, 쿠론 등 핸드백 브랜드..."
10,부안 의류상점 불 4700만 원 피해,지난달31일 오전 2시 40분께 부안군 부안읍 한 의류상점에서 불이 났다. 이 불로 건물 1동 1층 123㎡ 중 78㎡와 안에 있던 의류 및 냉장고 등이 타 소방서 추산 4700만 원 상당의 재산피해가 발생했다. 경찰과 소방당국은...
11,쿨~한 그녀 비밀은 냉감티셔츠… 기능성 의류의 초대,"낮에는 더워서 부채질을 하게 되는 요즘, 야외활동을 즐기는 사람들에겐 기능성 의류가 필요한 계절이다.... 여름철 평상복으로 입기 좋은 리넨 소재 의류도 대거 출시되고 있다. 에잇세컨즈의 ‘리넨 컬렉션’은 남성복..."
12,"공정위, 대리점 갑질 실태조사 제1과녁은 의류업종",공정거래위원회가 대리점에 대한 갑질 근절을 위해 분쟁이 잦은 의류업을 첫번째 실태조사 타깃으로 정했다.... 우선 올해 하반기 실태조사 대상은 지난해 분쟁조정 신청이 가장 많았던 의류업으로 정했다. 의류업은...
13,"의류 브랜드 「어널로이드」쇼룸, 오렌지 빛으로 물들이다","매 시즌 브랜드 고유의 독보적 감성을 선보이는 ’어널로이드’가 2018년 4월 1일, 서초동에 쇼룸 ’어널로이드 룸(UNALLOYED ROOM)’을 오픈했다. 쇼룸은 어널로이드의 브랜드 컬러인 ‘오렌지’가 돋보이며, 브랜드만의..."
14,"'지컷', 삽화가 '토드 셀비'와 협업 의류 출시",로브로 활용 가능한 지컷 원피스.(사진신세계인터내셔날) 신세계인터내셔날(031430)은 여성복 브랜드 ‘지컷(g-cut)’이 예술가 토드 셀비(Todd Selby)와 협업해 휴양지에서 입기 좋은 ‘리조트 컬렉션’을 출시한다고...
15,등산복에서 명품의류까지…30년 동안 옷 수선 ‘외길’ 걸어온 꾼,"오랜 세월만큼 노하우도 많아져 다른 곳에서는 쉽게 손대지 못하는 아웃도어나 명품 의류도 완벽히 다룰 수... 등산, 낚시 등의 아웃도어 용품에 널리 쓰이는 특수소재로 인해 기능성 의류는 수선하기가 힘든데요. 그래서..."
16,"대리점 울리는 갑질 실태조사, 분쟁 잦은 의류업종 '정조준'",잦은 의류업을 첫 번째 실태조사 타깃으로 정했다. 인기제품에 신제품을 묶어 대리점에 강제로 떠넘기는... 우선 올해 하반기 실태조사 대상은 지난해 분쟁조정 신청이 가장 많았던 의류업으로 정했다. 의류업은...
17,"이천희 가구로 유명한 '하이브로우' ""가구만 파는 곳이 아닌 의류, 캠핑 용품...",사진출처이천희 가구 하이브로우 홈페이지 캡처 [농업인신문최지원 기자] 효리네민박을 통해 유명세를 떨친 이천희 가구가 화제다. 방송 효리네민박을 통해 노출된 이천희 가구가 모두 완판을 하는 등 인기를 끌고 있는...
18,의류건조기 렌탈료 올린 SK매직…1위 탈환하나,"SK매직이 다음 달부터 의류건조기 렌탈료를 올리기로 결정하면서 업계 1위로 올라설지 이목이 집중된다. 29일 SK매직에 따르면 다음 달 1일부터 의류건조기 가격을 각각 화이트 2만1900원에서 2만7900원으로, 메탈실버..."
19,"서울지방변호사회, 구직자에 정장 등 의류 기증","등 의류 기증식을 갖는다. 이번 기증은 '청년 구직자 응원 캠페인'의 일환으로 비영리단체 '열린 옷장'과 함께 진행하는 행사로 서울변회 회원들을 대상으로 정장, 와이셔츠, 넥타이 등의 의류를 기증받아 청년 구직자와..."
20,'의류관리기' LG 독주를 막아라… 삼성·코웨이도 진출 채비,[뉴데일리-김희진 기자] 미세먼지 바람을 타고 의류관리기의 인기가 날로 높아지고 있다. 의류관리기는 앞서 몇 년간 LG전자가 내놓은 ‘스타일러’가 유일한 제품이었다. 그러다 최근엔 제품 인기가 높아지자 경쟁사들의...
21,중기 전쟁터 된 의류가전 시장,"뉴스토마토  이우찬 기자 | 미세먼지 등으로 의류 관련 가전 시장이 갈수록 커지면서 중소·중견기업들도... 별도의 세탁, 드라이클리닝 없이 살균, 스팀, 미세먼지 제거가 가능한 의류관리기는 지난해 10만~12만대에서..."
