,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343728417&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342617124&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343194592&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=327522346&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=331211745&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=816&docId=341160056&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=325457270&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=4010506&docId=342525326&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=327770932&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342154278&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
10,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334878908&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0
11,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=329940531&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0
12,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40106&docId=335094111&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0
13,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=4010502&docId=342337200&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0
14,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=4010506&docId=327568487&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0
15,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=336023934&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=16&search_sort=0&spq=0
16,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=339666996&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0
17,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=401&docId=327647903&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=18&search_sort=0&spq=0
18,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=328498246&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0
19,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338869954&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0
20,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=324548823&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0
21,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=319609166&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0
22,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334063862&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=23&search_sort=0&spq=0
23,https://kin.naver.com/qna/detail.nhn?d1id=5&dirId=512&docId=318273423&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=24&search_sort=0&spq=0
24,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333897995&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=25&search_sort=0&spq=0
25,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=332944196&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=26&search_sort=0&spq=0
26,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=4010503&docId=342791562&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=27&search_sort=0&spq=0
27,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=320837895&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=28&search_sort=0&spq=0
28,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=332408278&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=29&search_sort=0&spq=0
29,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=318542955&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0
30,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=318179227&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40107&docId=336343233&qb=6rWt66+87Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0
