,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340295657&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341884822&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341700422&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338253505&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=336094601&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330179279&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=326887214&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335530683&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=327821731&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=331800293&qb=6rWt66+87Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
