,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342417573&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340659220&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=3&dirId=3010201&docId=338684849&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340600977&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=9&dirId=90207&docId=339357827&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=321634633&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=322999938&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=322166472&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334382354&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341721544&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
10,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342872502&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0
11,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334969610&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0
12,https://kin.naver.com/qna/detail.nhn?d1id=12&dirId=1202&docId=321253639&qb=7IK87ISx7Lm065OcIOuniOydvOumrOyngA==&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0
