,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343447124&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342253366&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342765710&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1070402&docId=327575598&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=10&dirId=1001020206&docId=337857313&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=6080402&docId=337370601&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341934470&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341529399&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=326241395&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323132811&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
10,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=321798699&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0
11,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=321765544&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0
12,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335139863&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0
13,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=324978174&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0
14,https://kin.naver.com/qna/detail.nhn?d1id=10&dirId=1001020206&docId=339306202&qb=7IK87ISx7Lm065OcIO2Dre2DreyYpA==&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0
