,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343713486&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340188247&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338817497&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338196186&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335587982&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342417573&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333255080&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40309&docId=332380296&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341375056&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=331867781&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
10,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323132811&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0
11,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341441202&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0
12,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=328406148&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0
13,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338456678&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0
14,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334253507&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0
15,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=325362573&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=16&search_sort=0&spq=0
16,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341633849&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0
17,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=332015916&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=18&search_sort=0&spq=0
18,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=336643098&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0
19,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335366714&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0
20,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338482733&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0
21,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337875616&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0
22,https://kin.naver.com/qna/detail.nhn?d1id=5&dirId=512&docId=333935497&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=23&search_sort=0&spq=0
23,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=339155945&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=24&search_sort=0&spq=0
24,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337520051&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=25&search_sort=0&spq=0
25,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334766299&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=26&search_sort=0&spq=0
26,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343662841&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=27&search_sort=0&spq=0
27,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338659775&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=28&search_sort=0&spq=0
28,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343715458&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=29&search_sort=0&spq=0
29,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=410&docId=339142686&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0
30,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337312886&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334687449&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0
32,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=327243123&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=33&search_sort=0&spq=0
33,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334791422&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=34&search_sort=0&spq=0
34,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=322659228&qb=7IK87ISx7Lm065Oc67Cc6riJ66y47J2Y&enc=utf8&section=kin.qna&rank=35&search_sort=0&spq=0
