,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342692223&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=312005525&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=5&dirId=51001&docId=343742580&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=336963778&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335553870&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341719736&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=331936366&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=336897008&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=331798963&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334137638&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
10,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333058121&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0
11,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40107&docId=326973931&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0
12,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337438054&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0
13,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335933507&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0
14,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=329026191&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0
15,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340158966&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=16&search_sort=0&spq=0
16,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=328905497&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0
17,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341961878&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=18&search_sort=0&spq=0
18,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=331520360&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0
19,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340654036&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0
20,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337437670&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0
21,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=8110201&docId=331309197&qb=7Iug7ZWc7Lm065Oc65Sl65Oc66a8&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0
