,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343068260&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341926465&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342113170&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340226476&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=339846224&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342977929&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342099417&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40105&docId=337627845&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341961520&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335561210&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
10,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340012994&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0
11,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337901264&qb=7Iug7ZWc7Lm065Oc66as67O867mZ&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0
