,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343393084&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342492792&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342157881&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=339345494&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335444258&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337161585&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342793688&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343728417&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=336084160&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343710126&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
10,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=339598837&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0
11,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342285480&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0
12,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334626129&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0
13,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341651984&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0
14,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342678339&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0
15,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337705263&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=16&search_sort=0&spq=0
16,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340473084&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0
17,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=341145016&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=18&search_sort=0&spq=0
18,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335545233&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0
19,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334085379&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0
20,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335862917&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0
21,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337853701&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0
22,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337038140&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=23&search_sort=0&spq=0
23,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338310704&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=24&search_sort=0&spq=0
24,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333634640&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=25&search_sort=0&spq=0
25,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=335590808&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=26&search_sort=0&spq=0
26,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=243165412&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=27&search_sort=0&spq=0
27,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334891066&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=28&search_sort=0&spq=0
28,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342666537&qb=7Iug7ZWc7Lm065Oc7ISk6rOE7IKs&enc=utf8&section=kin.qna&rank=29&search_sort=0&spq=0
