,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337141918&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyytO2BrOy5tOuTnA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40107&docId=323997459&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyytO2BrOy5tOuTnA==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340477368&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyytO2BrOy5tOuTnA==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1060115&docId=328694369&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyytO2BrOy5tOuTnA==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=326656342&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyytO2BrOy5tOuTnA==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342941093&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=4010506&docId=342612884&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=343576761&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342941226&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1070402&docId=340378093&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyDiOuniOydhOq4iOqzoA==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
