,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340327745&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=11080102&docId=333318475&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=326716628&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1070402&docId=332328487&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40107&docId=322500178&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=332824670&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340823942&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1070402&docId=339191100&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=331128961&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330578427&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
10,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330771450&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0
11,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1060801&docId=331191207&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=12&search_sort=0&spq=0
12,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337141918&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0
13,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=322250430&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=14&search_sort=0&spq=0
14,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333184073&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0
15,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330961727&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=16&search_sort=0&spq=0
16,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330955613&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0
17,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333965558&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=18&search_sort=0&spq=0
18,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1060115&docId=341031359&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0
19,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1060801&docId=339305656&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0
20,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330566569&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=21&search_sort=0&spq=0
21,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=340300509&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=22&search_sort=0&spq=0
22,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=320198495&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=23&search_sort=0&spq=0
23,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=326093014&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=24&search_sort=0&spq=0
24,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330637619&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=25&search_sort=0&spq=0
25,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=326088711&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=26&search_sort=0&spq=0
26,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=330637720&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=27&search_sort=0&spq=0
27,https://kin.naver.com/qna/detail.nhn?d1id=1&dirId=1060115&docId=334132693&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=28&search_sort=0&spq=0
28,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342447020&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=29&search_sort=0&spq=0
29,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=320021294&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=30&search_sort=0&spq=0
30,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=332125536&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=31&search_sort=0&spq=0
31,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=334378133&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=32&search_sort=0&spq=0
32,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333668027&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=33&search_sort=0&spq=0
33,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342783350&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=34&search_sort=0&spq=0
34,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=401&docId=330909199&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=35&search_sort=0&spq=0
35,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=401&docId=339445144&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=36&search_sort=0&spq=0
36,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=331909453&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=37&search_sort=0&spq=0
37,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=333343082&qb=7Lm07Lm07Jik7Y6Y7J207Lm065OcIOyLoO2VnOy5tOuTnA==&enc=utf8&section=kin.qna&rank=38&search_sort=0&spq=0
