,link
0,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338159452&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=332102988&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=337535007&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=325572172&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=336459867&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=342399957&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=4010505&docId=336458985&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=323336247&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=338233954&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40104&docId=331126160&qb=7ZiE64yA7Lm065OcIO2YhOq4iOyngOybkA==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
