,title,content
0,"국민행복카드 체크카드로 신청하려 하는데 국민건강보험공단 홈페이지에서도 가능하다 하더라구요
신청할려고 들어가보니 카드사 비씨, 삼성, 롯데 선택하라하고 밑에 회원사 쭈욱 적혀있고 선택하라 하던데
이건 신용카드 신청아닌가요??
그냥 신청하면 체크카드로 오나요? 아니면 다른방법이 있나요?",
1,kb국민카드 체크카드 청소년 재발급,안녕하세요제가 국민은행 체크카드 잃어버리고 해지하고 재발급을 받아야되는데 재발급하러갈때 필요한거는 뭐고 가장 중요한게 부모님 동행해야하나요? 그리고 혹시 부모님도 가신다면 부모님 신분증 그런것도 필요한가요? 그리고 재발급 비용따로드나요
2,국민카드 체크카드,학생증용 체크카드를 만들려고 하는데 중학생입니다 가능할까요?
3,KB국민카드 신용카드 체크결제서비스 하이브리드카드만 신청이 가능해요?,
4,국민카드 체크카드 핸드폰에 연결하는법,안녕하세요 제가 체크카드를 작년에 만들었는데 폰으로 돈확인하고 돈누가 보내주면 알람오는거 같은거 됐으면 좋겟는데 어떻게 해야돼나요? KB국민카드 스타뱅킹 에서 카드연결 하려면 신분증이 있어야 한다고 했는데 제가 미성년자라서 주민등록증은 없거든요 그럼 안돼는 건가요? 할수있는법좀 알려주세요
5,국민카드 체크카드 질문이요,"20대초반이구요

그 체크카드중에 후불 버스카드까지 되는 거 있잖아요
그거 지금 요금이 미납된거같은데

신용등급에 문제생기나요?

저번달이랑 저저번달도 미납이었거든요

다만 며칠정도 뒤에 늦게돈을 입금해서 지불하긴했는데

이럴경우 어떤 문제가있나요


원래 미납시 문자로 교통대금미납으로 교통이용제한이될수있다
이렇게 문자가오는데 이번달은 안오더라구요

뭐죠"
6,KB국민카드 (체크카드) 결제,제가 시내에서 잘 알려지지않은 기부단체에 매월 5000 기부를 약속하고 카드번호 적고 왔는데 매월 문자와 메일로 5000원 결제가 완료되었다고 뜨는데요 제가 이 단체가 안알려지고 꺼림직해서 애초에 기부할 마음이 없어서 체크카드에 돈을 넣지 않았어요 그런데 계속 결제는 되었다고는 뜨는데 돈이 어디서 나가는거죠?
7,"제가 국민카드 체크카드를 쓰는데
저는 이 카드를 교통카드로 쓴 적이 없는데
교통대금이 자꾸 빠져나가네요ㅠ
왜 이러는 건지 아시는 분",
8,국민카드 체크카드 질문이요..,"20대초반이구요

그 체크카드중에 후불 버스카드까지 되는 거 있잖아요
그거 지금 요금이 미납된거같은데

신용등급에 문제생기나요?

저번달이랑 저저번달도 미납이었거든요

다만 며칠정도 뒤에 늦게돈을 입금해서 지불하긴했는데

이럴경우 어떤 문제가있나요


원래 미납시 문자로 교통대금미납으로 교통이용제한이될수있다
이렇게 문자가오는데 이번달은 안오더라구요

뭐죠"
9,국민행복카드 체크카드로 변경하려면 어떻게해야하나요?,"프리워크아웃 신청으로 신용카드 이용정지 상태이며,
국민행복카드는 삼성카드입니다.
바우처가 20만원정도 남아서 사용하고 싶은데 체크카드로 재발급 받아 사용하려면 어디로 전화하면 될까요?"
