,title,content
0,신한카드 리볼빙 계산이용,제가 80만원돈 일시불을 약정100% 최소10%를 선택형으로 3개월 했는데 이게 다음 달로 다 넘어가는건가요? 이번에 결제할 금액이 할부 20만원돈만 나오네요..? 이렇게 되면 3개월로 나눠 갚는건가요? 아니면 다음달에 그대로 80만원이 더해져서 계산되나요? 이자는 얼마인가요..일시불 이자율12.60 이라는뎅
1,신한카드 리볼빙 해지하고싶은데 대출받는게 좋을까요?,"리볼빙 신청한 달에 개인사정으로 카드값을 평소보다 20%이상 지출해
어찌저찌 쓰다보니 리볼빙 신청한게 1년정도 되었는데
월급에비해 현찰이 너무 안모여서 걱정입니다 월100만원씩 적금들고있긴하지만
나머지는 모두다 카드값으로 빠져나가서 고민입니다
현재 리볼빙 해지 페이지에가서 총잔액(이자포함) 3196000만원 나오구요
제가 매달 결제일이 27일인데 이번달에 해지신청하면 5월달안에 저금액을 모두 갚아야하는건가요?
당장 현찰이 150정도밖에없어서 어떻게해야할지 모르겠습니다
대출은 한번도 받아본적이없어서 좀 무섭기도하고요
카카오뱅크 신용등급 조회해보니 4등급 나오네여
조언좀부탁드립니다"
2,"현재 신한카드리볼빙 이용중인 사람입니다.

카드 결제일이 20일인대 그날 20일 당일 결제전 시간에도

리볼빙이 가능한지요....? 답변 주시면 감사하겠습니다.",
3,신한카드리볼빙,"12월20일 결제금액이 100만원 나왔으면 리볼빙신청해서

50만원납부하고 50만원은 1월달로 이월되나요??

만약에 1월달에도 안좋으면 계속 분할씩으로 리볼빙이 가능한지 궁금합니다"
4,신한카드 리볼빙 관련 질문,"이번에 카드로 60만원 정도 나왔는데요, 그중에 30은 할부에요 근데 한번에 다 갚는게 힘들어서 리볼빙 서비스를 이용하려 하는데 몇가지 궁금한게 있어서 지식인에 올립니다

1. 60만원을 한달에 20만원 혹은 30만원씩 갚으려고하는데 설정을 어떻게 해야하나요 ? 

1-1 들어보니까 리볼빙 서비스는 할부가 아닌 일시불에서만 적용 된다고 하던데, 그럼 30만원 내에서 리볼빙 설정을 하면 어떻게 설정해야하나요? 30만원으로 리볼빙 할꺼면 두달로 15만원 15만원 이렇게 갚으려고해요  

2. 위와 같은 경우일 경우엔 이자가 얼마정도가 붙나요 ?

3. 리볼빙 서비스가 대출과 같은 개념이라고 하던데, 3개월~4개월 이내로 갚으면 신용등급에 차질 없겠죠? 말을 들어보면 차라리 대출해서 갚는게 더 이득이라 할 정도인데 자세히 좀 알려주세요

4. 그리고 원래 결제일이 1일인데, 오늘 신청하면 다음달 1일에 20만원 혹은 30만원씩 빠지는건가요 ??

5. 위 질문과는 연관이 없지만 원래 신용 5등급이였는데 오늘 다시보니까 6등급으로 떨어졌더라구요 조회는 두번밖에 안했었고 연체된적도 없는데 왜이런걸까요 ㅠㅠ?..

답변 꼭 부탁드립니다 ㅠㅠ !"
5,신한카드 리볼빙 질문,"안녕하세요 신한카드 리볼빙 신청 하려는데 조금 헷갈려서요

100만원이라고 가정 했을때
50% 결제비율 10%최소결제

다음달 제가 내야하는 카드값이
50만원+이자 이고 나머지 50+이자가 그 다음달로 넘어가는게 맞나요?

그리고 결제비율 50%라면 제 통장에 200이 있어도 신용카드 대금이 100만원일시 무조건 50만원만 결제 되고 이월 되는게 맞나요?

약정적용신청 이라고 있던데 이걸 안하면
신청한 날 기준으로 그 이후 결제건에 한하여 리볼빙이 되는거고 저걸 신청하면 제가 1월 15일에 갚아야 하는 카드값
(12월~1월15일까지의 카드값) 도 포함되어 당장 1월부터 리볼빙이 되는건가요??"
6,"신한카드 리볼빙에대해 질문있어요 -내공 50

1.현재 카드 납부일이 4일 지난 상태인데 리볼빙 신청 가능한가요? 신용 5등급

2. 가능하다면 리볼빙 받으면 신용하락에 문제있을까요? 현금서비스처럼요",
7,신한카드 리볼빙 질문 드립니다,"신한카드 리볼빙 서비스 질문드립니다
127만원인데 90만원만 낼수있을거같아서
37만원을 이월약정 하려고 하는데
수수료가 얼마나올까요? 그리고 결제일 전에 리볼빙한거 결제할수있나요?"
8,신한카드 리볼빙 재발생,"리볼빙 재발생 비용에 대해서 궁금한게 있어서요
제가 1일이 결제일이구요. 이번달에 카드값을 다 못낼거 같아서 11월 28일에 리볼빙 약정비율 100%로 신청을 했고 고객센터에 전화 해보니까 다음달(1월 1일 결제건)부터 적용이 된다해서 11월 사용건부터 리볼빙 적용을 해달라했는데요.
그러고 나서 신한카드 어플로 1월 1일 결제예정내역을 보니까 리볼빙 재발생이라고 해서 95만원 정도가 더해져있는데 이거 뭔가여ㅠㅠ
11월 카드 사용내역은 할부 38만원 일시불 80만원 정도에요ㅠㅠㅠ 자세히 설명 좀 해주세요ㅠ
사진 첨부할게요!"
9,신한카드 리볼빙 궁금합니다,"신한카드 리볼빙 질문입니다
저번달에 리볼빙을 한번 했습니다
근데 이번달에도 리볼빙을 해야할거 같은데
할수 있나요?
원래 결제일은 27이라 이번달 27까지 결제되고 오늘 결제일 변경을 해서 8월은 건너뛰고 9월 13일에 결제됩니다
일단 이번달만 한번더 리볼빙 할수 잇으면 돼요
저번달 리볼빙 한거 80만원
합쳐서 지금 일시불 140만원인데
이거 전부 8월로 리볼빙 하고 싶습니다
가능한가요"
10,신한카드 리볼빙,"만기가 내년이라고 적혀있긴하던데
자동연장되나요???매년 자동연장이여서 신경안쓰다가 요번에보니..
만기일자를 보니 급 걱정이되어서요;;"
11,신한카드 리볼빙 적용했는데 한도가 살아나는 이유가 뭔가요?,
12,신한카드 리볼빙,1년전에 신용카드 만들었는데 리볼빙이 걸려있었더라구요.. 그래서 해지를 하려고 하니까 리볼빙 잔액이 150이고 이번달 카드값이 230만원 나왔습니다. 지금까지 리볼빙은 100%로 걸려있었습니다. 혹시 이걸 해지하면 230만원에 150만원을 포함한 380만원을 내야하는건가요? 매달 결제일은 5일입니다. 월급이 240이라 한달에 200씩 씁니다
13,신한카드 리볼빙,"리볼빙이 이번달 납부금 일부를 다음달로 미루는건데
만약 요번달 납부금이 150이고 리볼빙신청을해서 100만 납부하고 50은 다음달로 미루면 다음달 결제금이100이면 총 150이되는거잖아요 근데 이때 70을납부하고 또 리볼빙을 신청해도되나요?"
14,신한카드 리볼빙,"리볼빙 100% 3개월 신청했는데요
잘몰라서 여쭙니다
저렇게 나오는데
이번달 17일이 결제날인데 그때 리볼빙 대금 34만원만 내는건가요

아니면 저 34만을 뺀 금액이 결제 된다는건가요??"
15,신한카드 리볼빙 관련 문의드립니다,"1. 카드값 180만원정도 나와서 이번달에(결제일20일) 90만원만 납부하고 다음달에 나머지 절반을 납부하려고 사진과같이 신청하였는데 맞게 된건가요?
2. 다음달로 이월된 90만원을 다음달에 꼭 다 납부해야하는건지 아니면 2020년 8월 20일까지만 나눠서 납부하면 되는건지 궁금합니다.
3. 결제일이되면 알아서 카드에서 빠져나가나요?"
16,신한카드 리볼빙,제가 오늘 오전에 리볼빙에 대해 전혀 모른채로 신청을 했는데요. 금요일날 피부과에서 110만원 일시불 결제를 했어요. 어플에서는 할부전환이 안되더라구요. 리볼빙을 한 상태로 피부과 가서 일시불 결제 취소하고 할부결제를 해달라고 해도 되나요?? 리볼빙을 취소하고 해야하나요?? ㅠㅠ 피부과에서 이번 주말에 일시불 결제 취소하고 할부로 해준다는데... 리볼빙 신청한거 때문에 안될까봐 질문합니다. 아무 상관 없는건가요?
17,신한카드 리볼빙 질문이요!,"원래 다음달 10월1일에 결제예정금액이35만 정도되었는데
리볼빙신청해서 일반리볼빙 1년 약정결제비율30% 최소결제비율10% 수수료 21,5% 라고 나오고 결제예정금액이 171,155원으로 변경되서나왔는데요 결제예정금액클릭하니 일시불95,155원 리볼빙76000원 나오는데
제가궁금한건 10월1일 결제예정금액인 171.155원을 다납부해야하는지 일시불금액인 95,155원 만 납부해도 되는지 궁금합니다"
18,신한카드 신용카드 리볼빙 질문.,"신한카드 신용카드 리볼빙

리볼빙을 하려고 하는데 이것에 대해서
차근차근 잘 설명 해주실 분 구해여ㅠㅠ
최소결제금액은 뭐고
이월되는 금액은 어떻게 되는지 또 리볼빙하게되면 어떻게되는건지 알려주세요! 홍보나 광고는 사절할게여"
