,content
0,"안녕하세요 신용카드 만드려구 하는데 좋은 설계사님 및 신용카드 추천 받아볼려구요
현제 체크카드 사용중이고 회사 법인카드 개인으로 사용 중에 있습니다.

월 지출액
핸드폰(skt) 8만
주유(지정없음) 40+@(업무상 이동이 많음)
편의점 20(대부분 담배값)
점심식사 10
저녁식사 15
카페 5
영화 3~6
공과금 10
메인카드 이렇게 지출 예정이구 메인카드 추천 부탁드리겠습니다

지금 생각하는게 국민 비즈 티타늄 / 올쇼핑 티타늄 생각하고 있는데 다른거 좋은게 있으면 추천해세요

서브카드로 신한 심플플러스 만들 예정입니다.
서브카드는 짤짤이 털고 싶을때 사용할 용도로 생각하고 있어서요 ㅠㅠ"
1,"신용카드가 혜택이 더 많은 것 같아서 처음 만들어보려고 합니다

대학생이라 아직 사회초년생이고

월급 65에서 75정도 받는 4대 보험이 적용된 곳에서

아르바이트 중입니다 일한지는 8개월정도 되었구요


신용카드 발급가능한가요? 신용등급은 4등급 뜹니다"
2,"국민카드 이지픽카드 vs 신한카드 딥메이킹카드

어떤게 나을까요?"
3,기업은행 국민 신한 카드 연체8개월 총1000만원정도되는데 지금 회사입사되었고 월급받아서 최대한빨리 갚을려고하는데 회사까지는 찾아오지않겠죠?
4,국민이나 신한카드 설계사분들중 혜택 좋으신분 아이디좀 알려주세요 ㅠㅠ
5,"저는 20대 캐나다 영주권자고 곧 한국에 들어가서 거주하게 되어서 은행계좌를 개설하고 체크카드를 발급받아야 하는데요
해외 영주권자는 신한은행 신규 계좌개설이 가능한가요? 사이트에 들어가보니 계좌개설 제한고객에 외국인 또는 비거주자 라고 떠서요

만약에 가능하다면 체크카드 발급때 어떤 것들을 준비해가야 하나요?"
6,국민카드나 신한카드 좋은 혜택이나 조건으로 발급해주실분 추천좀 해주세요
7,신한카드에서 장기카드대출 카드론 받았는데 자금이 생겨서 상환한다고 했더니 가상계좌를 국민은행 계좌를 알려주네요? 신한카드면 신한은행 계좌를 알려주어야 되는 것 아닌가요? 고수님들 답변 부탁드립니다.
8,국민 신한카드 주말에도 즉시출금 되나용? ARS나 atm기계 이용했을 때요
9,"신한카드와 국민카드를 쓰고 있는데 두 카드 모두 10년전 지인소개로 그냥 만들었던 카드라 너무 혜택이 없는거 같아요,
보통 카드 사용량은 200만원~300만원 정도이구요

핸드폰에서 배민, 또는 인터넷 쇼핑으로 삼성페이 신한판페이를 많이 이용 합니다.

gs편이점. 홈플러스도 많이 이용하구요

오프라인에선 주로 음식점, 술집에서도 많이 사용을 해요

혜택이 좋은 카드로 꼭 추천 부탁드릴께요,

쓰는거에 비해 지금까지 너무 혜택이 없던 카드라 정말 좋은 카드로 추천을 부탁드립니다.!!"
10,"4대보험 안되구요 6개월이상재직했습니다
간단하고 빠르게 받고싶습니다"
