,content
0,삼성카드 발급 신청하려고 하는데 현금지원 가능한 분만 답변 달아주세요.
1,"신용등급 나이스 4
올크 6 등급
직업은 농업입니다 사업자없구요
사실상 주부 라고생각하시면 됩니다.
집은 자가이구요
대출은 마이너스통장 천만원짜리있는데
다 갚고 현재 70만원 가지고있어요

저희 어머니께서 만드시는건데요
현재 한달전 카드 3개 만들었구요
신한, 롯데, 국민 (신한 현금서비스 230 만원,
국민 현금서비스 600 만원 받았구요)
이번달 결제 신한카드는 다 갚았습니다.
국민은 리볼빙되있어서 최소금액만 나갔구요
삼성카드 탭탭0 만들려고하는데,
한달전 3건 카드만든게 있어서 한달뒤에 신청하라고 했었거든요
대출알아본다고
이곳저곳 조회이력만 많이생기고
대출을 받지는 않았습니다.ㅜㅜ 조회만 15군데 됫던것같아요..
신용카드 발급될까요?"
2,"1. 일용직 4대보험 6개월차 350만원씩 가입
   4대보험 없이 통장급여확인 2년이상 확인 가능
2. 개인보험 2개 -한화생명 15만원정도 5년이상 납입 삼성생명 30만원정도 1년반째 납입
  해지환급금 확인결과 800정도
3. 신용등급 나이스 5등급 올크레딧 7등급
4. 2금융권 대출 1군데 1300만원
5. 나이 40세
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ
발급 가능할지?  그리고 회사재직이 파견직이라 현재 4대보험납입되는 회사와 현재 사무실 유선전화가
다른경우 가능한지  답변 부탁드려요"
3,"여친이 대학생인데,알바는 하는데 4대보험 안되고 현금수령을 해요 재직전화는 가능하구요 삼성카드 발급 가능할까요??월100정도 수령을 합니다."
4,"안녕하세요 제가전역한지이제3달차인데 부모님도만들라하셨고
재직중이셔서 신용카드발급할려구하는. 좋은설계사님들 찾구엉어요ㅠ 현대카드는 제가신청했는데 일하는곳이 부모님가게여서
4대보험안넣은거 때문에부결나서요
삼성카드가발급이빠닿다해서 하나발급하려합니다
가게 유선전화있구요 네이버에치면 나오는곳입니다.
쉽게발급해주시는설계사님들 좀찾아봅니다
토스만조회해서 토스신용도4등급이구요"
5,"안녕하세요! 28세 여자입니다.
k대병원에서 일하다가 s병원으로 이직해 11월 1일 발령으로 이때부터 소득이 생깁니다!
그 동안 10월 해외여행 등 기타 사항으로 필요해서
탭탭오 카드발급이 가능한지 문의드립니다!

현재 예적금 600까진 없는 상태이나, 이직 후 꾸준히 적금할 계획입니다."
6,"한달에 70~100정도 사용합니다.
포인트 적립보다는 할인이 되는 카드 찾고 있어요.
지원 빠방하게 해주실 설계사분 추천 바랍니다."
7,"안녕하세요
삼성카드 신용카드 발급을 하려는데요! 삼성생명 저축보험 월 30만원씩 총 6개월 180만원이 납부되어 있고 보험 계약 대출로 130정도 대출이 있는데 이걸로 발급이 가능할까요!?
아니면 대출금 납부 후에 가능한가요!? 신용등급은 3등급 입니다!"
8,"삼성카드 첫 발급에 알아보고 있습니다.

그 중 taptap I 카드 보고 있으며, 추가 혜택이든 추천 상품 있으면 소개해주실 상담사 분 찾습니다 !"
9,"설계사님

삼성 카드 앤 마일리지 (플레티넘) 연회비 49000 해외
관련 문의드립니다"
10,"제가 올 7월쯤에 이 카드를 해지를 했습니다.
지금 이 카드를 다시 신규로 발급이 되는지 궁금하네요"
11,"(부산)삼성카드 신규발급 문의

대한항공 마일리지 적립가능한
삼성& MILEAGE PLATINUM카드 발급받고싶어서
알아보는 중인데 인터넷검색으로는 부산지역에서
발급가능한 설계사분 만나기 어렵네요.
블로그에서 보고 연락드리면 수도권거주자만
가능하다는^^;
부산지역에서 좋은 혜택으로 발급 도와주실
설계사분들 네임카드 남겨주시면 감사하겠습니다."
12,삼성카드 탭탭오 발급하려고 하는데 얼마전까지 삼성카드 쓰다 해지했습니다. 좋은 혜택으로 신규 발급 진행하고 싶어 설계사님 찾습니다.
13,"주로 주유용으로 많이 쓸 생각입니다.
삼성카드로요
가입조건 및 혜택이 어떤것들이 있을까요?"
14,"삼성카드 발급 문의요
지금 등급 6이구요 보유하고있는 카드는 신한, 비씨농협 입니다
학자금이자 연체로 인해서 현대는사용하다가 이제는 사용이 안되요
삼성은 2년 전에 발급 문의 했는데발급이 안되더라구요
신한은 올해 설계사 통해서 발급 받았구요
혹시 삼성카드도 가능할까요
직장은 오래 다녔구 사대보험도 확실하구요
삼성카드로 코스트코나 이런 곳에 사용할려고 해요"
15,20대 초반 신용카드 추천해주세요
16,"삼성 탭탭오카드 발급받으려고 합니다.

공식홈페이지에서 발급받지말고 주위 설계사분들에게 발급받으라고 조언을 들었는데
괜찮은 설계사분 계실까요?"
17,"안녕하세요!
지식인 보고 삼성카드 발급 관련 문의 드립니다.

서울 근무 중인 직장인 7년차이고,
삼성카드와 AMEX 그린 중에서 대한항공 마일리지 쌓는 용도를 우선으로 고민 중입니다.

설계사님 통해서 발급 시, 가능한 혜택 부분도 알고 싶습니다.
감사합니다,"
18,"나 5 , 올7 4대보험ok , 급여소득 ok
1년전까지만해도 삼카정상사용했었습니다 .
월 70 - 100정도 사용합니다

현금페이백가능하신분들 답변남겨주세용"
19,현재 만 20살 넘었구요 4대보험 가입 안했구 3개월 소득증빙이랑 직장 유선 재직확인 가능합니다. 동일 조건으로 화요일날 신한카드 발급받았고 삼성카드 발급 받으려 합니다. 신규가입 혜택 잘 챙겨주실 설계사 분들 찾아요^^
20,"제가 27살 이고 출산휴가로 어제부터 일을 쉬고있습니다
나이스는 7등급정도나오는데
삼성생명 보험2개합쳐서 16만원이 조금 넘게 2년정도 납부하고있었는데 신용카드를 좀 발급하고싶어서요.
알아보니 보험 16만원이 넘으면 신용에상관없이 보험자격으로 신용카드발급을 해준다고 설계사님이 그랬었는데 발급될까요? 기대출도있긴하지만 크게 7등급외엔 신용에 문제가없긴해요
일도 꼬박 170만원 넘게 통장수령받아왔었고 4대보험 가입자였습니다."
21,삼성 카드발급 문의합니다
22,"현재 삼성에 신용카드가 두개 있어요
하나는 거의 사용하지 않는거고
하나는 한달전에 다른카드로 발급 받았거든요
지금 삼성에 카드 하나 더 다른걸로 발급 받으려는데 신용도에 지장이 있나요? 최근에 발급 받은거 보다 더 좋은 혜택이 있는 카드가 있어서요ㅠㅠ"
23,"삼성카드 2v3 신규로 발급받으려고 하는데
알아보니, 설계사님들마다 혜택이 다르다고 하더라구요

지원금, 사은품 빵빵! 혜택 주실 설계사님 계신가요~!!!!
다른분께도 추천 드릴께요~!"
24,안녕하세요 삼성카드발급문의좀하려고요
25,보험료기준으로 발급 알아보고 있는데요 삼성생명에15만원보험있는데요 납부는 부모님이해주시는데 계약자는 저로 되어있습니다 이경우에도 가능할까요?아는 지인분 가입해드린거라 부모님께서 납부중이시고 유지기간은3년이상이에요 지금현제 양사7등급이어요 가능할까요? 보험료 기준 서류는 납입내역 보내는걸로 아는데 맞나요? 제가 납입내역 요청하면 보험사에서 팩스로 보내주는건가요?
26,"안녕하세요.
화요일날 쯤인가 삼성카드 설계사를 통해서 삼성카드 발급
신청을 하였는데요. 어제 발급 심사가 들어가서,
오늘 삼성카드쪽 연락을 받아 본인 확인 및, 건강보험에 본인확인후 자격득실확인서 확인및 비밀번호 설정등 결제 계좌등 확인 하였습니다.
비밀번호 설정 까지 완료 하였다면 발급 되는걸까요?
아니면 여전히 심사중 이라고 봐야되는 걸까요?"
27,어떤 조건까지 가능한지 궁금합니다. ㅎㅎ
28,"삼성카드발급문의
상담받고싶습니다
지역은창원입니다"
29,"금융직 3년차 근무자
삼성카드 첫 신규입니다
지원 많이 하는곳 찾습니다 답변 남겨주세요"
30,"카드 설계사분에게
영화및 통신비 그리고 lpg충전 할인문의좀 드리고  신청하고 싶은데.
카드 신규로 만들면 추가혜택이 있을까요?"
31,"제가 지금 삼성카드 4 V2 이 카드를 사용중인데요
혜택 때문에 다른 삼성카드로 변경할려고 하는데요.
카드 발급시 증빙서류 같은거 제출 해야 하나요? 
처음에 저 카드 발급 받을때 회사 전화로 인증 받고 했는데요 
혹시 다른 삼성카드로 교체 한다면 또 저 인증 절차를 거처야 하는건지 궁금합니다?"
32,"삼성 앤마 발급받고 싶은데
혜택이 어떨까요?"
33,"삼성카드를 발급 받으려고 하는데요
현재 무직인데 지역세대주에 의료보험 3만원 3달이상 납부내역 있으면 발급된다고 하던데 맞나요?
된다면 서류준비는 어떻게 해야하는지, 혜택안내 등등 자세한 상담을 받고싶어요.
전화보단 오픈채팅 등 온라인으로 진행할 수 있으면 좋겠네요!
좋은 설계사님 계시면 추천해주세요~"
34,"직장가입자로
카드발급 요건은 됩니다.
발급시 저에게 주실수 있는 수수료가 궁금합니다.
쪽지나 메일주세요~!"
35,"삼성카드 & MILEAGE PLATINUM (스카이패스)
발급하려고 합니다~

좋은 조건 있으면 알려주세요~!"
36,"삼성카드 탭탭오 발급하려고 하는데 설계사 통해서
발행 가능한가요???
발행가능하면 지원금은 얼마정도 나오나요?


제가 대중교통,외식,쇼핑을 많이 하는데 탭탭오와 신세계이마트7 고민중이라서요
카드는 어떤게 혜택이 좋나요?"
37,"직장인이고 4대보험안들어가고 3.3% 세금떼는데
급여 내역 2개월만 있어도 발급가능한가요?"
38,삼성카드 발급 문의드려용
39,"삼성카드 발급문의

직장인이고 삼성카드 발급은 처음입니다.

삼성카드4v3 발급하려는데 혜택좋은곳이 어디가 있나요?"
40,"해당 카드 발급하고 싶은데 오프라인 보다 추가 혜택이 좋은 곳으로 하고싶어 문의드립니다
혜택이 좋다면 발급받고 싶네요"
41,이마트트레이더스 이용시 삼성카드 할인이 많은것 같은데. 관련 삼성카드 추천 바랍니다. 신규로 하나 만들고싶고 하이패스카드와 같이 연동되었으면 합니다.
42,"삼성카드 발급문의

삼성카드3 V3(sk주유소) 용으로 발급하려고하는데요 청주지역에 현금지원해주시는 설계사분 있으신가요?"
43,"물건 하나를 구입해야 하는데, 신세계 삼성 카드로 결제하면 할인이 되네요.

카드 발 급 후, 물건을 구매하고, 발급 1개월 안으로 카드 해지했을때 불이익이 있나요? "
44,"삼성카드에서 일상생활에 쓰기 좋은
카드 추천 부탁드립니다 :)"
45,어떤카드가발급이잘되나요
46,"삼성카드 & MILEAGE PLATINUM 카드 발급하고자 합니다.

설계사님을 통하여 발급 시 혜택 궁금합니다.

그리고 카드 사용 시 대한항공 마일리지 자동 적립인가요?"
47,"지금현재 삼성 2번(엘지유플러스) 사용중으로 혜택이 더 좋은 카드로 변경하고싶어서요!
지금 탭오나 마일리지적립되는카드 고민중입니다.
발급시 혜택있는지 문의드려도 될까요?"
48,"삼성카드발급문의(삼성카드 taptap 0)

삼성카드 taptap 0 발급을 하고싶은데 오프라인보다 추가 혜택이 좋은곳으로 하고 싶어 문의드립니다.
혜택이 좋다면 쪽지나 메일로 회신부탁드립니다."
