,content
0,똑같은거 맞나요? 아니면 s20 발급 가능한가요?
1,"신한카드 딥드림 플래티넘 신용카드

혜택 모두드림 더해드림 챙겨드림 아껴드림 중에
택 1 인가요?"
2,"신한카드에서 딥드림 미니언즈 카드를 발급 받았는데
수수료 면제에 계좌이체 (타은행 인터넷뱅킹으로 하는 이레)도 월 10회 면제인가요?"
3,"20대초반이고 일시불+할부 80~100정도쓰는데
딥드림이나아요 딥드림플레티넘이 나아요?
딥메이킹카드는 어떤가요?"
4,"신한카드 딥드림플래티넘플러스카드 발급 받고 싶습니다.
좋은 조건으로 발급해주실 설계사님 계시면 kimssm@nate.com으로 메일 보내주세요~~"
5,"신한카드 딥드림 체크카드 비자 박힌거 쓰고 잇는데요
제가 지금 해외에 살고 있는데
오프라인 결제는 잘 되거든요?
근데 온라인 결제나 애플 스토어 결제가 아예 안되네요...
왜 이런 건가요 도대체?
문의 하고 싶어도 해외에 있어서 한국에 전화를
걸수가 없네요...도와주세요 신한은행 ㅠㅠ
참고로 카드 앞자리는 4619 입니다"
6,"지가 신한카드 딥드림 연회비 만원 짜리 쓰고있는데요
포인트 쌓이는게 쏠쏠해서 어쩔땐 월 40~50 쓸때도 있고
어쩔땐 100넘을때도 있는데 평균 30은 넘어요
신한카드 딥드림 플래티넘 생각중인데 연회비가 좀 비싸서 고민인데 월 금액을 저렇게 썻을경우 뭐가 더 이득인가요??"
7,"신한카드 딥드림신용카드를 발급받아 사용중입니다

1. 딥드림신용카드를 삼성페이로 해서 결제를 해도 포인트적립이 그대로 되나요?

2. 딥드림신용카드로 결재 후 포인트적립은 결재후 바로 되나요?
   포인트 적립시기는 언제인가요
3. 딥드림신용카드를 삼성페이로 해서 결제시 포인트적립이 바로 안되고 며칠 걸리나요?

딥드림신용카드를 삼성페이로 해서 사용중인데 포인트적립이 제대로 되고있는지

몰라서 질문 드려요!!!

카드 전문가 분들 자세히좀 알려주세요 "
8,"신한카드 딥드림카드
급발급으로 목요일에 수령하고 싶은데요
조건 좋은 설계사님 답변주세요"
9,카드 신청했는데 신한 계좌가 아닌 다른 계좌에 연결했고 신한카드가 없는 상태면 신한페이판 앱을 통한 사용내역 알림받기가 불가한가요? 가능하다면 어떻게해야 알림 받을 수 있는지 알려주세요
10,"신한카드 딥드림 혜택 많이 주시는 설계사님 찾습니다.

답변 남겨주세요!"
11,"토스 어플 들어가보니 등급은 3등급이구요,


사무직 경리 1년 2개월째 재직중입니다.


수협은행 전세자금 대출 3000있구요.


설계사분들 통하면 혜택이 있다고 해서요~


lucky01234@naver.com 관련 사항좀 알려주세용!"
12,"신한카드 딥드림 사용하고있는데요
수수료+이자는 뭔가요 ..?
제가 결재일을 변경했는데 천원이 더 플러스가 됐네요 무슨경우죠 ..?"
13,신한카드 딥드림으로 교체발급하려고하는데 그냥 홈페이지에서 하면 될까요?
14,"신한카드 중 딥드림프래티늄플러스카드를 발급받고싶습니다. 가족카드1장 추가로 발급받을거구요..
신한카드홈페이지 카드설명 정독불구하고 궁금한 사항들도 있고 좋은 혜택에 발급 도와주실 설계사분들 네임카드나 쪽지 남겨주세요^^

신한카드는 현재 아이사랑카드 사용중인데..신규가입은 아니라서..발급시 신한 신규가입자들과 혜택에 차이점이 있을까요?"
15,"신한카드 딥드림플래티넘 발급하고싶은데
혜택있나요?"
16,"안녕하세요. 신한카드 신용카드 설계받고싶은데
혜택많이 주시는 설계사님 찾습니다."
17,딥드림이 더 혜택이 좋은가요? 두개 가장 큰 차이를 알려주실 분 구해요..
18,신한카드 하나 만들려하는데 혜택좋게 발급해주실 솔계사분 계시면 답글이나 쪽지 좀 주세요
19,"제가 신한카드 딥드림 신용카드를만들었는데
6월18일날부터 29일까지쓴금액을 결제일 매달1일인 8월1일날 내라고하더라고요
그럼 6월30일 ~ 7월30까지쓴것은 9월1일날 결제가 나오는건가요?"
20,현재 신한카드 이용중인데 딥드림으로 교체발급하고싶은데 이경우에도 지원금주나요?
21,"신한 딥드립 신용카드 발급을 고민중입니다
전월실적 범위가 넓은 편으로 알고 있습니다
아파트 관리비나 공과금 등이 포함된다고 들었어요

LH 임대아파트 임대료도 실적에 포함되는지 알고싶습니다"
22,"첫 신용카드 질문입니다.
현재 신한카드중 딥드림과 미스터라이프 중에 고민중입니다.
전월실적 30만원은 충분히 채울거같고
쿠팡같은 온라인쇼핑을 많이하는 편이고 주유비와 올리브영도 많이이용합니다.
카페나 영화는 많이 보는편은 아니구요.
대형마트보단 편의점 많이 이용합니다.

개인적으론 포인트적립이 조금 더 관심이 쏠리는데..

이런 소비요건 생각했을때 어떤 카드가 더 적합할까요??

자세한 답변 부탁드립니다..!

p.s 미스터라이프 할인은 청구할인인가요??

그리고 혜택 많이 주시는 설계사분~~
답변 많이해주세요~~"
23,"신한카드 딥 드림 신용카드를 사용중이고 결제일은 25일입니다.
5월13일에 현금서비스 25만원을 받으면 몇일날 얼마를 갚아야하나요???"
24,혜택 좋은 설계사님 답변 혹은 쪽지주세요
25,"올크 3 나이스 3등급 입니다.

몇일전 롯카 900만원한도로 나왔구요.


신한 카드 딥드림이 제 생활패턴과 비슷해서 만들려구요!"
26,"신한카드 딥드림 신용카드 만드려고 하는데요
만들면 현금이나 선물? 이런거 받을 수 있나요?"
27,"신한카드 딥 드림이랑 딥드림 플레티넘 이랑 뭐가 다른지 궁금합니다.
플레티넘으로 갔을시 더 좋은 해택이 있는건가요?
지금 rpm 플레티넘인데요
제가 한달 사용금액이 30만원 이하라 딥 드림으로 움겨갈까 생각중입니다.
보통 주유,편의점 사용하고있습니다. 비자 카드로 할생각입니다"
28,신한카드 포인트적립되는 딥드림 or 딥드림 플래티넘 중에서 하나 발급 하려하는데 직접 신청하는것보다 설계사님 통해서 발급하면 어떤 혜택조건이 있나요?
