,content
0,오늘 새로 새마을금고 카카오페이 체크카드를 만들었는데요 카카오페이에 계좌연결 하려고 카드 번호랑 전화번호 맞게 했는데 카드사 정보와 일치하지 않다고 뜨네요 어떻게 해야할까요 ㅠㅠ
1,"새마을금고 카카오페이 체크카드 전월실적 기준이 어떤거죠?
출금(계좌이체포함)되는 모든 금액인가요, 아님 사용한것만 인가요???"
2,"새마을금고 통장이 있어야 발급가능한가요?
생활비카드로 쓰려고 하는건데 요즘 통장 만들려면 증빙서류 있어야하잖아요
못만들까요?"
3,"저 새마을금고에서 카카오페이 체크카드 만들었는데
토스에 카드 연결은 안 되나요ㅜㅜ"
4,새마을금고 카카오페이 체크카드 쓰고있는데 카드 만들때 따로 하루? 한도 설정을 안 했었어요. 근데 잔액은 남아있는데 한도 초과라 뜨더라고요. 청소년 체크카드 기본으로 설정되는 한도 같은 게 있나요?
5,"새마을금고 카카오페이 체크카드를 만든지 3개월 째 입니다.
제가 들은 바로는 3개월 후에 출금 가능하다고 해서 출금 해보려고 했더니 할 수 없다고 뜨네요 어떤 분은 한달 동안 20번 긁어야
출금 할 수 있다고 하셨고 새금 카페 체크카드 출금 어떻게 해야되나요???"
6,"카카오페이에 새마을금고 체크카드를 등록하고
매장에서 등록한 체크카드로 결제 가능한가요?

가능하다면 결제하는 방법은 어떻게 되나요?"
7,"현재 새마을금고 카카오페이 체크카드를 가지고 있는데요
이번에 국민은행에서 방탄 체크카드가 나왔다고 해서 만들고 싶은데 만들 수 있나용"
8,"새마을금고 카카오페이 체크카드를 사용하는데요
간편결제하면 할인해준댔는데
그냥 간편결제했더니 할인이 안되서 문의드립니다
무슨 설정해야하나요?? 아니면 캐시백 처럼 들어오는건가요 ..?"
9,"선불 교통카드가 가능하다고했는데 그럼
연결된 계좌 잔액에서 빠져나가는 건가요?"
10,제가 새마을금고 카카오페이 체크카드 사용하고있는데 어느날 캐시백 취소 미출이라고하면서 돈이 출금 되더라고요 왜 돈이 나간지모르겠어요ㅠㅠ 알려주세요 혹시 돈이 더나가나요??
11,제가 새마을금고 카카오페이 체크카드를 쓰는데 내일 국민은행으로 계좌이체를 해야하는데 수수료 얼마 붙을까요?
12,"몇일 전에 새마을금고 카카오페이 체크카드로 온라인결제하면 15% 할인된다고 해서 카카오에 들어가서 새마을금고 체크카드등록후에 티몬에서 결제 했는데 3일정도 지났는데 캐시백?이 안들어오더라고요ㅠㅠ 캐시백은 결제 후 몇일 뒤쯤 들어오나요?
아니면 티몬은 해당이 안되는건가요? ㅠㅠ"
13,안녕하세요 새마을금고에서 카카오페이 체크카드를 발급받을려구하는데용 은행가서 해야돼나요아님 핸드폰으로해야하나요?? 통장만들고 체크카드를 만들려구요 16살입니다 해외결제가되었으면좋겠습니다 아이폰을쓰고있어서요... 이거말구 다른카드추천해주세용!!
14,"만 14세 이상 청소년인데 새마을금고 체크카드 관해서 질문드려요!

1, 새마을금고 체크카드와 새마을금고 카카오페이 체크카드는 서로 다른 것인가요? 다르다면 무엇이 다르나요?

2, 청소년 혼자 가서 발급 받으려고 하는 경우 지참해야 하는 것에는 무엇이 있나요?

3, 통장이 있긴 한데 내역이 끝까지 다 사용한것이라 재발급 받아야 하는데 청소년 혼자 가서 재발급을 받으려는 경우 지참해야한 것에는 무엇이 있나요?"
15,이거 카카오톡에서 카카오페이랑 연결 해서 쓸 수 없나요? ㅠㅠ 계좌연결 하려는데 자꾸 카드사 정보가 다르다고 뜨는데 ..왜이러쥬
