,content
0,"아무것도 모른 채 카카오페이 신한카드 신청했는데 바로 신청해지하려고 했는데 안되더라구요. 카드는 아직 오지 않았습니다.
왜 안되는지 알려주세요"
1,오프라인에서 무지카드로 카카오페이결제가 안되네요 저만 그런건가요? 실물카드 결제 말고 카카오페이 결제가 안되요
2,카카오페이 신한카드 이거 혜택중에 교통혜택 시외버스나 직행버스도 할인 되는건거요?
3,"카카오페이 무지 신한카드를 국민은행 계좌 연동하여 발급 받아는데요
확인차 사용해 보니 입출금 기능이 되지 않네요...
그냥 입출금이 안되고 신용카드나 카카오페이전용카드 처럼 결제만 하는건가요?
카카오 페이 무지 신한카드는 현금카드기능을 사용할려면 직접 방문하여 입출금 기능 사용신청을 해야 하나요?"
4,신한카드 카카오페이 무지 체크카드 카드 언제 배송 되나요?
5,"이번에 카카오페이x신한카드 무지 카드를 발급받았는데요 발급 받을 때 카카오페이 NH농협 으로 발급 받았습니다 그런데 농협에 돈이 있는데 카드에는 0원 이라고떠서ㅠㅠ 이 카드로 돈은 어떻게 옮기나요..? 농협은행 계좌에서 연동이 되어있는건 알고있는데 ..카드에 돈 옮기는 법을.. 신한판페이 앱을 깔으라고 해서 깔긴 했어요.. 카드를 어떻게 사용하는거죠
1. 계좌는 농협인가요?
2. 카드돈 확인은 페이앱에서 확인가능한걸로 아는데 돈은 어떻게 넣는거죠
3. 무지 카드 사용방법좀 제대로 알려주세요ㅠㅠ (현재 카뱅만 사용하고 있는데 헷갈려요ㅠㅠ)"
6,"신한카드 카카오페이 무지 카드를 발급받았는데
무슨 계좌로 연결했는지 까먹어서 연결한 계좌 알수 있을까요?"
7,"카카오페이 신한카드를 발급받으려하는데
카카오페이 신한카드 IBK은행으로 하면 신한은행과 상관없이 ibk기업은행에서 수수료없이 뽑을수 있다는 건가요?? 그러면 ibk어플에서도 이 카드 등록 가능하겠죠?

그리고

카카오페이 신한카드를 결제하면 2%적립이라는데
카카오페이어플을 통해서 결제하면 2%적립인가요 아니면
일반 카드 결제처럼 이 카드로 단순 결제해도 2%적립된다는 말인가요?? (카카오페이 가맹점임을 가정하고)

빠른답변부탁드립니다 ㅠㅠ
 "
8,"카카오페이 신한카드는 
신한카드 등록된 곳이면 다 사용이 가능하죠??

카카오카드는 한번씩 안되는 곳이 있어서요

신청을 하고 나니 그게 생각나서 ㅠㅠ"
9,제가 카카오톡 페이머니를 신한카드로 연동 시키고 있는데 제가 만약에 온라인에서 카카오페이 결제를 누르고 그만큼의 돈을 신한카드로 충전을 한다음에 결제를 하면 이건 신한카드에서 캐시백이 되나요?? 아님 충전식이런거라서 출금이런걸로 받아들이나요?
10,"카카오페이 신한카드 해지하려구요.
아직 집에 오진않았는데요 카카오페이로 들어가서 화원등록이 되어있지않습니다."
11,LG페이신한카드로 현금 출금도 가능한가요?
12,그 최근에 신한카드에서 나온 카카오페이카드(무지카드...?)를 신청했는데요 신한카드니까 신한은행 ATM에서 사용할 수 있을거고 카카오페이카드니까 현재 사용하고 있는 라이언카카오페이카드랑 같이 결제하면 문자오고 그렇게 되나요? ~?
13,신한카드 등록을 다 했는데 은행에 가니까 이 카드는 안 된다고 뜨던데 이거 어떻게 하나요 ㅠㅠ
14,신한카드 카카오페이 무지 체크카드를 이번에 발급 받았어요. 교통카드로 사용이 가능한데 청소년이라 선불로 사용하려고 하거든요. 그럼 이용할 때 요금이 청소년 요금으로 결제 되나요? 아니면 별도로 무엇을 해야하나요? 그리고 환승도 가능한가요?
15,카카오페이 X 신한카드가 후불 교통카드 된다고 해서 발급받았는데 바로 보스애서 사용이 되나요 전화해서 후불교통카드신청하고 해야하나요
16,이번에 새로 나온 카카오페이신한카드 후불교통카드 기능 있나요 ?
17,카카오페이 신한카드 30만원 이상 사용시 할인한도가 만원이라고 써 있던데 이건 카카오페이나 카페등에서 한달에 최대 만원만 할인된다는건가요? 교통은 제외고 별도로 최대 3만원인거죠?
18,"신한카드 (카카오페이) 무지 카드를 발급 신청했는데, 택배 배송으로 안하고 지점에 가서 받는 것으로 신청했습니다. 이러한 경우 내일 가서 받아도 되는 건가요?"
19,"신한카드 카카오페이카드 관련 문의요
분실정지 후 해제 하고 교통카드 기능이 안되는데 어떻게 해야하나요?"
20,"카카오페이 신한카드 발급할려하는데
사용하면 신한은행이랑 카카오에 둘다 실적올라가나요"
21,"저는 만 17세입니다.
후불 교통카드는 만 19세부터 사용가능하다해서 후불 교통카드 기능 선택 못하고 카드를 발급했는데요, 카드에 돈이 있으면 교통카드 기능이 되나요??"
22,제가 카카오무지카드? (신한은행) 발급을 받았는데 이건 카카오서비스나 페이랑 따로 연동안되나요?
23,이번에 나온 신한카드 카카오페이 무지 했는데 계좌번호랑 카드비밀번호랑 카드번호는 어떻게 아나요?
24,카카오페이 신한카드를 신청했는데요 신용카드로 되었더라구요.. 카드해지를 하고싶어서 고객센터 전화도 했는데 전부 ars고 해지할수가 없더라구요. 제가 카카오페이지에사 신청을 한거라 카드사 회원가입도 안되어있는 상태인데 어떻게 해야 하나요?
25,여수에사는 25여성입니다 제가 처음으로 신한카드카카오페이 만들라고하는데 어떻게해야되나요
26,"신한카드 무지를 발급했는데 계좌번호를 모르겠어요
하나은행이랑 연동했는데 알 수 있는 방법이 있나요?"
27,"신한카드 카카오페이 카드를 잃어버렸는데
재발급하려면 어떻게 해야하죠,,,?"
28,"신한카드 카카오페이 무지 카드 인데요
농협계좌로 연결해놨거든요 후불교통카드할때
버스찍으면 돈은 어디서 빠져나가나여? 15일로 해놨는데 안빠져나가는거같아서요..ㅠㅠ 따로 돈 줘야하나여?"
29,"카카오페이 신한카드 체크 만14세 질문입니다
이 카드가 만14세부터 발급이 되고 교통카드기능도 들어가나요? 내공 80"
30,계좌확인 분명히 눌러서 확인되었습니다 라고 떴는데 마지막에 신청할라그러면 계속 이렇게 뜨는데 뭐가 잘못된건가요?ㅠㅠ 인터넷으로 해도 자꾸 계좌번호를 확인하라고 뜨네요ㅠㅠ
31,신한카드 카카오페이 무지 신청 했는데 계좌번호랑 카드비밀번호랑 카드번호는 어떻게 아나요?
32,카카오페이 카드는 안된다는데
33,"그 카카오페이 신한카드를 만들었는데
저는 할부가 되는줄 알고 카드를 만들었는데
막상 하려고 하니까 안되는데 원래 안되는 카드 인가요?
체크카드 개념이고 플래티넘 카드 입니다"
34,"무지 체크카드를 분실을 했는데 재발급을 어떻게 받나요? 빨리 알려주세요.
카드를 다시 신청했는데 재발급이 아니라 그냥 신청된거 같은데 어떻게 해야 하죠?"
35,원래 쓰던 체크카드를 분실해서 분실 신고하고 신한 쏠 앱에서 카카오페이 체크카드를 발급 했는데요. 이 카드의 계좌는 원래 쓰던 계좌인가요 ? 쏠에서 한도제한계좌를 쓰고있는데 계좌에 얼마 들어있다고 뜨고 카드는 0원이라고 뜹니다
36,"2개 신청할 필요는 없죠?
둘다 카카오페이죠??
둘중 하나만 있으면 되는거죠 ?"
37,신한카드 카카오페이 체크카드 교통이용대금 확인은 어디서 어떻게 하는건가요?
38,"제가 신한카드 카카오페이 카드를 발급 받아서 받아가지고 카드등록을 하려고 하는데 이미 등록이 되있다고 나와요 그리고 페이판에도 가입해서 카드가 등록이 되어있구요 (신한카드에도 카드등록이 되어있는걸 확인했어요)
돈을 신한카드에 옮기려고 계좌번호를 입력했더니 계좌번호나 은행이 잘못됬다고 나와요
카카오페이를 깔아서 계좌를 추가하려고도 했는데 본인실명이랑 예급주 이름이 다르다고 나왔구요

어떻게 해야돼요??"
39,"요번에 나온 카카오페이 무지 신한카드 2% 적립 되는게 카카오페이 간편결제시 사용된다는데 이런식으로 결제하면 적립 된다는거죠?
오프라인에서는 안되는거죠?
실물카드로 결제한거는 적립이 안되는데 굳이 왜 실물카드가 있는걸까요...? 그냥 예뻐서..?"
40,"카카오페이 신한카드(무지)르 신한은행에 가서 발급 받았어요
입출금통장과 함께요.

이 카드를 인터넷 뱅크앱으로 관리하려면 어디에다 등록해야되나요?
카카오페이? 카카오뱅크앱? 신한은행?"
41,"안녕하세요! 카카오페이 무지 신한카드를 발급받았는데요, 카카오페이로 결제후 2%적립금은 언제 지급이 되는지 궁금합니다!!"
42,"무지 체크카드를 신청해서 온라인 가맹점에서 사용을 하면 5000원을 준다던데 온라인 가맹점에는 어떤게 있나요?
편의점 물건을 사면 안주는건가요?
기프티콘 같은거요."
43,"이번에 카카오페이 신한 무지카드를 발급받았는데요 발급받은 체크카드로 편의점과같은 오프라인에서 결제할때 카드를 긁어서 직접 결제하는것도 2프로 적립이 되는건가요? 아니면 카카오페이에 카드등록 해서 간편결제 하는것만 되는건가요?
대체 설명하는 거 보니 뭐라는지 모르겠어서 답답해서 물어봅니다
요점은 1. 카카오페이 신한 무지카드로 오프라인 (편의점,음식점등 가게)에서 카드를 긁어서 직접결제 하는걸로도 2프로 적립이 되는지
2. 아니면 오프라인에서 결제할때 카카오페이 앱에서 발급받은 무지카드를 등록해서 간편결제 할때만 2프로 적립이 되는건가요?

발급신청한 당시에 혜택 설명에는 오프라인 결제서비스도 곧 되게 할거라는데 오늘 보니 그 말이 없어졌더라고요"
44,이번에 카카오페이x신한카드 무지 카드를 발급받았는데요 발급 받을 때 카카오페이kb국민은행으로 발급 받았거든요? 그럼 이 카드를 긁으면 카카오페이에 충전된 돈이 빠져나가는 건가요? 아니면 국민은행 계좌에서 돈이 빠져나가는 건가요? 신한카드는 무슨 역할을 하는 거져? 신한판페이 앱을 깔으라고 해서 깔긴 했어요 이해가게 부탁드려용
