,content
0,"국민은행 통장을 오늘 만들어서, 카카오페이 어피치 체크카드를 만드려고 했는데요.
본인인증 하려고 정보 입력을 했는데
이름과 주민등록번호의 실명인증이 안된다고 떠요.
어떻게 만들 수 있나요?"
1,"kb 국민은행 카카오페이 어피치 체크카드 발급 가능한가요?
가능하다면 은행에서 발급 가능한가요??"
2,"카카오페이 어피치국민체크카드
ATM기 사용시 비밀번호 5회 틀려서 출금이 불가한데
국민카드 앱으로 비밀번호 재설정, 오류 횟수 제한도 풀어봤는데도 출금이 안돼요 어떻게하나요
오늘 꼭 써야하는데 지점 방문 불가능해요 제명의가 아니라"
3,"카카오페이 국민 어피치 체크카드 지금도 발급 가능한가요?

국민 계좌랑만 연동되는 거죠?"
4,"제가 이번달이 생일이라 생일 지나서 만 14세가 되면 카카오페이 체크카드를 발급 받으려고 하는데

만 17세 미만은 홈페이지 말고 국민은행 창구가서 발급 받아야 한다고 하더라구요

그런데 저는 신한은행만 사용하고 있었는데 창구 가서 발급 받아야 하는 경우에는 국민은행 계좌를 새로 만들어야 카카오페이 체크카드도 만들 수 있나요?

홈페이지로 발급 받는 경우에는 국민 계좌 없이도 신한 계좌 연동해서 사용할 수 있다고 들었는데 국민 계좌가 없는 경우에는 그냥 신한이랑 연동해서 하는 방법은 없는건가요ㅠㅠ

저는 그냥 원래 신한 계좌랑 연동해서 쓰고 싶은데 방법이 없을까요?"
5,어피치 국민은행 카카오페이카드가 있는데 라이언 카카오페이카드도 있어요 페이 충전하면 라이언카드 쓰는데 어피치로도쓸수있나요? 평소에 국민에 돈있을때만 어피치로쓰는데 국민계좌말고 연동되어있는 페이머니 쓰고싶으면 어피치로 어떻게 사용해야되나요?
6,"카카오페이 어피치 체크카드요 후불 교통카드도 되는건데
카드안에 잔액이 없어도 교통카드로는 사용 가능하다했는데 만약에 카드안에 잔액이 있어도 교통카드비용은 카드잔액에서 빠져나가는건가요 별도인건가요?ㅜㅜ 한번도 후불 교통카드를 사용을 안해봐서ㅜㅜ"
7,"저는 이제 만 15세고요 국민은행 계좌가 없어요 카카오페이 어피치 카드 만들고 싶은데
1. 어피치 카드 만 15세도 만들 수 있나요?
2.만들 수 있다면 창구로 가면 되나요?
3. 창구로 갈때 준비물은 뭐뭐에요? 부모님 꼭 동행해야 하나요?"
8,카카오페이 어피치 체크카드 만 14세 이상은 못만드나요ㅠㅠㅠㅠㅠㅠ내공 100이요ㅠㅠㅠ
9,"카카오페이 어피치 체크카드
체크카드를 발급받은지는 좀 됬는데 잘안쓰고 있다가 쓸일이 갑자기 생겨서 국민은행통장이랑 연결되있어 국민은행 ATM기에서 사용하려고 하니 안된다고 하니 안되는 카드라고 나오는데 왜 이런건가요"
10,카카오페이 국민은행 어피치 체크카드 아직하고 있나요 ?? 은행가서 발급가능하나요 ?
11,"카카오페이 어피치 체크카드를 신청했는데요
기존에 사용하던 국민은행 노리 체크카드 교체로 신청했습니다,
그러면 노리 체크카드는 사용을 못하는것인지,
또한 어피치 체크카드 사용시 노리체크카드의 혜택도 적용이 되는지 궁금합니다"
12,"카카오페이 국민은행 어피치 체크카드 (농협계좌연결)
이거 교통카드 되게 신청했는데 교통카드 사용방법좀 알려주세요ㅠㅜ 15일 결제로 신청했고 카드안에 돈이 없어도 교통카드 찍히나요?"
13,"국민은행계좌로 어피치 카카오페이카드를 만들었는데요, 그러면 카카오페이 가입이 되어 있어야 사용가능한건가요??"
14,"제가 카카오페이 KB국민은행에서 발급하는 사진과 같은 체크카드를 발급받고싶은데요. 이에대해 질문 몇가지가 있는데 답변주시면 감사하겠습니다

1. 농협,신한은 해외겸용이 안되고 국내전용만 되는건가요?

2. 농협으로 하려고 하는데 그러면 ATM기기로 입출금 기능 사용할 수 있나요 ?

3. 아니면 카카오뱅크가 국민은행쪽으로 되어있는걸로 알고 있는데 카드발급시 은행을 국민은행으로 선택한 다음 카카오 뱅크 계좌로 카드 신청을 해도 신청이 될까요 ?

4.카카오뱅크 계좌와 연동할 수 있는 방법은 없을까요?

아시는 분 답변 꼭 부탁드리겠습니다 ㅠ ㅠ"
15,"국민 카카오페이 어피치랑 신한 카카오페이 체크카드 두개 같이 발급 받아도 상관없나요?
한 통장에 여러개 체크 카드 사용해도 상관없나요??"
16,카카오페이 어피치 체크카드 농협계좌로 발급받았는데 일반 체크카드 처럼 음식점이랑 술집에서 결제 가능한가요??ㅠㅠ 그리고카드안에 잔액이 없으면은 결제 불가능한가요??
17,카카오페이 어피치 체크카드 어떻게 얻을 수 있나요?? 만14세 이상부터 가능한가요?? 국민은행 이라고 써져있어서..가봤는데 제가ㅜ간 국민은행에선 카카오페이 어피치 체크카드가 없더라구요...
18,카카오페이랑 국민카드 콜라보한 어피치 카드가 어떤분이 하이브리드 카드처럼 사용 가능하다는데 그게 사실인가요?
19,"카카오페이 어피치 체크카드 쓸 때

농협 계좌 연결 했는데

농협 계좌에 돈이있으면 이 카드로 결제가 되나요
아니면 카카오 페이에 돈을 충전해야 이 카드로 결제가 되나요?"
20,"기존에 KB 국민체크 노리 카드를 사용중인데
이걸 신청하면 사용하는 카드만 바뀌는 건가요??
아니면 사용하는 국민카드 혜택이 바뀌고 그냥
새로운 카드를 쓰는건가요??"
21,10월 3일 사용하였습니다 언제나가나요??
22,"오늘 카카오페이 어피치 국민카드 신청했어요.
방금 등록완료 되었다고 문자가 왔는데요
제가 직접 받아보기까지 보통 얼마나 걸리나요?
(지점방문수령하기로 했습니다.)"
23,카카오페이 어피치 체크카드 어떻게 얻을 수 있나요?? 국민은행 이라고 써져있어서..가봤는데 제가ㅜ간 국민은행에선 어피치 체크카드가 없더라구요...
24,"카카오톡에 카카오페이에 돈을 충전하면

국민은행이나 하나은행에 잔액이 없어도

국민은행이나 하나카드에서 발급받은 카카오체크카드를 사용할 수 있나요?

카카오페이에 결제수단에 카카오페이머니, 카카오페이카드, 하나체크카카오 , kb어피치체크 이렇게 등록은 되있습니다. "
25,"카카오 어피치 체크카드가 카카오페이로 30만원 이상 쓰면 1만점 캐시백이잖아요
근데 카카오페이가 어피치카드랑 연동이 되어있어야 한다는 거에요?
저는 라이언카드가 이미 있는데 어떻게 하나용??..."
26,"카카오페이 어피치 체크카드 만들고싶은데,
국민은행 입출금통장만 만들고 인터넷뱅킹은 신청 안했어요. 그러면 못 만드나요??
계속 주민번호와 성명?이 일치하지 않다고 뜨는데,,"
27,"카카오페이 어피치 카드를 발급받았는데
이거를 사용하면
카카오페이 금액이빠지는건가요?
국민은행 계좌에서 금액이빠지는건가요"
28,만약 카카오뱅크에는 돈이 있는데 국민은행에는 돈이 0원 들어있으면 카카오페이 카드 못쓰는건가용?
29,"안녕하세요 ! 제가 원래 국민노리체크카드를 쓰다가 어피치카드가 예뻐서 발급받았어요.
관해서 몇가지 질문이 있는데 고등학생(만18세)이라 은행관련 용어를 잘 못알아들어요,, 조금만 쉽게 설명 부탁드릴게요ㅠㅠㅠㅠㅠ

1.국민카드에도 사용등록하고 카카오페이에도 QR코드 찍어서 등록을 했는데, 지금 당장사용가능한건가요 ?

2.어피치 카드를 긁어도 국민체크카드 쓰던 계좌에서 똑같이 빠져나가는 건가요 ?

3.카카오페이로 전월 30만원 결제시 카카오머니 2% 적립된다고 하던데 적립은 어디로 어떻게 되는건가요 ?
 저기서 말하는 카카오페이는 어피치카드가 맞는거죠 ?

내공 100걸게요ㅜㅠㅜㅜ수준에 맞는 친절한 설명부탁드려요 !!!"
30,국민 카카오페이 어피치 카드 해지 어떻게 시키나요?
31,어른만 가능한가요?? 지금 고1이고 민증 없는데 청소년증만 있어요 저 어피치카드 발급 못받나요
32,"카카오페이 어피치 카드(kb국민)를 신청했는데요.
신청할때 카드 교체로 신청해서 원래 쓰던 노리카드 선택 하고, 현금 카드를 신청 했습니다.
그럼 새로 발급된 어피치 카드로 국민atm기에서 사용할 수 있나요??"
33,"이 카드를 농협이랑 연동시켜서 갖고있었는데 분실했어요ㅠㅜㅜ 어떻게 정지시키나요ㅠㅜㅜㅜ
카카오페이 들어가도 이 카드가 안뜨고 아무데도 안떠서 정지시킬 방법을 모르겠어요ㅠ"
34,"국민카드 카카오페이 어피치카드

국민카드 카카오페이 어피치카드 교통카드 내역 어디서 보나요?? 알려주세요 ㅠㅠ"
35,국민 카카오페이 체크카드 (어피치카드) 후불교통카드 만으로 몇세가 되어야 할수잇는건가요? 카카오뱅크는 만18세던데 카카오페이도 같나요?
36,"농협계좌로 발급하려하는데요
제가 미성년자라서 창구에 가서 발급해야하는데
창구에서는 국민계좌로밖에 못만드나요?
농협계좌는 온라인에서만 만들 수 있는건가요ㅠㅠㅠ?"
37,"카카오페이 어피치 국민카드를 발급 받았는데
카카오페이 하나 카드도 받고싶더라구요 근데 둘다 카카오페이고 은행은 다른데 둘다 발급 가능한가요? 어피치는 그냥 물건 살 때 쓰고 하나카드는 교통카드로 쓰고싶은데 둘다 카카오페이라서 안되죠 ...?"
38,카카오페이 어피치 카드 발급 받으려고 하는데요 나이도 20살이고 이름이랑 주민등록번호 맞게 입력했는데 이렇게 뜨네요 왜 이러죠???
39,"카카오페이 체크카드 국민은행 어피치 발급
하는 거
돈을 쓸 때 카카오페이에 돈이 꼭 있어야 하나요 아니면 그냥 kb국민은행 계좌에 돈이 있어야하나요?"
40,"이카드 사용중인데
온라인에서 카카오페이 사용하였습니다
이번달에 카드만들어서 혜택 조건이 맞는데 2% 캐시백은 언제 들어오나요?
저번주금요일에 구매했습니다"
