,content
0,현대카드 레드 발급하고 싶은데 설계사 추천 해주세요~!!
1,"현대카드 m 발급 하려고 해요
신규입니다~
신규 발급 지원금 잘 주실 분 답변 주세요.
달 50만원 이상 사용 예정입니다"
2,"신한 하이포인트
현대 제로_모바일 (할인형)

기존 카드 해지하고 위 두카드 발급 받고 싶습니다.
기존 신한 러브카드 가족카드 2개로 2개 합하여 월 사용량은 100~150사이 됩니다."
3,"결혼 앞둔 예비 신랑 입니다.

웨딩 / 신행 / 혼수 등 나갈 돈이 많을 듯 해서 신용 카드 찾던 중, 포인트 -> 마일리지로 적립되며

라운지 이용 / 해외 사용 가능한 카드가 현대카드 M 종류가 있고 좋더라구요

홈페이지에서 아무런 혜택 없이 개설하기 보다, 설계사님 통해 조그마한 혜택이라도 받아보고자

설계사 분들께 연락 드리고 싶습니다."
4,쪽지주세요
5,"현대카드m2 발급하려고 합니다~

혜택 빠방하신 설계사님들 쪽지 부탁드려요^^"
6,"프리미엄 카드 발급 희망하구요,..

레드 아니면 퍼플 원하고 정확한 상담 원합니다.

현재 프리미엄 카드 발급이 인터넷신청만 가능하다고 하는데

신규가입이면 설계사분이 진행해주실 수 있다고 들어서 한번 문의해봅니다.

실시간 확인하고있으니 쪽지나 댓글 부탁드립니다."
7,"현대카드 설계사님 쪽지 부탁드립니다,
제로카드나 코스트코카드 만들고싶어서요."
8,"현재 현대카드 m 쓰고있습니다.
이번에 결혼하게되어서 m3로 카드를 교체하고싶네요.
현재 m카드사용한지 2년넘었구요.
한달에 100~150정도 사용합니다.
m3는 가족 카드로 발급 원하구요.

좋은 설계사님 찾아서 발급하고싶네요~"
9,"그린카드 레드카드
발급 받고 싶어요"
10,"M3 에디션 2 카드 발급받으려고 하는데요. 
답변 좀 부탁드립니다."
11,"현대카드 신규 발급 받으려고 합니다
한달 60~100사이로 사용합니다
m카드랑 제로카드 고민중이네요
도움부탁드립니다"
12,"현대카드 발급받으려합니다 자영업하구있습니다
친구가 지원금 매달주신다고하고 그만두는분이 있다네요
일시불로 어느정도 지원해주시는지 쪽지부탁합니다
카드는m2생각하구요 다른카드를주로쓰긴하는데 실적은 채워드릴수있습니다
암튼 쪽지주세요"
13,현대카드 m3 발급하려고 합니다. 도움주실 설계사분 연락기다립니다.
14,현대카드 만들려고하는데 현금지원혜택주시는설계사분계신가요?
15,현대카드m e3카드 발급하려는데 자세하게 혜택알려주실분!
16,"안양 현대카드 설계사
안양범계 사는데 현대카드 만들어야 해서요
가능하신 설계사님 계시면 쪽지 주세오"
17,"VISA / MASTER 카드가 없어서 알아보는 중이구요
월별 사용금액은 크진 않을 것 같습니다. 한 30만원 선 될 것 같아요

4대보험 적용회사 재직중이구요,
그냥 연회비 없이 가입정도도 괜찮을 것 같고
포인트 적립보단 할인이 더 좋아요.

다른 데 찾아보니 설계사님 통해서 발급은 거의 월 100만원 사용이던데
그렇게까진 안 쓰고 소액으로 사용할 카드인데
혹시 괜찮으시다면 쪽지 부탁드려요-"
18,현대카드 설계사님 찾습니다~할인형으로 지원금 잘 챙겨주실 설계사님 쪽지 부탁드리겠습니다
19,"현대카드 M이나 M2 발급받으려고 알아보고있는데

올크레딧6등급/나이스4등급/토스6(664/1000)이에요.

월 120-150 정도 신용카드 사용해요

어떤분들은 발급이 된다하시고, 안된다 하시는데..ㅜㅜ

최대한 발급 해 주실 수 있는 설계사님 부탁드려요~

댓글에 톡아디나 번호 남겨주세요~"
20,현대카드 현금 지원 가능한 설계사 추천 부탁드려용^^
21,"현대카드 m 카드 월 50이상사용은 하구요
지원금 많은데서 하려구요 이왕..연락주세요
카톡 zkdnsla"
22,"광주광역시 현대카드 설계사분 계신가요?
방문해서 카드 발급받고싶어요~"
23,"신용등급 1~2등급 자영업자입니다
지금까지 삼성더오카드로 월 600~800만원정도 카드 사용하고있고요
현대카드로 갈아타려는데 프리미엄카드를 원합니다
현대카드발급후 월 사용금액은 큰 이변이 없는한 600~800만원정도 되릿 같습니다"
24,현대카드 제로 발급 안내해주실분~
25,"거주지 : 서울 여의도/송파/반포

현대 레드카드 1개 와 코스트코 구매용 일반카드 혜택 주실 설계사분 찾아요~

2명입니다.

쪽지주세요~"
26,"기존에 페이백해주시던 설계사분이 현대카드는 안되셔서 구해봅니다

현대카드zero(할인형) 개설 희망

4대보험 직장인, 연체x, 현대카드는 통신사할인용카드 하나 있습니다

기존엔 신한,삼성 두개 쓰고있었습니다"
27,"현대카드 신청하고싶은데 혜택좋은 설계사님 추천부탁드려요 
지역은 의정부시 녹양동입니다."
28,"현대카드 삼성카드 설계사분 찾습니다.

연락처 쪽지 남겨주세요"
29,현대카드 M2 좋은 설계사분 없으신지요~
30,"저 현재 개인사업자이고 통신비, 전기료, 할부 딱 이정도로만 쓸건데 괜찮은 카드추천해주시고 현대비즈니스제로카드는 어떤지 알려주실분ㅜㅜ..."
31,"현대카드M2 Edition2 발급예정이고요

월에 150만원정도 사용하고 직장은 구로쪽입니다."
32,현대카드 설계사 분 있나요 카톡 열락주실수있나요 감사합니다 bn66702
33,현대카드 설계사를 두고 만들면 현금지급이 가능한가요?
34,현재 무직이고 신용등급은 좋아요 3등급인데 카드발급 가능한가요 
35,"현대카드ZERO(할인형) 신규발급 받고싶은데
월40~60 사용할것같습니다 지원금 가능한 설계사님 계시면 연락주세요"
36,하남인데 현대카드 제로 설계사분 계신가요
37,신용카드 (현대카드) 발급 설계사님 찾습니당
38,"기존에 현대카드 이용중인데
kt인터넷결합으로 이카드로 묶을수 있다고하네요

KT-현대카드M Edition2 (라이트할부형)
신청하려고하는데 현금지원받을 수 있나요"
39,"현대카드 설계사 추천 부탁드려요.

혜택 많이 주실 수 있는 분 찾아요."
40,"현대카드 제로 포인트적립 카드 신규 발급 원합니다.
쪽지나 문자주세요 010 519삼 삼061"
41,"안녕하세요
현대카드 발급 설계사님이시죠?
지인에게 듣기론 설계사님께 발급 받으면 혜택이 있다고 들었어요 뭐가 있나요~?
그리고 발급 과정은 어떻게 진행되나요
직장 , 집 모두 서울이에요"
42,"현대카드 첫 발급, 더레드 카드 개설 희망합니다. 설계사 추천 부탁드립니다. 쪽지/댓글 부탁드립니다."
43,"현대카드 필요해서 만들려고 합니다. 
현대카드 설계사 통하면 혜택이 좋다고 하더라구요
현대카드 설계사 추천 부탁드려요!!(쪽지 부탁드립니다)"
44,"이번에 카드 발급할려고 하는데
상담을 거쳐서 발급을 받을려고해서
부산에 계신분만 연락주세요~"
45,이 카드를 발급받아야 하는데 혜택 많이 주실수 있는 설계사님 답변바랍니다.(현대카드)
46,울산쪽 현대카드 설계사분 있으면 쪽지부탁드려요
47,대전 현대카드 설계사 추천 해주세용
48,"현대카드 발급 받으려고 합니다. 혜택 잘해주실 설계사님 상담받고싶어요.
현재 신용카드3개 사용중이구요."
49,"삼성카드 현대카드 설계사분들께 도움 부탁드립니다
현재 국민카드 만 쓰고있는데요..

세금 500만원정도를 12,24개월 할부로 지불할겸
다른 혜택도 누리고 싶은데 24개월 무이자 카드는 없나요?
아니면 부분 무이자 카드라도요
이럴때 할부금 수수료 이자는 어찌되나요?

보통 쇼핑 외식 커피 애견용품 교통 위주로 카드사용합니다"
50,"안녕하세요 20대 후반 직장인입니다.
현대카드 M 시리즈 혹은 제로카드(할인형) 등 신규 신용카드 발급하고 싶은데, 네이버 통해서 설계사님들 찾고 있습니다.

네이버 정책 상, 먼저 쪽지주시기 힘드시니 답글 달아주시면 제가 연락드리겠습니다.

카드 추천 시, 참고사항으로 간단하게 제 주요 소비패턴만 말씀드리면

(적금 월 50만 이상 충족)
-교통비 월 5~10만
-영화 월 5만 내외
-카페 월 5만 내외
-편의점 월 10만 정도
-식대 및 기타 생활비 100만

등 매월 순 지출로 100~130만 정도 지출 중입니다.

*주요 카드 발급 고려사항은 카드혜택 뿐만 아니라 [지원금] 기준으로 설계사분들 찾으려하고 있습니다. 답글 달아주시면 연락 드리겠습니다."
51,"일단 코스트코 때문에 이번에 현대카드로 갈아타려고 합니다.

통신사 skt ,  인터넷 sk브로드밴드 사용중이고

이마트, 홈플, 코스트코 및 온라인 쇼핑몰도 자주 방문합니다.

관련해서 연회비 부담 적으면서도 혜택 많은 카드 추천 바랍니다.

* 6개월 사용유지 이런건 상관없으니, 지원 많이 해주시는 설계사님들

많은 쪽지 주세요^^"
52,"현대카드 설계사 아시는분
코스트코에서 사용하려고 만들려고하는데
이왕 만드는거 현금지원 많이해주시는 분께 만들고싶어요~"
53,"신용카드 현대카드 만드려고 합니다
구미 지역 현대카드 설계사님 아시는분 답변부탁드립니다."
54,"현대카드 롯데카드 국민카드 설계사님 찾아요

어떤카드 몇달동안
한달에얼마이용하면 지원금얼마나오는지답주세여 4대보험들어있어여 만26세구요
전화는힘들고 연락처남기면 문자드릴게요"
55,"현대카드 설계사분 답변좀해주세요
4대보험 안되있고 월급여 현금으로 받습니다
부동산 임야 있어서 신용카드 발급조건 해당됩니다"
56,부천 상동 현대카드 설계사분 계시나요??
57,"신용카드  현대카드X Edition2  를 신규발급 할려고 하는데
현금 혜택 좋은 설계자분들 쪽지 부탁드려요~~"
58,"현대카드 혜택좋은설계사분찾습니다
월50~100정도사용하구요
주유나통신쪽할인받을수있었으면좋겠네요"
59,"올해 27 직장인 초년생입니다.
7월 입사해서 신용카드를 하나 만들까 해서 찾고 있습니다.
설계사분들 중에 지원금 가장 많이 주실 수 있는 분만 답 주세요

한달 60 에서 80 정도 사용합니다. 그 이상 쓸수도 있고요.
M카드 생각하고 있습니다.

지원금 및 선물 많이 주실분만 연락 부탁드립니다
감사합니다."
60,현대카드 발급 혹시 지원금이나 사은품 가능한 설계사 있나요?두장이고 t3예정입니다
61,"현대카드발급 받으려고하는데,
설계사통해 발급하면 혜택있다고 해서요!!

주변에서 보니깐 카드도 이쁘고
이벤트 혜택등 많은것 같아서요!!

실제로 사용하시는분은 어떤가요? 괘찮은카드인가요?
친절하게 설명해주시고 발급해주실분
부탁드려요

m2카드로 보고있어요!!"
62,"안녕하세요

신용카드 중에 현대카드 M3 가입하고 싶은데

설계사 통해서 하신 분들 중에 혜택 좋으신 분 추천 좀 해주세요~"
63,현대M3카드 발급희망합니다. 연락부탁드립니다.
64,"토스, 카뱅 조회시 4등급 781점

우리은행 담보대출 잔액 60만

신한저축은행 2월18일 완납 (어제 완납해서 아직 기록삭제 X)

학자금대출 450만

신한,삼성카드 보유중

입니다. 인터넷으로 신청하는것 말고

직접 오셔서 카드 개설해 주시고, 혜택 주실 수 있는 설계사님 찾아요~"
65,"현대카드 레드 카드 발급 지원해 주실 설계사님 찾습니다
발급조건은 됩니다."
66,현대카드M2 현금지원 많이해주는설계사님 쪽지부탁드려요
67,현대카드 RED 만드려고합니다 설계사분좀 소개시켜주세요
68,"코스트코 이용 및 해외여행에서 사용하려고 현대카드를 만드려고 합니다.
현대카드 설계사님을 통하면 여러가지 혜택이 있다고 하는데 발급 도와주실 현대카드 설계사 추천해주세요
카드발급 하는데 전혀 문제 없습니다!"
69,현대카드 m2 만들려고하는데요 설계사 통해서 카드만들면 추가적인 혜택이 있나요?
70,"월 100이상 사용예정이구여.
M 기본 카드 만들려구 해요
최대한 많이 챙겨주실분 글주세요"
71,"현대카드 설계사님 연락주세요 
2명 만들껀데 혜택 좋으신 설계사님 쪽지주세요 
바로 전화통화 되시면 더 좋습니다 ~ ^^"
72,"현대카드 발급하고싶습니다.
최소 월200이상 사용합니다.
혜택주실수있는설계사님 찾습니다."
73,"설계사분들연락주세요
주로 외식 쇼핑 주유 통신 편의점
사용합니다 월150-200"
74,"하이마트 카드 발급하려하는데
설계사분 통해 발급받고 조금이라도 지원받고싶습니다"
