,content
0,"코스트코에서 주로 카드사용할건데
코코 전용카드는 영사님 발급안되고 혜택이 크지않아서
일반현대카드로 만들려고합니다.
현금지원해주시님 영사님 마다 조건 금액이 모두달라서요. 예를들면 어떤분은 월 20사용에**만원 월30**만원 ,월50에 17만원 지원이렇게 모두달라서요^^;
월최소금액 사용에 최대현금 지원해주시는분이면좋겠어요ㅎㅎ 저는 꾸준히 1년이상 계속 사용할꺼예요~
댓글은 자세한 금액 알려주는게 안되는것같아서...
쪽지로 알려주셨으면해요.
괜찮으면 바로발급하려합니다
광고 ,카드소개 댓글은 사절합니다.
진짜로 잘 지원해주실분만 쪽지주세요.
댓글 주시면 채택할께요.ㅎㅎ"
1,"22살이구요 ~ 현대카드 혜택 좋은걸로 발급 받고싶은대
개인사업자있고 직장도있습니다!!!! 그리고 현금지원 받고싶은대
ㅎㅎ 연회비 괜찮은거랑 ㅎㅎ 카드 설계사분들 부탁드릴께요~"
2,"직장 5년째 다니구 있구요. 
4대보험 들고있습니다.

 제로 나 m 에디션2 상담받고 발급받으려고 하는데 현금 지원되는 설계사님 찾고있습니다."
3,"현대카드 제로 신규발급 현금지원 영사 답변주세요~
현대카드 발급 이력 없는 신규입니다.
연회비 가장 저렴한 제로카드 희망해요."
4,"신한카드 주거래로 사용하고 있는데,

남편카드 없애고 제 명의로 현대카드 발급해주려고 하는데 

처음 발행입니다. 

현금 지원해주실 분 쪽지부탁드립니다."
5,현대카드만들려는데 현금지원가능한가요
6,"현대카드 제로 발급 시 현금지원 관하여 상담 부탁 드립니다.
현금지원 안되는데 답변 달지 말아주세요."
7,현대카드M2 현금지원 많이해주는설계사님 쪽지부탁드려요
8,"한달에 80~100사용예정이고 생활비목적입니다
쪽지주세요"
9,"한달에 50 정도 평균적으로 사용될거같아요
카드 종류는 상관없는데 연회비 저렴하고 쇼핑쪽 할인이나 그런쪽이면좋겟네요"
10,쪽지부탁드려요
11,현대카드 현금 지원 가능한 설계사 추천 부탁드려용^^
12,"신용도 좋아요.
현대카드 신규 발급하려는데 현금지원 최대한 많이 주실 설계사님 아시나요? <비교중>"
13,"현대카드 제로 포인형 만들려고하는데요
현금지원 가능한 설계사분 댓글 부탁두려요"
14,"기존에 삼성카드 쓰고 있는데 삼성카드 해지하고
현대카드로 갈아타려고 합니다

평균 달에 50만원정도 사용하고
조금 더 사용할땐 70만원쯤 사용하는데요

현금지원 가능한 설계사님 있으신가요?


쪽지 부탁드려요"
15,현대카드 발급 받으면 현금지원 있나요?
16,"지금 현대제로카드사용중인데 kt통신비를 다른 신카에 자동이체중인데 혜택이없어서 찾아보니까 현대 m카드 kt제휴카드가있더라구요 카드만들때 현금지원해주는곳도 많은데 제휴카드는 안된다는 말을 들었거든요
제휴카드는 현금지원 못받나요?"
17,"현재 현대카드 없구요 처음 신규등록입니다~
혜택에 맞춰서 사업자 카드나 일반카드 받을생각입니다
코스트코에서 물품을 사야해서 월 40이상 사용할 예정입니다. 현금 지원 많이 해주시는 설계사분 있으시면 아려부세요ㅠㅠ!"
18,010 3913 7069 카드발급받으려구요 연락주세요 문자먼저 주세요
19,"현대카드는 처음 만듭니다
현금 마니 지원해주시는 설계사분 쪽지좀주세요~
바로 만들께영~"
20,안녕하세요 현대카드 발급하려하는데 현금지원 얼마되나요 ? 
21,"현대카드 발급받아야해서 발급받을라고하는데 현금지원받고 발급받고싶어요
설계사님들 쪽지주세요"
22,제로나 m3? 신규발급하려는데 현금지원가능하신 설계사분 있으신가요?
23,현대카드 발급시 현금지원해주시는 설계사님 쪽지부탁합니다.
24,"말그대로 현대카드m3발급기준 현금지원많이받고싶습니디.
아시는분추천좀해주세요"
25,4대보험들은 직장에서 월70정도 카드쓰는데 현금지원받고 현대카드만드려고합니다 wlsdnr0995로 카톡주십쇼
26,삼성카드쓰는데 현대카드로갈아타려고합니다 현금지원많이해주신찾습니다 쪽지주세요~^^
27,"현대카드 현금지원되나염

얼마까지되는지알고싶어용"
28,"현대카드 만들까 합니다.
직장인이고 월 80~100정도 사용하고 있습니다.
현금지원 많이 되는 설계사분 있나요"
29,"현대카드 발급시 현금 지원 가능 하신분 있나요?
월 2~3백 씁니다"
30,현재 삼성숫자 3 카드 쓰고있는데 적립도 별로고 혜택도 맘에 안들어서 현대 카드 찾아봐요 신규 가입이구요 생활비 외식비 150만원정도 씁니다 현금지원 많이 되시는분 추천 부탁드려여
31,현대카드 발급시 현금지원금이 얼마나 되나요?
32,"현재 현대카드 없구요 처음 신규등록입니다~
혜택에 맞춰서 사업자 카드나 일반카드 받을생각입니다
코스트코에서 물품을 사야해서 월 40이상 사용할 예정입니다. 현금 지원 많이 해주시는 설계사분 있으시면 아려부세요ㅠㅠ!"
33,현대카드 현금지원 해주는 영사님 추천좀 부탁드립니다
34,현대카드 M2 현금지원 최대 얼마까지 가능할까요?
35,현재 무직이고 신용등급은 좋아요 3등급인데 카드발급 가능한가요 
36,"현대카드 zero 할인형이나 Edition2 두개 확인중에 있습니다.
현금지원은 얼마나 받을수 있나요?"
37,현대카드 현금지원 해주시는 설계사님 추천 부탁드립니다.
38,"신용카드 처음 만듭니다.
사회생활 시작하게 되어서 필요할 것 같습니다.
현재 부모님 신용카드 쓰는데
한달 평균 무조건 70만원 이상은 쓰는 것 같습니다.

현대카드 혜택 좋은 (주유, 편의점, 영화 등)
카드로 지원금 많은 설계사분 찾습니다 !"
