store_name,menu,price
코나헤이븐,아메리카노,6000
카페판다,아메리카노,2800
평화다방,아메리카노,4600
카페인중독,아메리카노,3000
카페베네,아메리카노,4100
루고,아메리카노,3500
파리공방,아메리카노,3000
데일리티,아메리카노,1500
커피기업,아메리카노,3000
플레어비,아메리카노,4000
쿠오레,아메리카노,4200
아리스타커피,아메리카노,2700
메가엠지씨커피,아메리카노,1500
핸델앤그레텔,아메리카노,1800
더치앤빈,아메리카노,3000
커피101스트릿,아메리카노,3000
주커피,아메리카노,4100
오슬로우,아메리카노,2200
쿠카쿠,아메리카노,3800
소진담,아메리카노,5000
파스쿠찌,아메리카노,4000
커피온리,아메리카노,900
비거커피,아메리카노,1500
달콤,아메리카노,4100
도이창커피,아메리카노,5000
커피빈,아메리카노,4800
투썸플레이스,아메리카노,4100
카페코지,아메리카노,2300
그린머그,아메리카노,3500
라스베이글,아메리카노,3000
도노텀블,아메리카노,3800
오로시,아메리카노,3900
커핀그루나루,아메리카노,4100
터치카페,아메리카노,1600
일커피,아메리카노,3200
에이쓰리바우트 커피,아메리카노,3200
카페라떼르,아메리카노,2000
카페보니또,아메리카노,3700
크레이저커피,아메리카노,2500
카페텀블러,아메리카노,2800
커피베이,아메리카노,2800
카페게이트,아메리카노,2000
코페아커피,아메리카노,3200
달리는커피,아메리카노,2800
카페보스,아메리카노,3500
FAVORITECOFFEE,아메리카노,3800
카페플라타너스,아메리카노,3500
바빈스,아메리카노,2800
비라티오,아메리카노,4500
일리카페 ,아메리카노,4200
닐리스,아메리카노,3500
나인어클락커피,아메리카노,2800
블레스롤,아메리카노,4200
할리스커피,아메리카노,4100
디초콜릿커피앤드,아메리카노,3200
복고다방,아메리카노,2500
릴렉스라운지,아메리카노,2000
카페리빈,아메리카노,2800
빈스빈스,아메리카노,3800
빌리엔젤,아메리카노,4300
카페홀릭,아메리카노,3500
웨일즈커피,아메리카노,3500
메종드기기,아메리카노,2000
카페루앤비,아메리카노,2000
카페원플러스원,아메리카노,2500
컴포즈커피,아메리카노,2500
커피마마,아메리카노,2500
빽다방,아메리카노,1500
만랩커피,아메리카노,3500
비엔나커피하우스,아메리카노,4200
퀸즈브라운,아메리카노,2900
카페에이븐,아메리카노,3400
왕의커피,아메리카노,2500
제이엠커피로스터스,아메리카노,3800
커피에반하다,아메리카노,1500
퀸즈브라운,아메리카노,2900
카페에이븐,아메리카노,3400
카페인버스,아메리카노,4000
올리버브라운,아메리카노,4000
에슬로우커피,아메리카노,3300
더리터,아메리카노,2300
라떼떼,아메리카노,2800
카페다빈치,아메리카노,2500
베스트빈,아메리카노,3300
인재 36.5도카페,아메리카노,4000
요거프레소,아메리카노,3300
카페띠아모,아메리카노,3500
고품격커피공장,아메리카노,2500
쿠키프렌즈카페,아메리카노,4900
커피나무,아메리카노,4300
텀브커피,아메리카노,2500
후식,아메리카노,4000
셀렉토커피,아메리카노,3300
카페드림,아메리카노,1500
커피셀러,아메리카노,3000
브이카페,아메리카노,3900
커피코트,아메리카노,1000
커피인코나,아메리카노,3700
티블랙,아메리카노,2500
생활커피,아메리카노,4300
핸즈업,아메리카노,2500
미즈스타커피,아메리카노,1500
마린커피,아메리카노,2000
스미스바니,아메리카노,3500
커피쿡,아메리카노,5000
블랙라인커피,아메리카노,2000
핸즈업,아메리카노,2500
탭플레이,아메리카노,2000
아마스빈,아메리카노,1800
카페보노,아메리카노,2500
토프레소,아메리카노,2800
슈퍼커피,아메리카노,2500
텐퍼센트커피,아메리카노,2500
핵커피,아메리카노,2500
슈퍼사이즈커피,아메리카노,2800
아마떼,아메리카노,2900
"겟앤쇼카페		",아메리카노,4100
"켄커피		",아메리카노,2500
"하겐커피		",아메리카노,3000
"이디야커피		",아메리카노,3200
"바리스타비		",아메리카노,3000
"아프리카커피초콜릿		",아메리카노,3000
"빨콩		",아메리카노,1000
"라헬의부엌		4",아메리카노,4200
티톡,아메리카노,2500
"커피홀		",아메리카노,3200
"아로이커피		",아메리카노,3500
"알리바바커피앤도넛		",아메리카노,2700
"포트오브모카		",아메리카노,1900
"코드지	",아메리카노,3000
"카페라미떼	",아메리카노,3700
"킹스빈		1",아메리카노,1500
"일리터카페앤바		",아메리카노,2000
"라크리마커피		",아메리카노,2800
"카페몽테이너		",아메리카노,2000
"호이안로스터리		",아메리카노,5300
"엑소엑소핫도그앤커피		",아메리카노,4000
"밀리언커피		",아메리카노,2500
"청년다방		",아메리카노,1500
"허니빈스		",아메리카노,2700
"까사밍고		",아메리카노,3500
"카페뚤레		",아메리카노,1500
"해브에스프레소		",아메리카노,4000
"연운당		",아메리카노,3800
"코페아커피	",아메리카노,3200
"데니스		",아메리카노,2500
"마노핀		",아메리카노,2300
"벌크커피		",아메리카노,3000
"전광수커피		",아메리카노,4000
"커피명가		",아메리카노,4300
"감성커피		",아메리카노,1800
"버블엔젤		",아메리카노,3500
"세가프레도		",아메리카노,4100
"앤디스커피	",아메리카노,4400
"글로리아진스커피		",아메리카노,4100
"고바슨		",아메리카노,4500
"드립앤더치		",아메리카노,3500
"르돌치1946	",아메리카노,10000
"마시그래이		",아메리카노,1800
"아멜라떼		",아메리카노,3300
"팬도로시		",아메리카노,2000
"줄리앙와플		",아메리카노,1500
"커피니	",아메리카노,2500
"루프트커피		",아메리카노,4500
"에이그레이트카페		",아메리카노,2800
"보스커피&브런치		",아메리카노,3500
"화커피		",아메리카노,2000
"텐퍼센트스페셜티커피		",아메리카노,2500
"커피더캠프		",아메리카노,2500
"더블유커피컴퍼니	",아메리카노,4000
"카페데베르		",아메리카노,4500
"콘레드커피		",아메리카노,1000
"쉬즈베이글 커피		",아메리카노,1500
"탐앤탐스커피		",아메리카노,4100
"휘드카페		",아메리카노,2500
"빈타이	",아메리카노,4000
"앤더스커피	",아메리카노,2500
"카페아이엠티		",아메리카노,2300
"차뜨라므		",아메리카노,3500
"로반스윗		",아메리카노,2000
"커피블라우		",아메리카노,4000
"빈스앤베리즈		",아메리카노,3800
"카페코나퀸즈		",아메리카노,3800
"해리스카페		",아메리카노,3000
"휘카페	",아메리카노,2800
"봄봄테이크아웃		",아메리카노,3000
"라떼킹			",아메리카노,2500
"스트롱커피			",아메리카노,1500
"캔카페				",아메리카노,3000
"띵크커피				",아메리카노,4300
"베러먼데이				",아메리카노,1500
"백금당				",아메리카노,5500
"커피프린스				",아메리카노,6000
"9cafe				",아메리카노,1900
"플루800				",아메리카노,800
"워너커피				",아메리카노,3500
"에이바우트커피				",아메리카노,4500
"다트나인			",아메리카노,4000
"룰스타운				",아메리카노,2000
"하바나익스프레스				",아메리카노,1900
"아필코				",아메리카노,4100
"매머드익스프레스				",아메리카노,900
"매머드커피				",아메리카노,2500
"카페데플뢰르				",아메리카노,4800
"더바움			",아메리카노,4800
"케이엠엘리갤러리카페				",아메리카노,2000
"C27		",아메리카노,4200
"베로에스프레소 				",아메리카노,2000
"경성코페				",아메리카노,5000
카카듀,아메리카노,4600
플레이스38커피,아메리카노,3800
커피볶는집,아메리카노,2500
어벤더치커피,아메리카노,1500
아비아채,아메리카노,4000
지브릭커피,아메리카노,3500
커피왕,아메리카노,2800
프롬하츠,아메리카노,3300
더츠커피,아메리카노,4300
카페글렌,아메리카노,3500
카페에스파니,아메리카노,2500
아임일리터,아메리카노,2000
날쌘카페,아메리카노,2000
홈스테드,아메리카노,3700
블랙스퀘어커피,아메리카노,2300
미스터퀵다방,아메리카노,2800
스타벅스 ,아메리카노,4100
"탐앤탐스	",아메리카노,4100
"XOXO핫도그앤커피		",아메리카노,4000
A3BOUTCOFFEE,아메리카노,3200
도이창커피,아메리카노,5000
"이디야	",아메리카노,3200
