,카페,메뉴,가격,지역,구분
293,아티제 타워팰리스점,카페 아메리카노,8000,강남구,P
34,꽃을피우고,케냐AA,8000,강남구,P
9,버터핑거팬케이크 청담점,맥 앤 치즈,7200,강남구,P
190,트리아농,마닐라 망고,7000,강남구,P
55,탐앤탐스 블랙 청담점,소프트 플레인 요거트 스무디,7000,강남구,F
42,소적두 압구정점,소적두팥빙수,7000,강남구,P
135,이코복스커피 가로수길점,"보이차,홍차,우롱차",6900,강남구,P
6,듀자미,카라멜 소금케이크(조각),6700,강남구,P
156,가배도,말차,6500,강남구,P
52,탐앤탐스압구정로데오점,청포도 슬러쉬,6500,강남구,F
120,컨플릭트스토어,hand brew,6500,강남구,P
75,헤븐리29,30분 안마의자 마사지+음료,6500,강남구,P
178,스타벅스 수서점,골든 세서미 라떼,4100,강남구,F
84,스타벅스 신사역점,골든 세서미 라떼,4100,강남구,F
12,스타벅스 가로수길점,골든 세서미 라떼,4100,강남구,F
41,스타벅스 강남대로점,골든 세서미 라떼,4100,강남구,F
48,스타벅스 청담공원점,골든 세서미 라떼,4100,강남구,F
33,스타벅스 한티역점,골든 세서미 라떼,4100,강남구,F
174,스타벅스 강남R점,골든 세서미 라떼,4100,강남구,F
4,스타벅스 청담사거리점,골든 세서미 라떼,4100,강남구,F
193,스타벅스 서울세관사거리점,골든 세서미 라떼,4100,강남구,F
19,스타벅스 학동사거리점,골든 세서미 라떼,4100,강남구,F
168,스타벅스 선정릉역점,골든 세서미 라떼,4100,강남구,F
74,스타벅스 대치역점,골든 세서미 라떼,4100,강남구,F
138,스타벅스 역삼초교사거리점,골든 세서미 라떼,4100,강남구,F
15,스타벅스 청담영동대로점,골든 세서미 라떼,4100,강남구,F
13,스타벅스 강남구청역점,골든 세서미 라떼,4100,강남구,F
32,스타벅스 대치사거리점,골든 세서미 라떼,4100,강남구,F
235,스타벅스 압구정역점,골든 세서미 라떼,4100,강남구,F
27,스타벅스 강남구청정문점,골든 세서미 라떼,4100,강남구,F
10,스타벅스 스타필드코엑스몰R점,골든 세서미 라떼,4100,강남구,F
23,스타벅스 청담스타R점,골든 세서미 라떼,4100,강남구,F
70,스타벅스 도곡역점,골든 세서미 라떼,4100,강남구,F
153,스타벅스 역삼대로점,골든 세서미 라떼,4100,강남구,F
286,스타벅스 압구정로데오역점,골든 세서미 라떼,4100,강남구,F
20,스타벅스 압구정점,골든 세서미 라떼,4100,강남구,F
21,스타벅스 코엑스몰점,골든 세서미 라떼,4100,강남구,F
24,스타벅스 강남우성점,골든 세서미 라떼,4100,강남구,F
29,스타벅스 강남비젼타워점,골든 세서미 라떼,4100,강남구,F
38,스타벅스 선릉세화빌딩점,골든 세서미 라떼,4100,강남구,F
44,스타벅스 선릉역점,골든 세서미 라떼,4100,강남구,F
47,스타벅스 수서역R점,골든 세서미 라떼,4100,강남구,F
60,스타벅스 청담점,골든 세서미 라떼,4100,강남구,F
63,스타벅스 압구정미소점,골든 세서미 라떼,4100,강남구,F
68,스타벅스 양재강남빌딩R점,골든 세서미 라떼,4100,강남구,F
71,스타벅스 GS타워점,골든 세서미 라떼,4100,강남구,F
81,스타벅스 역삼역점,골든 세서미 라떼,4100,강남구,F
86,스타벅스 삼성역섬유센터R점,골든 세서미 라떼,4100,강남구,F
87,스타벅스 뱅뱅사거리점,골든 세서미 라떼,4100,강남구,F
92,스타벅스 학동역점,골든 세서미 라떼,4100,강남구,F
94,스타벅스 강남오거리점,골든 세서미 라떼,4100,강남구,F
96,스타벅스 선릉동신빌딩R점,골든 세서미 라떼,4100,강남구,F
100,스타벅스 도산가로수길점,골든 세서미 라떼,4100,강남구,F
102,스타벅스 신압구정점,골든 세서미 라떼,4100,강남구,F
105,커피오카,초코렛 콜라다,6000,강남구,P
107,마티스커피본점,브라질 산타이네스,6000,강남구,P
110,루소랩 청담,아메리카노,6000,강남구,P
115,카페캔플,아인슈페너(아메리카노 베이스),6000,강남구,P
129,데바스테이트 청담점,아메리카노,6000,강남구,P
144,카멜커피,카멜커피,5500,강남구,P
157,알베르,아메리카노,5500,강남구,P
163,제이콥스라운지커피,제이콥스비엔나,5500,강남구,P
167,lay bricks,아메리카노,5500,강남구,P
180,카페포엠,아메리카노,5500,강남구,P
216,카페마리,카페라떼,5500,강남구,P
232,투썸플레이스 차병원사거리점,카라켈마키아또,5400,강남구,F
234,이코복스 코엑스몰점,아메리카노,5300,강남구,P
243,폴바셋 청담점,카페라떼 (Standard),5300,강남구,F
249,폴바셋 GFC점,카페라떼 (Standard),5300,강남구,F
250,투썸플레이스 압구정CGV점,바닐라사케라또,5100,강남구,F
259,이디야커피랩,아메리카노,5000,강남구,F
264,피카 코엑스점,아메리카노,5000,강남구,P
267,클라우즈비,클라우즈 아메리카노,5000,강남구,P
279,탐앤탐스블랙 압구정점,아메리카노,5000,강남구,F
297,삼성동커피볶는집,케냐AA,5000,강남구,F
301,크라프트카페,아메리카노,5000,강남구,P
309,센터커피 삼성점,아메리카노,5000,강남구,P
54,에이링컨 커피 로스터스,아메리카노,5000,강남구,P
59,더 팬케이크 에피데믹 서울,아메리카노,5000,강남구,P
154,대치동커피볶는집,하우스 블렌드 (테이크 아웃 가능),5000,강남구,F
214,수수커피,아메리카노,4800,강남구,P
254,커피빈 강남역12번출구점,아메리카노 S,4800,강남구,F
2,카페뮤제,아메리카노,4800,강남구,P
14,커피빈 강남오토스퀘어점,아메리카노 S,4800,강남구,F
46,커피빈 강남역먹자골목점,아메리카노 S,4800,강남구,F
79,커피빈 압구정로데오점,아메리카노 S,4800,강남구,F
230,커피빈 수서점,아메리카노 S,4800,강남구,F
304,커피빈 뉴가로수길점,아메리카노 S,4800,강남구,F
284,엔제리너스 선릉점,아메리카노,4800,강남구,F
132,커피빈 학동역DT점,아메리카노 S,4800,강남구,F
175,커피빈 삼성봉은사거리점,아메리카노 S,4800,강남구,F
203,커피빈 신사점,아메리카노 S,4800,강남구,F
271,커피빈 역삼점,아메리카노 S,4800,강남구,F
0,커피빈 청담카페점,아메리카노 S,4800,강남구,F
93,커피빈 신논현역점,아메리카노 S,4800,강남구,F
114,커피빈 압구정시티점,아메리카노 S,4800,강남구,F
133,커피빈 스타타워점,아메리카노 S,4800,강남구,F
140,커피빈 메가박스점,아메리카노 S,4800,강남구,F
150,커피빈 청담성당점,아메리카노 S,4800,강남구,F
162,커피빈 삼성로점,아메리카노 S,4800,강남구,F
165,커피빈 압구정역점,아메리카노 S,4800,강남구,F
171,커피빈 도곡점,아메리카노 S,4800,강남구,F
227,커피빈 강남대로센터점,아메리카노 S,4800,강남구,F
7,커피빈 도심공항타워점,아메리카노 S,4800,강남구,F
39,커피빈 청담에스점,아메리카노 S,4800,강남구,F
45,커피빈 도심공항점,아메리카노 S,4800,강남구,F
49,커피빈 뉴압구정점,아메리카노 S,4800,강남구,F
57,커피빈 선릉역3번출구세방빌딩점,아메리카노 S,4800,강남구,F
62,커피빈 삼성봉은사로점,아메리카노 S,4800,강남구,F
67,커피빈 논현동수면센터점,아메리카노 S,4800,강남구,F
73,커피빈 선정릉역점,아메리카노 S,4800,강남구,F
85,커피빈 매봉역점,아메리카노 S,4800,강남구,F
99,커피빈 삼성오크우드점,아메리카노 S,4800,강남구,F
103,커피빈 대치사거리점,아메리카노 S,4800,강남구,F
106,커피빈 포스코사거리점,아메리카노 S,4800,강남구,F
