,카페,메뉴,가격,지역,구분
53,스타벅스 천호로데오점,골든 세서미 라떼,4100,강동구,F
119,스타벅스 명일이마트점,골든 세서미 라떼,4100,강동구,F
190,스타벅스 강동역점,골든 세서미 라떼,4100,강동구,F
208,스타벅스 길동역점,골든 세서미 라떼,4100,강동구,F
199,스타벅스 둔촌동점,골든 세서미 라떼,4100,강동구,F
236,스타벅스 상일동점,골든 세서미 라떼,4100,강동구,F
19,스타벅스 천호역점,골든 세서미 라떼,4100,강동구,F
1,스타벅스 명일역점,골든 세서미 라떼,4100,강동구,F
5,스타벅스 강동암사DT점,골든 세서미 라떼,4100,강동구,F
7,스타벅스 강동구청DT점,골든 세서미 라떼,4100,강동구,F
8,스타벅스 천호이마트점,골든 세서미 라떼,4100,강동구,F
9,스타벅스 길동사거리점,골든 세서미 라떼,4100,강동구,F
12,스타벅스 올림픽공원북문점,골든 세서미 라떼,4100,강동구,F
49,둔촌237커피농장,입장료,6000,강동구,P
78,투제이커피샌드위치,단호박스무디,6000,강동구,P
85,커피스미스 천호점,아이스 커피 프라페,5600,강동구,P
104,폴바셋 올림픽공원북2문점,카페라떼 (Standard),5300,강동구,F
113,폴바셋 상일동점,카페라떼 (Standard),5300,강동구,F
116,폴바셋 현대백화점천호점,카페라떼 (Standard),5300,강동구,F
143,커피와글,핸드드립 커피,5000,강동구,P
44,송화의카페,로얄밀크티,5000,강동구,P
141,커피로드463,아인슈패너,5000,강동구,P
47,온리망고,망고 쥬스,5000,강동구,P
40,알투라,콜롬비아 슈프리모 Drip,5000,강동구,P
128,카페 티아레,아메리카노,5000,강동구,P
198,분홍다이닝,아메리카노,4800,강동구,P
3,커피빈 강동경희대병원앞점,아메리카노 S,4800,강동구,F
107,커피빈 현대자동차성내점,아메리카노 S,4800,강동구,F
164,커피빈 올림픽공원북문점,아메리카노 S,4800,강동구,F
202,커피빈 천호역점,아메리카노 S,4800,강동구,F
228,엔제리너스강동경희대병원점,아메리카노,4800,강동구,F
232,아티제 상일GEC점,아메리카노,4700,강동구,P
2,카페노란코끼리,아몬드 크림 커피,4500,강동구,P
20,카페창희,카페라떼,4500,강동구,P
23,더츠커피 가르텐페스트점,아메리카노,4300,강동구,F
26,Moore espresso,cappuccino,4300,강동구,P
27,갸또마마,호텔식빵,4200,강동구,P
215,탐앤탐스 천호로데오점,아메리카노,4100,강동구,F
136,탐앤탐스커피길동사거리점,카페 아메리카노,4100,강동구,F
33,할리스커피 굽은다리역점,카페 아메리카노,4100,강동구,F
257,할리스커피 천호로데오점,카페 아메리카노,4100,강동구,F
13,할리스커피 길동역점,카페 아메리카노,4100,강동구,F
237,투썸플레이스 굽은다리역점,아메리카노,4100,강동구,F
21,할리스커피 천호베네시티점,카페 아메리카노,4100,강동구,F
10,할리스커피 고덕리앤파크점,카페 아메리카노,4100,강동구,F
14,투썸플레이스 강동역점,아메리카노,4100,강동구,F
18,투썸플레이스 강동성심병원점,아이스 카페 아메리카노,4100,강동구,F
22,카페베네 고덕역점,아메리카노,4100,강동구,F
24,카페베네 천호역점,아메리카노,4100,강동구,F
28,투썸플레이스 길동점,커피,4100,강동구,F
46,투썸플레이스 천호로데오점,아메리카노,4100,강동구,F
71,커핀그루나루 굽은다리역점,아메리카노(S),4100,강동구,F
84,커핀그루나루 길동사거리점,아메리카노(S),4100,강동구,F
88,커핀그루나루 길동점,아메리카노(S),4100,강동구,F
114,투썸플레이스 강동구청점,아메리카노,4100,강동구,F
125,커핀그루나루 둔촌점,아메리카노(S),4100,강동구,F
138,커핀그루나루 천호공원점,아메리카노(S),4100,강동구,F
161,커피몽타주,아메리카노,4000,강동구,P
174,카페 이유,아메리카노,4000,강동구,P
178,카페프루스트,카페라떼,4000,강동구,P
195,카페인더집,건강차,4000,강동구,P
196,바이더스 커피,"롱블랙(아메리카노,HOT/ICED)",3900,강동구,P
201,카페허브,아메리카노,3800,강동구,P
212,Cafe Asher,아메리카노,3800,강동구,P
0,카페트리플러스,아메리카노,3800,강동구,P
73,딥오리진,아메리카노,3800,강동구,P
247,킹콩카페,킹콩라떼,3800,강동구,P
288,운카페,커피,3800,강동구,P
153,이디야커피 고덕점,카페라떼,3700,강동구,F
68,피에로커피,아메리카노,3500,강동구,P
127,벌스커피,아메리카노,3500,강동구,P
200,빈터커피로스터스,아메리카노,3500,강동구,P
206,키읔피읖,아메리카노,3500,강동구,P
221,온온커피,아메리카노,3500,강동구,P
273,마노스커피,아메리카노,3500,강동구,P
66,커피 아마렐로,아메리카노,3500,강동구,P
4,이디야커피 천호역점,커피 플래치노,3500,강동구,F
6,외계인커피,아인슈페너 by 태양커피,3500,강동구,P
11,빈터커피로스터스 둔촌점,아메리카노,3500,강동구,P
15,도미넌트,아메리카노,3500,강동구,P
17,낭띠발아커피,발아 아메리카노,3500,강동구,P
25,프롬투커피,아메리카노,3500,강동구,P
32,오페라빈,아메리카노,3500,강동구,P
34,2ROUND,아메리카노(hot & ice),3500,강동구,P
41,카페인,아메리카노,3500,강동구,P
64,카페에클레시아,아메리카노,3500,강동구,P
67,cafe79page,커피,3500,강동구,P
110,카페코이로,아메리카노(아이스),3500,강동구,P
111,카페스텔라,아메리카노,3500,강동구,P
160,아소프로아,비엔나커피,3500,강동구,P
168,카페베네 명일역점,아메리카노,3500,강동구,F
209,루하커피,아메리카노,3500,강동구,P
220,카페베네 암사롯데캐슬점,아메리카노,3500,강동구,F
242,이디야커피 굽은다리역점,아메리카노,3500,강동구,F
