,Unnamed: 0,카페,메뉴,가격,지역,구분
82,82,라떼킹 북한산점,1리터 아메리카노,7800,강북구,P
0,0,커피베스코,텐저린 진저,7000,강북구,P
236,236,키미아트,아메리카노,6500,강북구,P
1,1,스타벅스 미아사거리역점,골든 세서미 라떼,4100,강북구,F
8,8,스타벅스 수유역점,골든 세서미 라떼,4100,강북구,F
17,17,스타벅스 강북구청사거리점,골든 세서미 라떼,4100,강북구,F
19,19,스타벅스 미아역점,골든 세서미 라떼,4100,강북구,F
64,64,스타벅스 미아뉴타운점,골든 세서미 라떼,4100,강북구,F
237,237,스타벅스 종암점,골든 세서미 라떼,4100,강북구,F
3,3,전광수커피하우스 북한산점,레몬베리스무디,6000,강북구,P
137,137,요거프레소 가오리역점,메리시리즈,6000,강북구,F
182,182,로스트리,브라질 100g,6000,강북구,P
192,192,카페아모제 롯데미아점,치킨강정(200g),6000,강북구,P
6,6,미즐,카페라떼,5500,강북구,P
114,114,북서울꿈의숲전망대카페,아포가또,5000,강북구,P
2,2,커피빈 수유역점,아메리카노 S,4800,강북구,F
11,11,커피빈 강북구청앞점,아메리카노 S,4800,강북구,F
52,52,엔제리너스 수유역점,아메리카노,4800,강북구,F
139,139,엔제리너스 롯데백미아점,아메리카노,4800,강북구,F
116,116,에스페레커피,더치 아메리카노,4500,강북구,P
161,161,cafe9,아메리카노,4500,강북구,P
190,190,파스쿠찌 롯데시네마 수유점,커피,4300,강북구,F
66,66,카페7그램 수유점,아이스 아메리카노,4200,강북구,P
7,7,할리스커피 수유사거리점,카페 아메리카노,4100,강북구,F
43,43,투썸플레이스 미아테라스파크점,아메리카노,4100,강북구,F
71,71,투썸플레이스 강북미아점,아이스 카페 아메리카노,4100,강북구,F
92,92,투썸플레이스 북서울꿈의숲점,아메리카노,4100,강북구,F
269,269,투썸플레이스 쌍문역점,아메리카노,4100,강북구,F
10,10,이디야 수유사거리점,아메리카노,4100,강북구,F
13,13,이디야커피 삼각산점,아메리카노,4100,강북구,F
14,14,이디야커피 미아삼거리점,아메리카노,4100,강북구,F
20,20,이디야커피 미아중앙점,아메리카노,4100,강북구,F
23,23,이디야커피 한신대역점,아메리카노,4100,강북구,F
24,24,키쉬미뇽,치즈타르트,4100,강북구,P
25,25,이디야커피 신수유역점,아메리카노,4100,강북구,F
26,26,투썸플레이스 수유사거리점,아메리카노,4100,강북구,F
29,29,이디야커피 광산사거리점,아메리카노,4100,강북구,F
30,30,커피베이 미아북부점,아메리카노,4100,강북구,F
31,31,탐앤탐스 수유역점,아메리카노,4100,강북구,F
32,32,엔제리너스 미아삼거리역점,아메리카노,4100,강북구,F
38,38,이디야커피 삼양사거리점,아메리카노,4100,강북구,F
39,39,커피베이 솔샘역점,어메리카노,4100,강북구,F
40,40,이디야커피 삼양시장점,아메리카노,4100,강북구,F
41,41,킹스턴커피,아메리카노,4100,강북구,P
42,42,경스커피 수유점,아메리카노,4100,강북구,P
72,72,카페베네 미아사거리역점,아메리카노,4100,강북구,F
74,74,이디야 미아삼거리역점,아메리카노,4100,강북구,F
75,75,커피데코,카푸치노,4100,강북구,P
