,Unnamed: 0,카페,메뉴,가격,지역,구분
121,121,탐앤탐스 강서구청점,아메리카노,6500,강서구,F
279,279,루시카토,"딸기하나, 루시베리하트 각",6500,강서구,P
0,0,스타벅스 발산역점,골든 세서미 라떼,4100,강서구,F
1,1,스타벅스 화곡동점,골든 세서미 라떼,4100,강서구,F
21,21,스타벅스 마곡사이언스타워R점,골든 세서미 라떼,4100,강서구,F
34,34,스타벅스 까치산역점,골든 세서미 라떼,4100,강서구,F
36,36,스타벅스 방화DT점,골든 세서미 라떼,4100,강서구,F
42,42,스타벅스 마곡나루역점,골든 세서미 라떼,4100,강서구,F
46,46,스타벅스 화곡DT점,골든 세서미 라떼,4100,강서구,F
57,57,스타벅스 염창역점,골든 세서미 라떼,4100,강서구,F
65,65,스타벅스 가양역점,골든 세서미 라떼,4100,강서구,F
75,75,스타벅스 마곡GMG점,골든 세서미 라떼,4100,강서구,F
84,84,스타벅스 등촌점,골든 세서미 라떼,4100,강서구,F
103,103,스타벅스 양천향교역점,골든 세서미 라떼,4100,강서구,F
110,110,스타벅스 가양이마트점,골든 세서미 라떼,4100,강서구,F
131,131,스타벅스 발산역사거리점,골든 세서미 라떼,4100,강서구,F
166,166,스타벅스 우장산역점,골든 세서미 라떼,4100,강서구,F
23,23,커피아마토르,아마토르샌드위치,6000,강서구,P
25,25,커피볶는제임스,핸드드립 블렌드 150g,6000,강서구,P
305,305,t time cafe,베이글토스트셋트,6000,강서구,P
78,78,폴바셋 롯데 김포공항점,카페라떼 (Standard),5300,강서구,F
5,5,커피볶는 곤이네집,곤이네집 브랜드,5000,강서구,P
261,261,내카페,로얄 아메리카노,5000,강서구,P
16,16,커피빈 강서그랜드아이파크점,아메리카노 S,4800,강서구,F
17,17,커피빈 화곡역점,아메리카노 S,4800,강서구,F
24,24,커피빈 마곡마커스빌딩점,아메리카노 S,4800,강서구,F
37,37,커피빈 양천향교역점,아메리카노 S,4800,강서구,F
125,125,엔제리너스커피 롯데시네가양TO점,아메리카노,4800,강서구,F
186,186,엔제리너스 김포공항1층점,아메리카노,4800,강서구,F
228,228,엔제리너스 송정역점,아메리카노,4800,강서구,F
265,265,엔제리너스 롯데몰김포공항1호점,아메리카노,4800,강서구,F
278,278,엔제리너스 롯데몰김포공항2호점,아메리카노,4800,강서구,F
291,291,엔제리너스 롯데백화점김포공항점,아메리카노,4800,강서구,F
298,298,엔제리너스 롯데시네김포TO점,아메리카노,4800,강서구,F
184,184,아티제 이대서울병원점,아메리카노,4700,강서구,F
146,146,달콤커피 김포공항 특설매장,아메리카노,4600,강서구,F
267,267,샌디 래인,아이스라떼,4600,강서구,P
67,67,커피브로스,아메리카노,4500,강서구,P
136,136,내커피,아메리카노,4500,강서구,P
165,165,카페베네 화곡중앙점,콜드브루,4500,강서구,F
227,227,블레인스커피,로얄밀크티,4500,강서구,P
139,139,파스쿠찌 까치산점,아메리카노,4300,강서구,F
180,180,파스쿠찌 김포공항국내선점,아메리카노,4300,강서구,F
214,214,카페 화림,아메리카노,4300,강서구,P
273,273,파스쿠찌 강서NC백화점점,아메리카노(R),4300,강서구,F
2,2,탐앤탐스커피화곡역점,아메리카노,4100,강서구,F
3,3,할리스커피 화곡역점,카페 아메리카노,4100,강서구,F
4,4,할리스커피 마곡퀸즈파크나인점,카페 아메리카노,4100,강서구,F
6,6,할리스커피 발산역점,카페 아메리카노,4100,강서구,F
