,카페,메뉴,가격,지역,구분
175,커피 플라넷츠,원두커피 200g 최저가,6500,관악구,P
239,모모 관악점,아메리칸 디쉬,6500,관악구,P
0,스타벅스 신림사거리점,골든 세서미 라떼,4100,관악구,F
9,스타벅스 보라매대교점,골든 세서미 라떼,4100,관악구,F
16,스타벅스 서울대입구역점,골든 세서미 라떼,4100,관악구,F
34,스타벅스 사당점,골든 세서미 라떼,4100,관악구,F
49,스타벅스 신림점,골든 세서미 라떼,4100,관악구,F
51,스타벅스 관악서울대입구R점,골든 세서미 라떼,4100,관악구,F
58,스타벅스 낙성대DT점,골든 세서미 라떼,4100,관악구,F
62,스타벅스 신림역포도몰점,골든 세서미 라떼,4100,관악구,F
72,스타벅스 서울대역점,골든 세서미 라떼,4100,관악구,F
93,스타벅스 신림DT점,골든 세서미 라떼,4100,관악구,F
103,스타벅스 낙성대역점,골든 세서미 라떼,4100,관악구,F
8,coffee urban,벨기에 생크림 와플,6000,관악구,P
35,탐앤탐스커피 난곡사거리점,청포도 슬러쉬,6000,관악구,F
204,쑥고개로,쑥고개라떼,6000,관악구,P
71,카페베네 사당역점,그린티 프라페노 R,5500,관악구,F
220,스토리카페,허니브레드,5500,관악구,P
88,투썸플레이스 낙성대역점,화이트 모카,5400,관악구,F
176,폴바셋롯데백화점관악점,카페라떼 (Standard),5300,관악구,F
5,가빈커피로스터스,초콜렛라떼,5000,관악구,P
174,세미온,치즈브라우니,5000,관악구,P
289,빈스브라운,에티오피아예가체프,5000,관악구,P
7,커피빈 서울대입구역점,아메리카노 S,4800,관악구,F
14,엔제리너스 신림역점,아메리카노,4800,관악구,F
15,커피빈 신림점,아메리카노 S,4800,관악구,F
21,커피빈 낙성대역점,아메리카노 S,4800,관악구,F
30,오렌지연필,아메리카노,4800,관악구,P
31,엔제리너스 봉천점,아메리카노,4800,관악구,F
86,소확행,아메리카노,4800,관악구,P
121,엔제리너스 구로디지털역점,아메리카노,4800,관악구,F
141,카페코지 사당역점,코코넛커피스무디,4800,관악구,F
205,엔제리너스 대학점,아메리카노,4800,관악구,F
212,엔제리너스 서울대라붐TO점,아메리카노,4800,관악구,F
3,4 Lines Coffee,라떼 아인슈페너,4500,관악구,P
4,소디스커피,아메리카노,4500,관악구,P
33,이디야커피 서울대중앙점,이디야 쉐이크,4500,관악구,F
46,커피니 관악KT점,브레드(허니/초코),4500,관악구,P
94,파스쿠찌 서울대점,아메리카노,4300,관악구,F
236,파스쿠찌 서울대관정도서관점,아메리카노,4300,관악구,F
2,할리스커피 서울대사거리점,카페 아메리카노,4100,관악구,F
10,할리스커피 신림점,카페 아메리카노,4100,관악구,F
12,할리스커피 낙성대역점,카페 아메리카노,4100,관악구,F
18,할리스커피 신림역점,카페 아메리카노,4100,관악구,F
20,투썸플레이스 사당점,아메리카노,4100,관악구,F
22,할리스커피 신림사거리점,카페 아메리카노,4100,관악구,F
28,할리스커피 난곡사거리점,카페 아메리카노,4100,관악구,F
40,투썸플레이스 신림역점,아메리카노,4100,관악구,F
41,할리스커피 신림고시촌점,카페 아메리카노,4100,관악구,F
55,투썸플레이스서울대입구역점,아메리카노,4100,관악구,F
69,투썸플레이스 신림로점,카페 아메리카노,4100,관악구,F
73,투썸플레이스 구로디지털단지역점,아메리카노,4100,관악구,F
77,할리스커피 서울대예술문화점,카페 아메리카노,4100,관악구,F
89,투썸플레이스 서울대역중앙점,카페 아메리카노,4100,관악구,F
125,탐앤탐스 신대방역점,아메리카노,4100,관악구,F
127,할리스커피 커피클럽 서울대예술문화점,카페 아메리카노,4100,관악구,F
134,투썸플레이스 서울대점,카페 아메리카노,4100,관악구,F
