,Unnamed: 0,카페,메뉴,가격,지역,구분
169,4,스타벅스 건대입구점,골든 세서미 라떼,4100,광진구,F
170,6,스타벅스 강변역점,골든 세서미 라떼,4100,광진구,F
171,8,스타벅스 건대스타시티점,골든 세서미 라떼,4100,광진구,F
172,23,스타벅스 군자역점,골든 세서미 라떼,4100,광진구,F
173,49,스타벅스 구의역점,골든 세서미 라떼,4100,광진구,F
174,55,스타벅스 구의DT점,골든 세서미 라떼,4100,광진구,F
175,62,스타벅스 건국클래식점,골든 세서미 라떼,4100,광진구,F
176,73,스타벅스 어린이대공원역점,골든 세서미 라떼,4100,광진구,F
177,77,스타벅스 자양점,골든 세서미 라떼,4100,광진구,F
178,79,스타벅스 광나루점,골든 세서미 라떼,4100,광진구,F
179,84,스타벅스 아차산역점,골든 세서미 라떼,4100,광진구,F
180,108,스타벅스 자양사거리점,골든 세서미 라떼,4100,광진구,F
181,125,스타벅스 올림픽대교북단점,골든 세서미 라떼,4100,광진구,F
182,131,스타벅스 광장점,골든 세서미 라떼,4100,광진구,F
183,138,스타벅스 건국대점,골든 세서미 라떼,4100,광진구,F
166,17,커피더쏠,카페라떼,6000,광진구,P
167,99,카페피아트,토마토주스,6000,광진구,P
168,141,커피를 들다,커피,6000,광진구,P
165,76,카페에이룸,베이비 슈페너,5500,광진구,P
164,102,폴바셋 더클래식500건대점,카페라떼 (Standard),5300,광진구,F
161,38,LITE LANE,아메리카노,5000,광진구,P
162,115,투썸플레이스 아차산역점,모닝제품 + 아메리카노,5000,광진구,F
163,239,카페카파,아메리칸핫도그+아메리카노,5000,광진구,P
151,7,엔제리너스커피 건대역점,아메리카노,4800,광진구,F
152,24,커피빈 건대스타시티점,아메리카노 S,4800,광진구,F
153,37,커피빈 구의삼성쉐르빌점,아메리카노 S,4800,광진구,F
154,43,커피빈 광장동대한제지점,아메리카노 S,4800,광진구,F
155,54,커피빈 강변테크노마트점,아메리카노 S,4800,광진구,F
156,60,엔제리너스 롯데시네건대점,아메리카노,4800,광진구,F
157,151,엔제리너스 건대영존,아메리카노,4800,광진구,F
158,167,카페레가토,카페 사이공,4800,광진구,P
159,214,엔제리너스 건대병원점,아메리카노,4800,광진구,F
160,231,탭플레이 중곡점,라임모히또,4800,광진구,F
150,124,아티제 건국대병원점,아메리카노,4700,광진구,P
147,0,최가커피,아메리카노,4500,광진구,P
148,28,시드누아 중곡점,아메리카노,4500,광진구,P
149,251,에스프레소 바 시,아메리카노(HOT),4500,광진구,P
142,9,MouseRabbit,아메리카노,4300,광진구,P
143,35,씨에이커피,아메리카노,4300,광진구,P
144,44,오프로드커피,아메리카노 2샷 16온스,4300,광진구,P
145,182,파스쿠찌 광장워커힐점,아메리카노,4300,광진구,F
121,2,탐앤탐스 탐스커버리 건대점,아메리카노,4100,광진구,P
122,5,커피마켓,아메리카노,4100,광진구,P
123,13,할리스커피 건대입구점,카페 아메리카노,4100,광진구,F
124,18,할리스커피 광나루역점,카페 아메리카노,4100,광진구,F
125,21,할리스커피 광장점,카페 아메리카노,4100,광진구,F
126,22,할리스커피 건대일감호수점,카페 아메리카노,4100,광진구,F
127,32,할리스커피 화양점,카페 아메리카노,4100,광진구,F
128,39,할리스커피 테크노마트점,카페 아메리카노,4100,광진구,F
129,41,투썸플레이스 건대입구점,아메리카노,4100,광진구,F
130,69,투썸플레이스 어린이대공원역점,아메리카노,4100,광진구,F
131,92,투썸플레이스 건대스타시티,아메리카노,4100,광진구,F
132,95,투썸플레이스 동서울터미널점,아이스 카페 아메리카노,4100,광진구,F
133,103,투썸플레이스군자역점,카페 아메리카노,4100,광진구,F
134,109,투썸플레이스 강변CGV점,아메리카노,4100,광진구,F
135,118,탐앤탐스 탐스커버리 광진화양점,아메리카노,4100,광진구,P
136,119,탐앤탐스 어린이대공원점,아메리카노,4100,광진구,P
137,126,카페베네 건대2호점,아메리카노,4100,광진구,F
138,146,투썸플레이스 광장힐스테이트점,아이스 카페 아메리카노,4100,광진구,F
139,181,탐앤탐스 광진구청점,아메리카노,4100,광진구,P
140,196,투썸플레이스세종대학교점,카페 아메리카노,4100,광진구,F
141,223,카페니드,아메리카노,4100,광진구,P
115,27,블레이크커피,아메리카노,4000,광진구,P
116,52,파스쿠찌 테크노마트점,아메리카노 R,4000,광진구,F
117,130,커피인글러브,커피,4000,광진구,P
