,Unnamed: 0,카페,메뉴,가격,지역,구분
9,43,에이스커피,신선한 원두,7000,구로구,P
10,40,탐앤탐스 신도림테크노마트점,청포도 슬러쉬,6500,구로구,P
11,5,스타벅스 오류동역점,골든 세서미 라떼,6100,구로구,F
12,14,스타벅스 현대디큐브B2점,골든 세서미 라떼,6100,구로구,F
13,23,스타벅스 구로호텔점,골든 세서미 라떼,6100,구로구,F
14,37,스타벅스 현대디큐브2F점,골든 세서미 라떼,6100,구로구,F
15,60,스타벅스 신도림점,골든 세서미 라떼,6100,구로구,F
16,71,스타벅스 구로디지털로점,골든 세서미 라떼,6100,구로구,F
17,87,스타벅스 구로에이스점,골든 세서미 라떼,4100,구로구,F
18,100,스타벅스 구로디지털타워점,골든 세서미 라떼,4100,구로구,F
19,109,스타벅스 신세계아이앤씨점,골든 세서미 라떼,4100,구로구,F
20,171,스타벅스 구로하이엔드점,골든 세서미 라떼,4100,구로구,F
25,145,한국영파머스클럽 로컬푸드&카페,아메리카노+치아바타 세트,6000,구로구,P
26,22,카페베네 신도림테크노마트점,레몬 에이드,5500,구로구,F
27,0,띵크커피 디큐브시티점,아메리카노 L,5300,구로구,P
28,24,폴바셋 현대백화점 디큐브시티점,카페라떼 (Standard),5300,구로구,F
29,44,폴바셋 구로지밸리몰점,카페라떼 (Standard),5300,구로구,F
30,84,투썸플레이스 오류역점,스트로베리 라떼,5300,구로구,F
31,4,커피빈 현대백화점 디큐브시티점,아메리카노 S,4800,구로구,F
32,10,엔제리너스 신도림테크노마트점,아메리카노,4800,구로구,F
33,16,커피빈 구로디지털단지점,아메리카노 S,4800,구로구,F
34,48,커피빈 구로지밸리몰점,아메리카노 S,4800,구로구,F
35,74,아방가르드갤러리앤카페,아메리카노,4200,구로구,P
36,6,투썸플레이스 신도림디큐브시티점,카페 아메리카노,4100,구로구,F
37,7,할리스커피 구로역점,카페 아메리카노,4100,구로구,F
38,18,할리스커피 구로점,카페 아메리카노,4100,구로구,F
39,20,할리스커피 구로디지털단지점,카페 아메리카노,4100,구로구,F
40,35,할리스커피 고대구로병원점,카페 아메리카노,4100,구로구,F
41,38,할리스커피 고척스카이돔점,카페 아메리카노,4100,구로구,F
42,42,투썸플레이스 구로디지털역 깔깔거리점,아메리카노,4100,구로구,F
43,78,투썸플레이스 구로디지털점,아이스 카페 아메리카노,4100,구로구,F
44,92,커핀그루나루 퍼플멤버스 신도림 라운지,아메리카노,4100,구로구,F
45,113,투썸플레이스 구로구청사거리점,아메리카노,4100,구로구,F
46,119,투썸플레이스 개봉역점,아메리카노,4100,구로구,F
47,180,투썸플레이스 구로대륭7차점,카페 아메리카노,4100,구로구,F
48,181,투썸플레이스 구로대륭1차점,아메리카노,4100,구로구,F
49,1,탐앤탐스 신도림점,핫초코,4000,구로구,P
50,45,커피나무,에스프레소,4000,구로구,F
51,52,써드포지션,아메리카노,4000,구로구,P
52,55,힙스터,아메리카노,4000,구로구,P
53,125,파스쿠찌 디큐브아트센터점7,아메리카노 R,4000,구로구,F
54,134,하이퍼커피,달달고 시원한 아이스 돌체라떼,4000,구로구,P
55,152,히즈라네고양이,카페라떼류,4000,구로구,P
56,288,마프라오,아메리카노,4000,구로구,P
57,49,커피콩 볶는방,아메리카노,3800,구로구,P
0,76,커피에반하다 구로덕의초점,아메리카노,3500,구로구,F
1,93,커피에반하다 구로개봉점,아메리카노,3500,구로구,F
2,101,커피에반하다 구로오류점,1500,3500,구로구,F
3,103,커피에반하다 구로고척점,아메리카노,3500,구로구,F
4,110,커피에반하다 구로디지털단지점,아메리카노,3500,구로구,F
5,115,커피에반하다 구로개봉3동점,아메리카노,3500,구로구,F
6,121,커피베이 성공회대입구점,아메리카노,3500,구로구,F
7,243,카페유원,평일 주말,3500,구로구,P
58,11,이름없는가게,아메리카노,3500,구로구,P
59,65,카페민트,아메리카노,3500,구로구,P
60,99,Cafe126,아메리카노(hot),3500,구로구,P
61,179,보은하다,아메리카노,3500,구로구,P
62,199,아자리아,아메리카노,3500,구로구,P
148,8,이디야커피 개봉현대점,아메리카노,3500,구로구,F
149,17,이디야커피 오류남부점,아메리카노,3500,구로구,F
150,19,이디야커피 구일역점,아메리카노,3500,구로구,F
151,21,이디야커피 신도림메르디앙점,아메리카노,3500,구로구,F
152,25,이디야커피 개봉역점,아메리카노,3500,구로구,F
153,30,이디야커피 고척스카이돔점,아메리카노,3500,구로구,F
154,31,요거프레소 신도림푸르지오점,아메리카노,3500,구로구,F
155,33,이디야커피 천왕이펜하우스점,아메리카노,3500,구로구,F
156,36,이디야커피 개봉북부점,아메리카노,3500,구로구,F
157,39,이디야커피 남구로역점,아메리카노,3500,구로구,F
158,41,이디야커피 구로구청점,아메리카노,3500,구로구,F
159,47,이디야커피 구로에이스점,아메리카노,3500,구로구,F
160,50,이디야커피 구로AK점,아메리카노,3500,구로구,F
161,53,밀탑 현대백화점 디큐브시티점,아메리카노,3500,구로구,P
162,54,이디야커피 메르디앙고척점,아메리카노,3500,구로구,F
163,57,이디야 구로고척점,아메리카노,3500,구로구,F
164,58,이디야커피 개봉중앙점,아메리카노,3500,구로구,F
165,59,이디야커피 구로거리공원점,아메리카노,3500,구로구,F
166,61,미스터브리즈커피구로구청점,아메리카노,3500,구로구,P
167,62,이디야커피 구로코레일점,아메리카노,3500,구로구,F
168,64,이디야커피 구로중앙점,아메리카노,3500,구로구,F
169,77,커피쏠브즈에브리띵,아메리카노,3500,구로구,P
170,83,커피공감,아메리카노,3500,구로구,P
171,85,이디야커피 구로디지털점,아메리카노,3500,구로구,F
172,89,커피스테이션,아메리카노,3500,구로구,P
173,90,커피공화국,아메리카노,3500,구로구,P
174,91,땡스커피,아메리카노,3500,구로구,P
175,94,수제초콜릿&커피,아메리카노,3500,구로구,P
176,96,노커커피공방,아메리카노,3500,구로구,P
177,97,꿈을볶는커피하우스,아메리카노,3500,구로구,P
178,104,커피베이 온수힐스테이트점,아메리카노,3500,구로구,F
179,106,커피향,아메리카노,3500,구로구,P
180,107,커피베이구로하이엔드점,아메리카노,3500,구로구,F
181,108,커피베이 개봉역점,아메리카노,3500,구로구,F
182,111,커피스토리,아메리카노,3500,구로구,P
183,114,커피레벨52,아메리카노,3500,구로구,P
184,116,그렐린푸드&커피트럭,아메리카노,3500,구로구,P
185,117,카페봉주르마담,아메리카노,3500,구로구,P
186,120,CoffeeHills,아메리카노,3500,구로구,P
187,126,고트커피,아메리카노,3500,구로구,P
188,127,커피인코나,아메리카노,3500,구로구,F
189,129,커피볶는집,아메리카노,3500,구로구,F
190,130,커피스토리,아메리카노,3500,구로구,P
191,131,LUKECOFFEE,아메리카노,3500,구로구,P
192,132,커피콩,아메리카노,3500,구로구,P
193,135,그렐린커피트럭,아메리카노,3500,구로구,P
194,136,모조커피,아메리카노,3500,구로구,P
195,137,ALLTHATCOFFEE,아메리카노,3500,구로구,P
196,138,커피AD,아메리카노,3500,구로구,P
197,139,맥심커피,아메리카노,3500,구로구,P
198,141,COFFEECOURT,아메리카노,3500,구로구,P
199,142,에이스커피,아메리카노,3500,구로구,P
200,143,송상수커피,아메리카노,3500,구로구,P
201,144,원커피호프,아메리카노,3500,구로구,P
202,146,COFFEEZERO,아메리카노,3500,구로구,P
203,147,잇츠커피,아메리카노,3500,구로구,P
204,148,커피힐스,아메리카노,3500,구로구,P
205,149,아이엠카페,아메리카노,3500,구로구,P
206,150,커피셔틀제빵소,아메리카노,3500,구로구,P
207,151,크리스탈커피&맥주,아메리카노,3500,구로구,P
208,153,커피드림,아메리카노,3500,구로구,P
209,156,장미커피맥주,아메리카노,3500,구로구,P
210,157,다사랑커피호프,아메리카노,3500,구로구,P
211,158,COFFEE향,아메리카노,3500,구로구,P
212,159,커피91스토리,아메리카노,3500,구로구,P
213,160,이디야커피 고대구로병원점,아메리카노,3500,구로구,F
214,161,보보커피,아메리카노,3500,구로구,P
215,162,고려커피호프,아메리카노,3500,구로구,P
216,163,에픽커피,아메리카노,3500,구로구,P
217,164,이츠커피,아메리카노,3500,구로구,P
218,165,커피주전자,아메리카노,3500,구로구,P
219,166,COFFEE29,아메리카노,3500,구로구,P
220,167,천일커피호프,아메리카노,3500,구로구,F
221,168,I'm커피,아메리카노,3500,구로구,P
222,169,커피&호프라이야,아메리카노,3500,구로구,P
223,170,Caffe&WineT,아메리카노,3500,구로구,P
224,172,마듀,아메리카노,3500,구로구,P
225,184,코멧,아메리카노,3500,구로구,P
226,187,도서관가는길,아메리카노,3500,구로구,P
227,188,가린열북카페,아메리카노,3500,구로구,P
228,191,아이스베리,아메리카노,3500,구로구,P
229,192,토프레소 고척동점,아메리카노,3500,구로구,F
230,197,이디야 고대구로병원점,아메리카노,3500,구로구,F
231,201,카페펠리스,아메리카노,3500,구로구,P
232,203,토프레소 우리동네오류동점,아메리카노,3500,구로구,F
233,204,클래식커피숍,아메리카노,3500,구로구,P
234,207,토프레소 개봉점,아메리카노,3500,구로구,F
235,209,이디야 롯데마트구로점,아메리카노,3500,구로구,F
236,210,카페지니,아메리카노,3500,구로구,P
237,212,21gram,아메리카노,3500,구로구,P
238,215,율리어스마이늘,아메리카노,3500,구로구,P
239,216,더카페 구로우림이비지센터1차점,아메리카노,3500,구로구,P
240,218,스무디&핫도그,아메리카노,3500,구로구,P
241,222,카페블레싱,아메리카노,3500,구로구,P
242,227,토프레소 구로구청점,아메리카노,3500,구로구,F
243,228,엘레아 이천일아울렛구로점,아메리카노,3500,구로구,P
244,229,카페홀린,아메리카노,3500,구로구,P
245,232,에프터눈티,아메리카노,3500,구로구,P
246,233,그냥카페,아메리카노,3500,구로구,P
247,234,더카페 신도림홈플러스점,아메리카노,3500,구로구,P
248,235,카페57,아메리카노,3500,구로구,P
249,236,COMMA,아메리카노,3500,구로구,P
250,237,밀레카페,아메리카노,3500,구로구,P
251,239,블랙빈,아메리카노,3500,구로구,P
252,240,The착한식빵,아메리카노,3500,구로구,P
253,241,도담도담,아메리카노,3500,구로구,P
254,242,NESS EXPRESS,아메리카노,3500,구로구,P
255,244,다비다빈,아메리카노,3500,구로구,P
256,245,파씨,아메리카노,3500,구로구,P
257,246,카페드림 구로성심병원점,아메리카노,3500,구로구,F
258,247,탐앤탐스 고척스카이돔,아메리카노,3500,구로구,P
259,249,먼치빈스,아메리카노,3500,구로구,P
260,250,프렌치밀크티,아메리카노,3500,구로구,P
261,251,더치앤카페,아메리카노,3500,구로구,P
262,252,더카페 2001아울렛 구로점,아메리카노,3500,구로구,P
263,254,카페토브,아메리카노,3500,구로구,P
264,255,하루카페,아메리카노,3500,구로구,P
265,256,메카,아메리카노,3500,구로구,P
266,257,카페 쇼콜라,아메리카노,3500,구로구,P
267,258,CafeIn,아메리카노,3500,구로구,P
268,260,에일린플라워카페,아메리카노,3500,구로구,P
269,262,카페더클레오,아메리카노,3500,구로구,P
270,263,치짜이시앙팡,아메리카노,3500,구로구,P
271,264,카페 이졸레,아메리카노,3500,구로구,P
272,265,멜론cafe,아메리카노,3500,구로구,P
273,266,더까페 2001아울렛 구로점,아메리카노,3500,구로구,P
274,267,카페브론즈,아메리카노,3500,구로구,P
275,269,왕커피포트,아메리카노,3500,구로구,P
276,272,thecaffe,아메리카노,3500,구로구,P
277,273,카페레빗,아메리카노,3500,구로구,P
278,274,더쏠쏠한카페,아메리카노,3500,구로구,P
279,275,카페루앤비,아메리카노,3500,구로구,F
280,276,맘스카페 현대백화점 디큐브시티점,아메리카노,3500,구로구,P
281,277,카페다울,아메리카노,3500,구로구,P
282,278,명주커피숍,아메리카노,3500,구로구,F
283,279,코코티구로지밸리몰점,아메리카노,3500,구로구,P
284,280,맹꽁이라이브클럽,아메리카노,3500,구로구,P
285,281,더카페 우림이비지센터 1차점,아메리카노,3500,구로구,P
286,282,마마키친,아메리카노,3500,구로구,P
287,283,스페칠레,아메리카노,3500,구로구,P
288,284,샤론카페&책향기도서관,아메리카노,3500,구로구,P
289,285,알리,아메리카노,3500,구로구,P
290,287,카페코너,아메리카노,3500,구로구,P
291,289,카페나폴리,아메리카노,3500,구로구,P
292,290,mamas,아메리카노,3500,구로구,P
293,291,사랑방커피숍,아메리카노,3500,구로구,P
294,292,카페제멜로본사직영2호점,아메리카노,3500,구로구,P
295,293,숙커피숍,아메리카노,3500,구로구,P
296,295,미로커피숍,아메리카노,3500,구로구,P
297,296,카페인,아메리카노,3500,구로구,P
298,297,진커피숍,아메리카노,3500,구로구,P
299,298,힐링트리,아메리카노,3500,구로구,P
300,299,루앤비커피숍,아메리카노,3500,구로구,P
301,301,랑커피숍,아메리카노,3500,구로구,P
302,302,지원커피숍,아메리카노,3500,구로구,P
303,303,궁궐커피솝,아메리카노,3500,구로구,P
304,304,쵸콜렛,아메리카노,3500,구로구,P
305,305,가든커피숍,아메리카노,3500,구로구,P
306,306,정커피숍,아메리카노,3500,구로구,P
307,307,쇼팽커피숍,아메리카노,3500,구로구,P
308,308,삼거리커피숍,아메리카노,3500,구로구,P
309,309,주스탐,아메리카노,3500,구로구,P
63,27,이디야커피 고척사거리점,아메리카노,3200,구로구,F
64,29,이디야커피 신도림테크노마트점,카페 아메리카노,3200,구로구,F
65,70,커피베이 온수역점,아메리카노,3200,구로구,F
66,80,커피베이 구로항동점,아메리카노,3200,구로구,F
67,88,커피베이 구로동점,커피,3200,구로구,F
68,176,커피니 신도림점,아레미카노,3200,구로구,P
69,186,이디야 구로미성점,아메리카노,3200,구로구,F
70,205,이디야 성공회대점,아메리카노,3200,구로구,F
71,206,이디야에스프레소 이마트구로점,카페아메리카노,3200,구로구,F
72,13,이기석커피치즈케익가게,아메리카노,3000,구로구,P
73,46,커피 테이크,아메리카노,3000,구로구,P
74,68,요거프레소 개봉2호점,아메리카노,3000,구로구,F
75,72,초심커피,아메리카노,3000,구로구,P
76,98,Lungo cafe&flower,아메리카노,3000,구로구,P
77,118,얌얌플레이트,아메리카노,3000,구로구,P
78,123,달콤한나의커피,아메리카노,3000,구로구,F
79,133,카페 미엘,아메리카노,3000,구로구,P
80,140,카페안나,아메리카노,3000,구로구,P
81,155,지어스커피,아메리카노,3000,구로구,P
82,174,로스팅데이,아메리카노,3000,구로구,P
83,178,카페루407,아메리카노(Hot),3000,구로구,P
84,183,요거프레소 고척프라자점,아메리카노(더블),3000,구로구,F
85,185,커피코멧,아메리카노,3000,구로구,P
86,198,카페숲,아메리카노,3000,구로구,P
87,200,노메이커,아메리카노(XL),3000,구로구,P
88,202,카페 피카,아메리카노,3000,구로구,P
89,208,요거프레소 구로항동점,아메리카노,3000,구로구,F
90,211,킹 COFFEE BEEN,아메리카노,3000,구로구,P
91,214,카페서우,아메리카노,3000,구로구,P
92,226,카페 DHMC,아메리카노,3000,구로구,P
93,177,카페스테이영,아메리카노,2900,구로구,P
94,15,이디야커피 오류북부역점,아메리카노,2800,구로구,F
95,51,만랩커피 구로코오롱타워점,과테말라 SHB 스페셜 블랜드,2800,구로구,F
96,66,아인스커피,아메리카노,2800,구로구,P
97,75,커피베이 구로4동점,아메리카노,2800,구로구,F
98,86,커피베이 궁동유펄스점,아메리카노,2800,구로구,F
99,189,이디야 구로코오롱점,아메리카노,2800,구로구,F
100,194,cafeDAY's,아메리카노,2800,구로구,P
101,225,토프레소 고척푸르지오점,아메리카노,2800,구로구,F
102,28,커피스퀘어,에스프레소 베리에이션류,2500,구로구,P
103,81,커피베이 구로월드아파트점,아메리카노,2500,구로구,F
104,95,커피베이 구로디지털단지점,아메리카노 Americano,2500,구로구,F
105,105,커피베이 신도림이편한세상점,아메리카노,2500,구로구,F
106,112,아리스타커피 구로구청점,아메리카노,2500,구로구,F
107,182,cafe JUN,아메리카노,2500,구로구,P
108,193,써니주분,아메리카노,2500,구로구,P
109,196,cafe Buono,아메리카노(Hot/Ice),2500,구로구,P
110,217,숨카페,아메리카노,2500,구로구,P
111,220,Bits N Bytes,아메리카노,2500,구로구,P
112,223,더카페 구로한신IT점,카페아메리카노,2500,구로구,P
113,271,루시하우스,아메리카노,2500,구로구,P
114,26,콜롬비아스페셜티커피,아메리카노,2300,구로구,P
115,82,아리스타커피 구로점,아메리카노,2300,구로구,F
116,294,우리함께,아메리카노,2300,구로구,P
117,56,이디야커피 동양대점,아이스카푸치노,2200,구로구,F
118,79,이디야 구로하이엔드점,아이스카푸치노,2200,구로구,F
119,221,심플리굿,아메리카노,2200,구로구,P
120,63,커피에반하다 천왕점,아메리카노,2000,구로구,F
121,173,더카페 코오롱사이언스밸리점,아메리카노 HOT/ICE,2000,구로구,P
122,213,카페 도로시,아메리카노,2000,구로구,P
123,231,네오베네,커피,2000,구로구,P
124,253,Enough Juice Coffee,아이스 아메리카노(Venti),2000,구로구,P
125,259,탭플레이 해피랜드코퍼레이션점,아메리카노,2000,구로구,F
126,268,빵굽는카페케이,아메리카노,2000,구로구,P
127,270,더카페 구로에이스테크노타워1차점,아메리카노,2000,구로구,P
128,286,카페오세요,Take out 아메리카노 (H/I),2000,구로구,P
129,300,더카페구로에이스테크노타워점,아메리카노,2000,구로구,P
130,124,팔칠커피,커피,1900,구로구,P
131,190,카페또오늘,아메리카노,1900,구로구,P
132,219,까페래빗,아메리카노(테이크아웃),1800,구로구,P
133,32,우리동네구로커피집,점보아메리카노,1500,구로구,P
134,238,예그리나,커피,1500,구로구,P
135,248,더템퍼,아메리카노,1500,구로구,P
136,261,카페컬쳐,아메리카노,1500,구로구,P
141,67,커피코트 구로코오롱점,핫드립커피,1000,구로구,F
142,102,착한커피 구로8호점,아메리카노,1000,구로구,P
143,122,커피코트 구로벽산7차점,핫 드립 골라커피,1000,구로구,F
144,128,커피코트 구로 e스페이스점,커피,1000,구로구,F
145,154,착한커피 구로디지털점,아메리카노,1000,구로구,P
146,224,우리영토,미국식핫도그,1000,구로구,P
147,230,9cafe,아메리카노 hot,1000,구로구,P
