,Unnamed: 0,카페,메뉴,가격,지역,구분
19,19,스타벅스 쌍문역점,골든 세서미 라떼,4100,도봉구,F
33,33,스타벅스 창동이마트점,골든 세서미 라떼,4100,도봉구,F
169,169,스타벅스 중계역점,골든 세서미 라떼,4100,도봉구,F
177,177,스타벅스 노원역점,골든 세서미 라떼,4100,도봉구,F
185,185,스타벅스 노원KT점,골든 세서미 라떼,4100,도봉구,F
186,186,스타벅스 수유역점,골든 세서미 라떼,4100,도봉구,F
198,198,스타벅스 월계트레이더스점,골든 세서미 라떼,4100,도봉구,F
199,199,스타벅스 강북구청사거리점,골든 세서미 라떼,4100,도봉구,F
203,203,스타벅스 미아역점,골든 세서미 라떼,4100,도봉구,F
220,220,스타벅스 광운대점,골든 세서미 라떼,4100,도봉구,F
227,227,스타벅스 노원마들역점,골든 세서미 라떼,4100,도봉구,F
66,66,카페306,306커피,5900,도봉구,P
34,34,투썸플레이스 도봉보건소점,스트로베리,5500,도봉구,F
181,181,미즐,카페라떼,5500,도봉구,P
10,10,아이보리,Caf? Latte,5000,도봉구,P
61,61,Cafe1253,아메리카노,5000,도봉구,P
87,87,토프레소 방학역점,아메리카노,5000,도봉구,F
135,135,탭플레이 홈플러스방학점,라임모히토,4800,도봉구,F
170,170,커피빈 노원역점,아메리카노 S,4800,도봉구,F
172,172,커피빈 수유역점,아메리카노 S,4800,도봉구,F
189,189,커피빈 강북구청앞점,아메리카노 S,4800,도봉구,F
195,195,엔제리너스 롯데시네노원점,아메리카노,4800,도봉구,F
247,247,엔제리너스 수유역점,아메리카노,4800,도봉구,P
38,38,달달커피,아이스아메리카노 킹사이즈(1리터),4500,도봉구,P
171,171,시드누아 노원본점,아메리카노스페셜,4500,도봉구,P
222,222,파스쿠찌 노원역점,아메리카노,4300,도봉구,F
262,262,카페7그램 수유점,아이스 아메리카노,4200,도봉구,P
22,22,투썸플레이스 쌍문역점,아메리카노,4100,도봉구,F
25,25,투썸플레이스 창동역점,카페 아메리카노,4100,도봉구,F
48,48,알레싸커피앤티,아메리카노,4100,도봉구,P
51,51,투썸플레이스 창동이마트점,카페 아메리카노,4100,도봉구,F
54,54,투썸플레이스 방학역점,아메리카노(R),4100,도봉구,F
55,55,투썸플레이스 쌍문중앙점,카페 아메리카노,4100,도봉구,F
166,166,할리스커피 노원문화의거리점,카페 아메리카노,4100,도봉구,F
173,173,탐앤탐스커피하계점,아메리카노,4100,도봉구,F
178,178,할리스커피 노원역점,카페 아메리카노,4100,도봉구,F
182,182,할리스커피 수유사거리점,카페 아메리카노,4100,도봉구,F
192,192,투썸플레이스 노원문화의거리점,아메리카노,4100,도봉구,F
216,216,투썸플레이스 수유사거리점,아메리카노,4100,도봉구,F
221,221,탐앤탐스 수유역점,아메리카노,4100,도봉구,F
260,260,투썸플레이스 수락산역점,롱블랙 / 아메리카노 (R),4100,도봉구,F
267,267,투썸플레이스 상계사거리점,카페 아메리카노,4100,도봉구,F
270,270,투썸플레이스 강북미아점,아이스 카페 아메리카노,4100,도봉구,F
294,294,투썸플레이스 북서울꿈의숲점,아메리카노,4100,도봉구,F
3,3,키웨스트 연산군묘점,스페셜 싱글커피,4100,도봉구,P
4,4,이디야커피 쌍문역점,아메리카노,4100,도봉구,F
7,7,뮤즈서울,Today's sandwich and salad,4100,도봉구,P
8,8,이디야커피 도봉역점,아메리카노,4100,도봉구,F
11,11,이디야커피 도봉보건소사거리점,아메리카노,4100,도봉구,F
14,14,이디야커피 선덕고사거리점,아메리카노,4100,도봉구,F
18,18,이디야커피 방학역점,아메리카노,4100,도봉구,F
24,24,이디야커피 창동중앙점,아메리카노,4100,도봉구,F
26,26,이디야커피 쌍문중앙점,아메리카노,4100,도봉구,F
27,27,이디야커피 신창점,아메리카노,4100,도봉구,F
29,29,이디야커피 방학점,아메리카노,4100,도봉구,F
30,30,이디야커피 덕성여대점,아메리카노,4100,도봉구,F
36,36,이디야커피 창동학원가점,아메리카노,4100,도봉구,F
37,37,이디야커피 도봉구청점,아메리카노,4100,도봉구,F
40,40,이디야커피방학중앙점,아메리카노,4100,도봉구,F
184,184,이디야커피 장위동점,아메리카노,4100,도봉구,F
188,188,이디야 수유사거리점,아메리카노,4100,도봉구,F
201,201,이디야커피 상계백병원점,아메리카노,4100,도봉구,F
204,204,이디야커피 월계인덕점,아메리카노,4100,도봉구,F
205,205,이디야커피 중계역사점,아메리카노,4100,도봉구,F
206,206,이디야커피 미아중앙점,아메리카노,4100,도봉구,F
208,208,이디야커피 노원KT점,아메리카노,4100,도봉구,F
209,209,이디야커피 한신대역점,아메리카노,4100,도봉구,F
212,212,이디야커피 중계브라운스톤점,아메리카노,4100,도봉구,F
