,Unnamed: 0,카페,메뉴,가격,지역,구분
1,1,스타벅스 신설동역점,골든 세서미 라떼,4100,동대문구,F
3,3,스타벅스 답십리역점,골든 세서미 라떼,4100,동대문구,F
25,25,스타벅스 회기역사거리점,골든 세서미 라떼,4100,동대문구,F
35,35,스타벅스 장한평역점,골든 세서미 라떼,4100,동대문구,F
43,43,스타벅스 외대점,골든 세서미 라떼,4100,동대문구,F
55,55,스타벅스 경희대점,골든 세서미 라떼,4100,동대문구,F
82,82,스타벅스 경희대삼거리점,골든 세서미 라떼,4100,동대문구,F
92,92,스타벅스 외대정문점,골든 세서미 라떼,4100,동대문구,F
5,5,커피프로젝트,블라인드 테이스팅,5300,동대문구,P
29,29,써니사이드커피,사이폰 커피,5000,동대문구,P
99,99,아인스카페,아이스아메리카노,5000,동대문구,P
167,167,카페W,에스프레소,5000,동대문구,P
230,230,The Corner,에이드,5000,동대문구,P
152,152,달콤한 이층,오레오몽키쉐이크,4900,동대문구,F
12,12,커피빈 경희대점,아메리카노 S,4800,동대문구,F
13,13,커피빈 외대앞점,아메리카노 S,4800,동대문구,F
17,17,요거프레소 서울특별시립대점,순수 치즈 프라페,4800,동대문구,F
18,18,커피빈 장안점,아메리카노 S,4800,동대문구,F
45,45,엔제리너스 롯데백화점청량리점 7F,아메리카노,4800,동대문구,F
84,84,그린피아커피,카페라떼,4700,동대문구,P
96,96,카페베네 장평점,카페라떼,4600,동대문구,F
14,14,커피볶는성군 1호점,크림라테,4500,동대문구,P
166,166,카페타세,아메리카노,4500,동대문구,P
274,274,싼타나,"카프리, 버드와이저",4500,동대문구,P
7,7,달콤커피 경희의료원점,"아메리카노 K1,K2,K3",4100,동대문구,F
27,27,투썸플레이스 답십리점,카페 아메리카노,4100,동대문구,F
76,76,투썸플레이스 장안점,아이스 카페 아메리카노,4100,동대문구,F
83,83,투썸플레이스 경희대점,아메리카노,4100,동대문구,F
89,89,탐앤탐스 장한평역점,아메리카노,4100,동대문구,P
90,90,투썸플레이스 서울시립대점,카페 아메리카노,4100,동대문구,F
102,102,투썸플레이스 답십리사거리점,아메리카노,4100,동대문구,F
