,카페,메뉴,가격,지역,구분
60,아트나인x잇나인,해물크림파스타,12900,동작구,P
162,요거프레소 노량진점,딸기 생크림 오믈렛(18EA),3500,동작구,F
196,요거프레소 숭실대점,딸기 생크림 오믈렛(18EA),3500,동작구,F
128,카페베네 남성역점,초코악마빙수,4100,동작구,F
215,꽃내음차향기,미트소스스파게티,9800,동작구,P
171,르샤,딸기 주스,8000,동작구,P
23,탐앤탐스커피노량진점,청포도 슬러쉬,4100,동작구,P
144,탐앤탐스 중앙대점,청포도 슬러쉬,4100,동작구,P
1,스타벅스 숭실대점,골든 세서미 라떼,4100,동작구,F
3,스타벅스 숭실대입구역점,골든 세서미 라떼,4100,동작구,F
9,스타벅스 사당역점,골든 세서미 라떼,4100,동작구,F
37,스타벅스 노량진역점,골든 세서미 라떼,4100,동작구,F
49,스타벅스 보라매공원R점,골든 세서미 라떼,4100,동작구,F
56,스타벅스 노량진동점,골든 세서미 라떼,4100,동작구,F
79,스타벅스 중앙대점,골든 세서미 라떼,4100,동작구,F
82,스타벅스 이수자이점,골든 세서미 라떼,4100,동작구,F
97,스타벅스 신대방삼거리역점,골든 세서미 라떼,4100,동작구,F
102,스타벅스 남성역점,골든 세서미 라떼,4100,동작구,F
10,카페커스 이수점,1인 1메뉴 주문,6000,동작구,P
166,DEF레고카페,레고체험 1시간,6000,동작구,P
168,요거프레소 중앙대점,메리딸기,6000,동작구,F
182,라붐카페,아메리카노 + 샌드위치,6000,동작구,P
194,풍경달다,밀크티,6000,동작구,P
133,빅컵,아메리카노,5800,동작구,P
28,몽소베이커리&카페 노량진점,블루베리식빵,5500,동작구,P
88,카페오드리 상도점,생과일쥬스,5500,동작구,P
43,투썸플레이스 이수역점,허브티,4800,동작구,F
76,엔제리너스 노량진점,아메리카노,4800,동작구,P
105,엔제리너스 이수역점,아메리카노,4800,동작구,P
185,엔제리너스 GS이수역DI점,아메리카노,4800,동작구,P
2,할리스커피 노량진역점,카페 아메리카노,4100,동작구,F
8,할리스커피 이수역점,카페 아메리카노,4100,동작구,F
16,할리스커피 장승배기역점,카페 아메리카노,4100,동작구,F
24,탐앤탐스 보라매역점,아메리카노,4100,동작구,P
33,투썸플레이스 노량진점,카페 아메리카노,4100,동작구,F
42,달콤커피 신대방점,아메리카노,4100,동작구,F
78,할리스커피 보라매병원점,카페 아메리카노,4100,동작구,F
94,커핀그루나루 노량진점,아메리카노(S),4100,동작구,F
100,투썸플레이스 보라매삼성쉐르빌점,아메리카노,4100,동작구,F
104,투썸플레이스 상도해링턴플레이스점,아메리카노,4100,동작구,F
122,투썸플레이스 숭실대점,아메리카노,4100,동작구,F
123,카페베네 대방역점,카페 아메리카노,4100,동작구,F
0,페니커피로스터스,아메리카노,4000,동작구,P
13,카페퍼블리코 본점,아메리카노,4000,동작구,P
167,파스쿠찌 이수역점,아메리카노,4000,동작구,F
205,쎄쎄쎄,카페라떼,4000,동작구,P
18,보스톤커피 보라매역점,직화로스팅커피,3800,동작구,P
44,이수커피,"커피, 그리고 핸드 메이드 더치백",3800,동작구,P
142,카페아리보,"아메리카노, 에스프레소, 콘파냐 각",3800,동작구,P
260,카페프레쉬,레알 생과일 쥬스,3800,동작구,P
12,엘림커피,아메리카노,3500,동작구,P
27,요거프레소 장승배기역점,커피,3500,동작구,F
34,피터패트,아메리카노,3500,동작구,P
67,카페무,아메리카노,3500,동작구,P
71,미테랑커피도서관,2시간 (음료포함),3500,동작구,P
81,커피집,아메리카노,3500,동작구,P
108,일상다반사,아메리카노,3500,동작구,P
150,엘가커피 장승배기점,아메리카노,3500,동작구,P
172,카페씨어터,자가배전 로스팅 아메리카노,3500,동작구,P
177,마노아,아메리카노,3500,동작구,P
180,by AM,아메리카노,3500,동작구,P
189,코리,카페 아메리카노,3500,동작구,P
269,레미제라블,커피,3500,동작구,P
274,사회복지법인살레시오수녀회 카페마인,망고스무디,3500,동작구,P
93,상도동 카페오월,아메리카노,3300,동작구,P
120,모코커피,아메리카노,3300,동작구,P
14,이디야커피 상도역점,아메리카노,3200,동작구,P
19,이디야커피 중앙대점,카페 아메리카노,3200,동작구,P
21,이디야커피 노들점,카페 아메리카노,3200,동작구,P
38,이디야커피 총신대점,카페 아메리카노,3200,동작구,P
41,이디야커피 보라매점,카페아메리카노,3200,동작구,P
48,커피베이 흑석아크로리버하임점,아메리카노(R),3200,동작구,F
53,이디야커피 신대방삼거리점,아메리카노,3200,동작구,P
74,블랙모티브 사당역점,아메리카노,3200,동작구,P
90,이디야커피 노량진역사점,아메리카노 R,3200,동작구,P
107,커피베이 대방현대점,아메리카노,3200,동작구,F
121,A3BOUT COFFEE,스페셜티 아메리카노,3200,동작구,P
4,터방내,커피,3000,동작구,P
17,달콤쌉싸롱,아메리카노,3000,동작구,F
26,커피팩토리 쏘 교육점,아메리카노,3000,동작구,P
36,요거프레소 사당점,아메리카노,3000,동작구,F
58,모코커피창고,아메리카노,3000,동작구,P
59,커피바이핸즈,아메리카노,3000,동작구,P
63,몽소,카페아메리카노,3000,동작구,P
66,14일커피,아메리카노,3000,동작구,F
72,카페니토,아메리카노,3000,동작구,P
86,로즈커피,아메리카노,3000,동작구,P
91,구띠에커피,딸기/망고/초코,3000,동작구,P
95,오늘의커피,아메리카노,3000,동작구,P
99,커피브라운,아메리카노,3000,동작구,P
115,모코커피,아메리카노,3000,동작구,P
130,베이비카페 카리스,아메리카노,3000,동작구,P
131,삼일샐러드,아메리카노,3000,동작구,P
146,카르페디엠에스프레소,아메리카노,3000,동작구,P
154,크앙커피,아메리카노,3000,동작구,P
192,카페한켠,아메리카노,3000,동작구,P
197,카페웅,아메리카노,3000,동작구,P
201,클래시크,아메리카노,3000,동작구,P
211,카페그레이,아메리카노,3000,동작구,P
263,카페다옴,아메리카노,3000,동작구,P
275,쟈뎅오카페,아메리카노,3000,동작구,P
284,스테이선샤인,아메리카노,3000,동작구,P
288,갓프레소,아메리카노,3000,동작구,P
296,kaffa GurummA,아메리카노,3000,동작구,P
15,이디야커피 총신대입구역점,아메리카노,3000,동작구,P
20,이디야커피 신상도초교점,아메리카노,3000,동작구,P
22,커피인더스터디,아메리카노,3000,동작구,P
30,이디야커피 노량진CTS점,아메리카노,3000,동작구,P
32,이디야커피 사당역점,아메리카노,3000,동작구,P
35,이디야커피 이수중앙점,아메리카노,3000,동작구,P
39,한주하의 커피볶는집,아메리카노,3000,동작구,F
40,커피베이 상도파크자이점,아메리카노,3000,동작구,F
45,카페커피상상,아메리카노,3000,동작구,P
47,이디야 남성역점,아메리카노,3000,동작구,P
50,모코커피,아메리카노,3000,동작구,P
51,오가네팬케이크,아메리카노,3000,동작구,P
54,이디야커피 해군회관점,아메리카노,3000,동작구,P
55,이디야커피 대림성모점,아메리카노,3000,동작구,P
57,쿠즈코커피,아메리카노,3000,동작구,P
68,콘레드커피 중앙대점,아메리카노,3000,동작구,P
69,즐거운커피,아메리카노,3000,동작구,P
70,이디야커피보라매공원점,아메리카노,3000,동작구,P
75,커피베이 숭실대점,아메리카노,3000,동작구,F
80,이디야커피 대방역점,아메리카노,3000,동작구,P
85,작은거리커피,아메리카노,3000,동작구,P
87,커피베이 상도2호점,아메리카노,3000,동작구,F
92,커피향기,아메리카노,3000,동작구,P
96,러쉬 커피,아메리카노,3000,동작구,P
103,커피베이 사당래미안로이파크점,아메리카노,3000,동작구,F
106,쉬어가는모퉁이커피한잔,아메리카노,3000,동작구,P
109,고커피,아메리카노,3000,동작구,P
110,GOODDAY COFFEE,아메리카노,3000,동작구,P
111,나귀와플라타너스,아메리카노,3000,동작구,P
112,위드커피,아메리카노,3000,동작구,P
114,커피베이 장승배기역점,아메리카노,3000,동작구,F
117,커피타운,아메리카노,3000,동작구,P
119,시너지커피,아메리카노,3000,동작구,P
124,사당커피,아메리카노,3000,동작구,P
125,커피볶는집올래,아메리카노,3000,동작구,F
127,위드커피,아메리카노,3000,동작구,P
129,원츄,아메리카노,3000,동작구,P
132,착한커피,아메리카노,3000,동작구,P
134,제이스커피,아메리카노,3000,동작구,P
135,피어나커피,아메리카노,3000,동작구,P
136,제이스커피나무,아메리카노,3000,동작구,F
137,커피스타,아메리카노,3000,동작구,P
138,미피커피,아메리카노,3000,동작구,P
140,카페디차,아메리카노,3000,동작구,P
141,커피에반하다 대방점,아메리카노,3000,동작구,F
143,커피베이동작상도점,아메리카노,3000,동작구,F
147,커피가맛있는집 남성역점,아메리카노,3000,동작구,P
148,토끼네커피,아메리카노,3000,동작구,P
149,카페커쏘,아메리카노,3000,동작구,P
151,음음커피,아메리카노,3000,동작구,P
152,까르페디엠,아메리카노,3000,동작구,P
153,커피집,아메리카노,3000,동작구,P
156,커피가지고요,아메리카노,3000,동작구,P
