,Unnamed: 0,카페,메뉴,가격,지역,구분
25,2,커피가게동경,강배전블렌드,7000,마포구,P
26,16,5Brewing,아일리쉬 커피,7000,마포구,P
27,35,앤트러사이트 서교점,드립커피,7000,마포구,P
28,101,비하인드,"set (프렌치토스트, 오렌지주스 또는 아메리카노)",7000,마포구,P
29,105,비포블루밍,215_MILKTEA_히비스커스,7000,마포구,P
30,136,엘리스,"무제한 요금제(일반룸/평일, 심야)",7000,마포구,P
31,214,미카야,카모마일,7000,마포구,P
32,5,스타벅스 홍대역점,골든 세서미 라떼,4100,마포구,F
33,40,스타벅스 공덕오거리점,골든 세서미 라떼,4100,마포구,F
34,47,스타벅스 상암MBC점,골든 세서미 라떼,4100,마포구,F
35,55,스타벅스 홍대입구역사거리R점,골든 세서미 라떼,4100,마포구,F
36,57,스타벅스 신촌오거리점,골든 세서미 라떼,4100,마포구,F
37,58,스타벅스 서교점,골든 세서미 라떼,4100,마포구,F
38,66,스타벅스 동교점,골든 세서미 라떼,4100,마포구,F
39,74,스타벅스 마포염리점,골든 세서미 라떼,4100,마포구,F
40,84,스타벅스 마포아크로점,골든 세서미 라떼,4100,마포구,F
41,87,스타벅스 상암디지털큐브점,골든 세서미 라떼,4100,마포구,F
42,88,스타벅스 서강대흥역점,골든 세서미 라떼,4100,마포구,F
43,89,스타벅스 상암사보이시티점,골든 세서미 라떼,4100,마포구,F
44,92,스타벅스 마포이마트점,골든 세서미 라떼,4100,마포구,F
45,112,스타벅스 서강대점,골든 세서미 라떼,4100,마포구,F
46,113,스타벅스 홍대삼거리점,골든 세서미 라떼,4100,마포구,F
47,119,스타벅스 상암DMC점,골든 세서미 라떼,4100,마포구,F
48,145,스타벅스 상수역점,골든 세서미 라떼,4100,마포구,F
49,148,스타벅스 망원역점,골든 세서미 라떼,4100,마포구,F
50,157,스타벅스 합정메세나몰점,골든 세서미 라떼,4100,마포구,F
51,168,스타벅스 합정점,골든 세서미 라떼,4100,마포구,F
52,182,스타벅스 홍대갤러리점,골든 세서미 라떼,4100,마포구,F
53,207,스타벅스 마포용강동점,골든 세서미 라떼,4100,마포구,F
54,218,스타벅스 서강광흥창역점,골든 세서미 라떼,4100,마포구,F
55,232,스타벅스 홍대공항철도역점,골든 세서미 라떼,4100,마포구,F
56,238,스타벅스 서교동사거리점,골든 세서미 라떼,4100,마포구,F
57,245,스타벅스 공덕점,골든 세서미 라떼,4100,마포구,F
58,278,스타벅스 마포일진빌딩점,골든 세서미 라떼,4100,마포구,F
59,51,나비도꽃이었다꽃을떠나기전에는,노마진 과일,6000,마포구,P
60,64,커피프린스1호점,아메리카노,6000,마포구,P
61,126,프히베,Caf?,6000,마포구,P
62,257,카페 본주르,본주르오리지널 핫,6000,마포구,P
63,246,투썸플레이스 마포연남점,리얼스트로베리,4100,마포구,F
64,12,커피랩,아메리카노,5500,마포구,P
65,21,더페이머스램,아메리카노,5500,마포구,P
66,45,연남살롱,모카포트 아메리카노,5500,마포구,P
67,59,Coalmine,espresso,5500,마포구,P
68,94,리플로우,HAND DRIP,5500,마포구,P
69,160,지능계발,레인보우라떼,5500,마포구,P
70,201,네이버후드 커피,카페라떼,5500,마포구,P
71,271,NOK,아메리카노,5500,마포구,P
72,242,드롭탑 홍대점,딸기 버블 라떼,5300,마포구,P
73,268,폴바셋 교보문고합정점,카페라떼 (Standard),5300,마포구,F
74,0,앤트러사이트 합정점,아메리카노,5000,마포구,P
75,10,커피냅로스터스 연남동,아메리카노,5000,마포구,P
76,19,오랑지,아메리카노,5000,마포구,P
77,26,연남방앗간,아메리카노,5000,마포구,P
78,29,왓코커피,플랫화이트,5000,마포구,P
79,32,제로베이스커피,Zero Latte,5000,마포구,P
80,34,퀜치커피,카푸치노,5000,마포구,P
81,52,커피템플 2호점,유자 아메리카노,5000,마포구,P
82,53,커피발전소,모든음료,5000,마포구,P
83,56,쿡앤북,아메리카노,5000,마포구,P
84,63,이리까페,아메리카노,5000,마포구,P
85,68,커피와사람들 홍대점,커피,5000,마포구,P
86,69,브로일링 커피 컴퍼니,HAND DRIP,5000,마포구,P
87,71,시간의 공기,아메리카노(hot),5000,마포구,P
88,72,큐어커피바,플랫화이트,5000,마포구,P
89,75,오바도즈,아메리카노,5000,마포구,P
90,78,모리츠플라츠,아메리카노,5000,마포구,P
91,81,아스트로노머스커피,Americano,5000,마포구,P
92,99,커피비상구,드립 커피,5000,마포구,P
93,118,소셜클럽서울,아메리카노,5000,마포구,P
94,130,톤앤매너,아메리카노,5000,마포구,P
95,134,튜토리얼,아메리카노,5000,마포구,P
96,139,세인트아이브스,아메리카노,5000,마포구,P
97,155,그린클라우드,아메리카노,5000,마포구,P
98,156,5NN5FF,아메리카노,5000,마포구,P
99,174,멜로우,멜코,5000,마포구,P
100,177,손탁커피공방 대열,카페라떼,5000,마포구,P
101,195,라포레스타,"아메리카노(싱글오리진,스페셜티))",5000,마포구,P
102,211,바온하우스,아메리카노,5000,마포구,P
103,220,피아노 카페,아메리카노,5000,마포구,P
104,229,placido coffee,아메리카노,5000,마포구,P
105,235,카페 아래,아메리카노,5000,마포구,P
106,260,투썸플레이스 공덕해링턴스퀘어점,모닝제품+아메리카노,5000,마포구,F
107,263,트웬티포세븐플러스,아메리카노,5000,마포구,P
108,280,카페하이웨이스트,아메리카노,5000,마포구,P
109,291,일용할커피,드립커피,5000,마포구,P
110,228,아리스타커피공덕점,모닝세트A,4900,마포구,F
111,20,커피빈 홍대역점,아메리카노 S,4800,마포구,F
112,38,프롬테오커피,아메리카노,4800,마포구,P
113,42,커피빈 홍대정문앞점,아메리카노 S,4800,마포구,F
114,82,커피빈 동교동삼거리점,아메리카노 S,4800,마포구,F
115,90,커피빈 상암SBS미디어센터점,아메리카노 S,4800,마포구,F
116,95,커피빈 합정역점,아메리카노 S,4800,마포구,F
117,111,커피빈 상수역점,아메리카노 S,4800,마포구,F
118,114,커피빈 홍대역8번출구점,아메리카노 S,4800,마포구,F
119,144,커피빈 합정푸르지오점,아메리카노 S,4800,마포구,F
120,173,엔제리너스 마포롯데캐슬점,아메리카노,4800,마포구,F
121,179,탐앤탐스 홍대파크점,모카 탐앤치노,4800,마포구,P
122,206,커피빈 상암한국지역정보개발원점,아메리카노 S,4800,마포구,F
123,269,커피빈 상암DDMC점,아메리카노 S,4800,마포구,F
124,300,엔제리너스 홍대역점,아메리카노,4800,마포구,F
125,62,아티제 메세나폴리스점,아메리카노,4700,마포구,P
126,3,빌리프커피로스터스,아메리카노,4500,마포구,P
127,7,모멘트커피 2호점,아메리카노,4500,마포구,P
128,8,샌드커피 논탄토,체즈베,4500,마포구,P
129,13,레드플랜트,아메리카노,4500,마포구,P
130,15,앤티크커피,아메리카노,4500,마포구,P
131,17,모멘트커피 1호점,아메리카노,4500,마포구,P
132,22,밀로커피 로스터스,에소프레소,4500,마포구,P
133,23,스노브 홍대점,카페 아메리카노 아이스,4500,마포구,P
134,24,커피호스피탈,아메리카노,4500,마포구,P
135,25,자판기,블랙커피,4500,마포구,P
136,36,리얼커피,더치큐브라떼,4500,마포구,P
137,39,이미,아메리카노,4500,마포구,P
138,50,카페 소프트,소프트 크림라떼,4500,마포구,P
139,61,이몸이만든빵,한입 맘모스,4500,마포구,P
140,73,데코아발림본점,아메리카노,4500,마포구,P
141,77,커피스미스 홍대점,카페아메리카노,4500,마포구,P
142,83,언아이콘,아메리카노,4500,마포구,P
143,86,손탁커피 본점,"손탁 블렌드 (고집, 꽃)",4500,마포구,P
144,96,페어,Coffee,4500,마포구,P
145,98,카페이플,아메리카노,4500,마포구,P
146,107,아케이드커피,아메리카노,4500,마포구,P
147,116,사치커피로스터스,에스프레소/아메리카노,4500,마포구,P
148,138,듀오란스,아메리카노,4500,마포구,P
149,146,아스트로노머스커피 망원점,americano,4500,마포구,P
150,151,BELOW,AMERICANO,4500,마포구,P
151,161,커피앤스모킹,아메리카노,4500,마포구,P
152,169,카페 지금여기,아메리카노,4500,마포구,P
153,200,patternETHIOPIA,아메리카노,4500,마포구,P
154,208,칼라스커피,누아르블랑,4500,마포구,P
155,233,카페 컴플렉스,커피,4500,마포구,P
156,275,모노블럭,아메리카노,4500,마포구,P
157,279,합정 쓰리고 카페,쓰리고 하우스 블렌딩 커피,4500,마포구,P
158,197,츄로101 홍대본점,아몬드츄러스,4400,마포구,P
159,299,포라운지,"아메리카노 (예가체프, 돌체블렌드)",4400,마포구,P
160,162,카페그랑주,아메리카노/카페라떼,4300,마포구,P
161,166,고래상점,아메리카노,4300,마포구,P
162,33,할리스커피 홍대입구역점,카페 아메리카노,4100,마포구,F
