,Unnamed: 0,카페,메뉴,가격,지역,구분
202,50,빈스빈스 신촌연대점,아이스크림와플,15000,서대문구,F
203,221,레지스탕스,마른안주,15000,서대문구,P
210,93,커피에반하다 서대문가재울점,아메리카노,15000,서대문구,F
206,204,준스그릴,grilled vegetable,13000,서대문구,P
207,224,요거프레소 북아현점,딸기 생크림 오믈렛(18EA),12500,서대문구,F
208,73,리화인와플,벨지움와플,11000,서대문구,P
6,67,the Panini,훈제연어샐러드,9800,서대문구,P
7,145,쿳사,[브런치] 쿳사베네딕트 (에그베네딕트),9500,서대문구,P
9,179,카페까사,타마고산도,8500,서대문구,P
10,18,티앙팡 오후의 홍차,러시안티,8400,서대문구,P
11,105,TOMO커피,아이스크림와플,7900,서대문구,P
18,53,차미리 신촌연대점,골든 우롱 펀치,6500,서대문구,F
19,167,Lasim,블루베리,6500,서대문구,P
20,22,독수리다방,에스프레소,6200,서대문구,P
21,10,스타벅스 경기대점,골든 세서미 라떼,4100,서대문구,F
22,11,스타벅스 이대ECC점,골든 세서미 라떼,4100,서대문구,F
23,16,스타벅스 연대점,골든 세서미 라떼,4100,서대문구,F
24,32,스타벅스 연세백양로점,골든 세서미 라떼,4100,서대문구,F
25,36,스타벅스 신촌점,골든 세서미 라떼,4100,서대문구,F
26,43,스타벅스 이대R점,골든 세서미 라떼,4100,서대문구,F
27,51,스타벅스 연세종합관점,골든 세서미 라떼,4100,서대문구,F
28,54,스타벅스 연희DT점,골든 세서미 라떼,4100,서대문구,F
29,69,스타벅스 홍제역점,골든 세서미 라떼,4100,서대문구,F
30,81,스타벅스 충정타워점,골든 세서미 라떼,4100,서대문구,F
31,83,스타벅스 명지대점,골든 세서미 라떼,4100,서대문구,F
32,97,스타벅스 연대동문점,골든 세서미 라떼,4100,서대문구,F
33,98,스타벅스 신촌명물거리점,골든 세서미 라떼,4100,서대문구,F
34,99,스타벅스 충정로역점,골든 세서미 라떼,4100,서대문구,F
35,113,스타벅스 연희동점,골든 세서미 라떼,4100,서대문구,F
36,114,스타벅스 아현역점,골든 세서미 라떼,4100,서대문구,F
37,115,스타벅스 신촌대로점,골든 세서미 라떼,4100,서대문구,F
38,117,스타벅스 신촌역점,골든 세서미 라떼,4100,서대문구,F
39,121,스타벅스 가재울뉴타운점,골든 세서미 라떼,4100,서대문구,F
40,138,스타벅스 신촌아트레온점,골든 세서미 라떼,4100,서대문구,F
42,202,Flit Coffee,아메리카노,5800,서대문구,P
43,84,카페아늑,아인슈페너,5500,서대문구,P
44,103,밀키웨이,밀크티,5500,서대문구,P
45,195,파티오,카페라떼,5500,서대문구,P
46,210,카페루이스 충정로점,샌드위치+탄산/우유,5500,서대문구,F
47,223,CAFEAP LAB1,아메리카노1L (테이크아웃 4900),5500,서대문구,P
48,92,신촌로스팅라이브러리,아메리카노,5400,서대문구,P
49,52,띵크커피 현대백화점신촌점,L)아메리카노,5300,서대문구,F
50,124,핑크버터,아메리카노,5300,서대문구,P
51,0,매뉴팩트커피,핸드드립커피,5000,서대문구,P
52,1,제니스커피하우스,아메리카노,5000,서대문구,P
53,55,여우사이,유자아메리카노,5000,서대문구,P
54,79,커피랩로스터스,아메리카노,5000,서대문구,P
55,129,별이숑숑,아메리카노,5000,서대문구,P
56,207,포멜로빈 연희점,Brewing coffee,5000,서대문구,F
57,249,디커피,핸드드립 커피,5000,서대문구,P
58,8,커피빈 신촌점,아메리카노 S,4800,서대문구,F
59,21,커피빈 신촌역앞점,아메리카노 S,4800,서대문구,F
60,44,커피빈 연대동문회관점,아메리카노 S,4800,서대문구,F
61,110,투썸플레이스신촌기차역점,플랫 화이트,4800,서대문구,F
62,139,카페나무,아메리카노,4800,서대문구,P
63,236,엔제리너스 동신병원점,아메리카노,4800,서대문구,F
64,59,헌치브라운,아메리카노,4500,서대문구,P
65,64,미네르바,아메리카노,4500,서대문구,P
66,87,카페129-11,아메리카노,4500,서대문구,P
67,91,브로큰탬퍼,아이스 아메리카노,4500,서대문구,P
68,116,파우치커피,아이리쉬 무알콜,4500,서대문구,P
69,169,빈트리이백이십오 연희점,아메리카노,4500,서대문구,P
70,225,폴앤베어,멕시칸타코요리,4500,서대문구,P
71,234,작은카페,"망고,레몬,오렌지에이드",4500,서대문구,P
72,96,투썸플레이스 가재울뉴타운점,아이스커피,4400,서대문구,F
73,12,공간커피,아메리카노,4300,서대문구,P
74,246,파스쿠찌 가재울점,아메리카노,4300,서대문구,F
75,4,탐앤탐스 신촌점,아메리카노,4100,서대문구,F
76,9,할리스커피 신촌점,카페 아메리카노,4100,서대문구,F
77,19,투썸플레이스 신촌점,카페 아메리카노,4100,서대문구,F
78,24,할리스커피 신촌연세로점,카페 아메리카노,4100,서대문구,F
79,31,할리스커피 이대점,카페 아메리카노,4100,서대문구,F
80,35,달콤커피 명지대점,"아메리카노 (K1,2,3)",4100,서대문구,F
