,카페,메뉴,가격,지역,구분
70,커피지인,더치커피,8000,서초구,P
218,스퀘어가든,핸드드립,7000,서초구,P
67,탐앤탐스커피방배서래점,청포도 슬러쉬,4100,서초구,F
146,fin,아인슈페너,6500,서초구,P
169,듀파르,아메리카노,6500,서초구,P
273,까페라리 방배점,아메리카노,6500,서초구,P
89,앙떼띠 커피로스터리,Hand Drip,6300,서초구,P
3,스타벅스 파미에파크R점,골든 세서미 라떼,4100,서초구,F
4,스타벅스 교대역점,골든 세서미 라떼,4100,서초구,F
7,스타벅스 양재역점,골든 세서미 라떼,4100,서초구,F
8,스타벅스 강남대로논현R점,골든 세서미 라떼,4100,서초구,F
13,스타벅스 강남삼성타운점,골든 세서미 라떼,4100,서초구,F
15,스타벅스 이수역점,골든 세서미 라떼,4100,서초구,F
16,스타벅스 논현역점,골든 세서미 라떼,4100,서초구,F
18,스타벅스 신논현역점,골든 세서미 라떼,4100,서초구,F
20,스타벅스 강남대로신사점,골든 세서미 라떼,4100,서초구,F
24,스타벅스 사당로데오점,골든 세서미 라떼,4100,서초구,F
25,스타벅스 내방역점,골든 세서미 라떼,4100,서초구,F
27,스타벅스 방배점,골든 세서미 라떼,4100,서초구,F
31,스타벅스 서초중앙로점,골든 세서미 라떼,4100,서초구,F
33,스타벅스 강남2점,골든 세서미 라떼,4100,서초구,F
40,스타벅스 청계산입구역점,골든 세서미 라떼,4100,서초구,F
43,스타벅스 방배카페거리점,골든 세서미 라떼,4100,서초구,F
45,스타벅스 서울고속터미널점,골든 세서미 라떼,4100,서초구,F
47,스타벅스 서울아트센터점,골든 세서미 라떼,4100,서초구,F
56,스타벅스 센트럴시티점,골든 세서미 라떼,4100,서초구,F
62,스타벅스 서초파라곤점,골든 세서미 라떼,4100,서초구,F
71,스타벅스 강남교보타워R점,골든 세서미 라떼,4100,서초구,F
86,스타벅스 교대점,골든 세서미 라떼,4100,서초구,F
87,스타벅스 서초우성사거리점,골든 세서미 라떼,4100,서초구,F
100,스타벅스 남부터미널점,골든 세서미 라떼,4100,서초구,F
111,스타벅스 몬테소리점,골든 세서미 라떼,4100,서초구,F
114,스타벅스 강남GT타워점,골든 세서미 라떼,4100,서초구,F
127,스타벅스 서래마을입구점,골든 세서미 라떼,4100,서초구,F
