,Unnamed: 0,Unnamed: 0.1,카페,메뉴,가격,지역,구분
246,213,213,요거프레소 서울숲1호점,"메리시리즈(딸기,망고,베리,치즈,초코등)",3500,성동구,F
72,39,39,달콤커피 엔터식스한양대점,ICE / HOT 허니몽,6300,성동구,F
4,4,4,스타벅스 왕십리역점,골든 세서미 라떼,4100,성동구,F
30,17,17,스타벅스 엔터식스점,골든 세서미 라떼,4100,성동구,F
74,41,41,스타벅스 성수이마트점,골든 세서미 라떼,4100,성동구,F
90,57,57,스타벅스 한양대점,골든 세서미 라떼,4100,성동구,F
93,60,60,스타벅스 뚝섬역점,골든 세서미 라떼,4100,성동구,F
97,64,64,스타벅스 성수역점,골든 세서미 라떼,4100,성동구,F
115,82,82,스타벅스 상왕십리역점,골든 세서미 라떼,4100,성동구,F
118,85,85,스타벅스 황학사거리점,골든 세서미 라떼,4100,성동구,F
127,94,94,스타벅스 금호역점,골든 세서미 라떼,4100,성동구,F
145,112,112,스타벅스 엔터식스한양대점,골든 세서미 라떼,4100,성동구,F
164,131,131,스타벅스 서울숲역점,골든 세서미 라떼,4100,성동구,F
168,135,135,투썸플레이스 옥수역점,루이보스 크림티,5800,성동구,F
29,16,16,글로우,루나바닐라,5500,성동구,P
258,225,225,카페베네 한양사이버대점,카라멜 시나몬 브레드,5500,성동구,F
64,34,34,모리티아,바닐라라떼,5300,성동구,P
170,137,137,스텀필즈커피성수점,깔라만시레몬스무드,5300,성동구,F
0,0,0,센터커피,아메리카노,5000,성동구,P
8,6,6,묘사서울,아메리카노,5000,성동구,P
18,11,11,BELOW SEONGSOO,BELOW VANILLA,5000,성동구,P
50,27,27,빈플래토,자몽청에이드,5000,성동구,P
206,173,173,오르내리다,아인슈페너,5000,성동구,P
24,14,14,커피빈 엔터식스한양대점,아메리카노 S,4800,성동구,F
32,18,18,커피빈 왕십리민자역사점,아메리카노 S,4800,성동구,F
131,98,98,요거프레소 한양대점,순수 치즈 프라페,4800,성동구,F
186,153,153,엔제리너스롯데마트행당점,아메리카노,4800,성동구,F
240,207,207,BAOBAB COFFEE ROASTERS,티라미슈라떼,4800,성동구,P
6,5,5,PEER COFFEE ROASTERS,아메리카노,4500,성동구,P
14,9,9,도렐 육지3호점,캐그,4500,성동구,F
82,49,49,유어네임히얼,아메리카노,4500,성동구,P
113,80,80,커피좀비,바닐라라떼,4500,성동구,P
81,48,48,김종욱 커피,아메리카노,4300,성동구,P
231,198,198,카페에피톤,아메리카노,4300,성동구,P
38,21,21,비엔나커피하우스 서울숲역점,아메리카노,4200,성동구,F
172,139,139,카페로,아메리카노,4200,성동구,P
17,10,10,탐앤탐스커피한양대점,아메리카노,4100,성동구,F
27,15,15,할리스커피 한양대시티빌점,카페 아메리카노,4100,성동구,F
44,24,24,할리스커피 왕십리역점,카페 아메리카노,4100,성동구,F
52,28,28,탐앤탐스커피무학여고점,아메리카노,4100,성동구,F
54,29,29,할리스커피 답십리점,카페 아메리카노,4100,성동구,F
58,31,31,투썸플레이스 왕십리역점,아메리카노,4100,성동구,F
80,47,47,할리스커피 성동구청점,카페 아메리카노,4100,성동구,F
110,77,77,카페베네본사,아메리카노(R),4100,성동구,F
112,79,79,투썸플레이스 상왕십리역점,아메리카노,4100,성동구,F
122,89,89,할리스커피 장한평역점,카페 아메리카노,4100,성동구,F
