,Unnamed: 0,Unnamed: 0.1,카페,메뉴,가격,지역,구분
90,90,90,요거프레소 성북소방서점,딸기 생크림 오믈렛(18EA),3500,성북구,F
194,194,194,요거프레소 정릉1호점,딸기 생크림 오믈렛(18EA),3500,성북구,F
231,231,231,요거프레소 보문동점,딸기 생크림 오믈렛(18EA),3500,성북구,F
12,12,12,보헤미안,블렌드커피,7000,성북구,P
213,213,213,비트윈더바,준 벅,7000,성북구,P
0,0,0,죠셉의커피나무,아메리카노,6500,성북구,F
3,3,3,카페 원오프,o/o coffee,6500,성북구,P
6,6,6,스타벅스 성신여대정문점,골든 세서미 라떼,4100,성북구,F
11,11,11,스타벅스 종암점,골든 세서미 라떼,4100,성북구,F
14,14,14,스타벅스 성신여대점,골든 세서미 라떼,4100,성북구,F
15,15,15,스타벅스 삼선교점,골든 세서미 라떼,4100,성북구,F
45,45,45,스타벅스 고대점,골든 세서미 라떼,4100,성북구,F
46,46,46,스타벅스 안암역점,골든 세서미 라떼,4100,성북구,F
67,67,67,스타벅스 종암DT점,골든 세서미 라떼,4100,성북구,F
76,76,76,스타벅스 월곡역점,골든 세서미 라떼,4100,성북구,F
81,81,81,스타벅스 한성대입구역점,골든 세서미 라떼,4100,성북구,F
122,122,122,스타벅스 미아점,골든 세서미 라떼,4100,성북구,F
132,132,132,스타벅스 길음역점,골든 세서미 라떼,4100,성북구,F
174,174,174,스타벅스 현대미아점,골든 세서미 라떼,4100,성북구,F
184,184,184,스타벅스 미아이마트점,골든 세서미 라떼,4100,성북구,F
50,50,50,liike coffee,원두 50g,6000,성북구,P
35,35,35,카페b,아이스아메리카노,5500,성북구,P
44,44,44,일상,카페라떼,5500,성북구,P
57,57,57,커피마마 상월곡역,"마마흑당밀크티L (녹차,라떼,밀크티)",5000,성북구,F
264,264,264,빈올로지,hand drip coffee,5000,성북구,P
7,7,7,커피빈 고대안암역점,아메리카노 S,4800,성북구,F
16,16,16,커피빈 한성대입구역점,아메리카노 S,4800,성북구,F
61,61,61,커피빈 고대참살이길점,아메리카노 S,4800,성북구,F
28,28,28,투썸플레이스성신여대점,카페라떼,4600,성북구,F
1,1,1,해로커피,아메리카노,4500,성북구,P
18,18,18,커피스토어,아메리카노,4500,성북구,P
106,106,106,카페 뮬,에스프레소,4500,성북구,P
114,114,114,지하서재,아메리카노 (18시 이전만 판매),4500,성북구,P
198,198,198,호기다방,카페라떼,4500,성북구,P
271,271,271,스위치 그라운드,따뜻한 혹은 시원한 커피,4500,성북구,P
83,83,83,커피에반하다 길음뉴타운점,아메리카노,4500,성북구,F
102,102,102,커피에반하다 길음래미안점,아메리카노,4500,성북구,F
143,143,143,혜화문아래,하우스블랜딩 아메리카노,4400,성북구,P
2,2,2,커피명가 안암점,H아메리카노,4300,성북구,P
129,129,129,탐앤탐스 한성대점,이탈리아노 프레즐,4200,성북구,F
249,249,249,카페J,아메리카노,4200,성북구,P
5,5,5,할리스커피 돈암점,카페 아메리카노,4100,성북구,F
9,9,9,탐앤탐스커피성신여대점,아메리카노,4100,성북구,F
13,13,13,할리스커피 안암오거리점,카페 아메리카노,4100,성북구,F
