,Unnamed: 0,카페,메뉴,가격,지역,구분
20,20,스위트룸,커피,8000,송파구,P
13,13,카페드로잉,아메리카노,7000,송파구,P
31,31,까페라리 방이점,아메리카노,7000,송파구,P
186,186,플로리샌드위치,치킨 치아바타,6800,송파구,P
28,28,탐앤탐스 방이점,청포도 슬러쉬,4100,송파구,P
145,145,탐앤탐스 문정로데오점,청포도 슬러쉬,4100,송파구,P
215,215,탐앤탐스 잠실새내역점,청포도 슬러쉬,4100,송파구,P
2,2,스타벅스 석촌호수점,골든 세서미 라떼,4100,송파구,F
6,6,스타벅스 석촌서호점,골든 세서미 라떼,4100,송파구,F
9,9,스타벅스 올림픽평화의문점,골든 세서미 라떼,4100,송파구,F
15,15,스타벅스 방이역점,골든 세서미 라떼,4100,송파구,F
17,17,스타벅스 송파사거리점,골든 세서미 라떼,4100,송파구,F
18,18,스타벅스 송파구청점,골든 세서미 라떼,4100,송파구,F
19,19,스타벅스 송파아이파크점,골든 세서미 라떼,4100,송파구,F
21,21,스타벅스 잠실역점,골든 세서미 라떼,4100,송파구,F
26,26,스타벅스 올림픽공원남문점,골든 세서미 라떼,4100,송파구,F
43,43,스타벅스 올림픽훼미리점,골든 세서미 라떼,4100,송파구,F
49,49,스타벅스 잠실새내역점,골든 세서미 라떼,4100,송파구,F
60,60,스타벅스 송파개롱역점,골든 세서미 라떼,4100,송파구,F
74,74,스타벅스 갤러리아팰리스점,골든 세서미 라떼,4100,송파구,F
83,83,스타벅스 가락시장역점,골든 세서미 라떼,4100,송파구,F
89,89,스타벅스 석촌역점,골든 세서미 라떼,4100,송파구,F
111,111,스타벅스 송파나루역DT점,골든 세서미 라떼,4100,송파구,F
115,115,스타벅스 문정역점,골든 세서미 라떼,4100,송파구,F
118,118,스타벅스 아시아선수촌점,골든 세서미 라떼,4100,송파구,F
133,133,스타벅스 잠실푸르지오월드점,골든 세서미 라떼,4100,송파구,F
135,135,스타벅스 잠실시그마타워점,골든 세서미 라떼,4100,송파구,F
