,Unnamed: 0,카페,메뉴,가격,지역,구분
149,149,요거프레소 서서울호수공원점,딸기 생크림 오믈렛(18EA),3500,양천구,F
150,195,요거프레소 은행정로점,딸기 생크림 오믈렛(18EA),3500,양천구,F
0,49,요거프레소 목동14단지점,딸기 생크림 오믈렛(1box),3500,양천구,F
2,100,카페라리 목동점,아이스 카페라떼,7500,양천구,P
3,28,카자르커피,아로니아주스,6500,양천구,P
4,65,탐앤탐스 목동점,청포도 슬러쉬,3500,양천구,P
5,151,카페인스,프렌치 토스트 (월),6300,양천구,P
6,1,스타벅스 신월IC DT점,골든 세서미 라떼,4100,양천구,F
7,7,스타벅스 목동파라곤점,골든 세서미 라떼,4100,양천구,F
8,11,스타벅스 목동7단지점,골든 세서미 라떼,4100,양천구,F
9,16,스타벅스 신정DT점,골든 세서미 라떼,4100,양천구,F
10,24,스타벅스 목동점,골든 세서미 라떼,4100,양천구,F
11,25,스타벅스 오목교역점,골든 세서미 라떼,4100,양천구,F
12,35,스타벅스 현대목동점,골든 세서미 라떼,4100,양천구,F
13,41,스타벅스 목동하이페리온점,골든 세서미 라떼,4100,양천구,F
14,52,스타벅스 등촌역점,골든 세서미 라떼,4100,양천구,F
15,61,스타벅스 목동행복한점,골든 세서미 라떼,4100,양천구,F
16,63,스타벅스 목동역점,골든 세서미 라떼,4100,양천구,F
17,91,스타벅스 목동5단지점,골든 세서미 라떼,4100,양천구,F
18,92,스타벅스 목동8단지점,골든 세서미 라떼,4100,양천구,F
19,111,스타벅스 목동오목로점,골든 세서미 라떼,4100,양천구,F
20,164,스타벅스 목동파리공원점,골든 세서미 라떼,4100,양천구,F
21,305,스타벅스 발산역점,골든 세서미 라떼,4100,양천구,F
22,307,스타벅스 화곡동점,골든 세서미 라떼,4100,양천구,F
23,309,카페큐브,2시간,6000,양천구,P
24,54,스페이스 530,콜로비아 수푸리모,5500,양천구,P
25,306,띵크커피 디큐브시티점,아메리카노 L,5300,양천구,P
26,243,더치공방휴,시네몬 카푸치노,5000,양천구,P
27,6,커피빈 오목교역사거리점,아메리카노 S,4800,양천구,F
28,10,커피빈 목동점,아메리카노 S,4800,양천구,F
29,15,커피빈 목동트라팰리스점,아메리카노 S,4800,양천구,F
30,127,아티제 목동홈플러스점,아메리카노,4700,양천구,P
31,39,아티제 이대목동점,아메리카노,4500,양천구,P
32,163,샵일리터 목동점,1L싱글오리진 아메리카노,4500,양천구,P
33,276,비바리움,아메리카노,4500,양천구,P
34,55,투썸플레이스 신정네거리역점,아이스커피,4400,양천구,F
35,102,코나빈스 신월동점,아이스 아메리카노,4300,양천구,P
36,123,파스쿠찌 목동하이페리온2점,아메리카노,4300,양천구,F
37,2,할리스커피 목동점,카페 아메리카노,4100,양천구,F
38,8,달콤커피 목동역점,아메리카노,4100,양천구,F
39,9,할리스커피 목동예술인회관점,카페 아메리카노,4100,양천구,F
40,14,할리스커피 신정네거리역점,카페 아메리카노,4100,양천구,F
41,23,달콤커피 목동방송회관점,아메리카노,4100,양천구,F
42,36,할리스커피 신월사거리점,카페 아메리카노,4100,양천구,F
43,66,투썸플레이스 염창역점,아메리카노,4100,양천구,F
44,78,주커피 목동신정교점,아메리카노,4100,양천구,F
45,94,투썸플레이스 목동메가박스점,아메리카노,4100,양천구,F
46,106,투썸플레이스 남부지방법원점,아메리카노,4100,양천구,F
47,147,투썸플레이스 양천신목로점,아메리카노,4100,양천구,F
48,0,커피별녹색잔,아메리카노,4000,양천구,P
49,17,지소현커피나무,아메리카노,4000,양천구,F
50,42,cafe qooom,아메리카노,4000,양천구,P
51,53,이기스카페 목동점,아메리카노,4000,양천구,P
52,76,카페더브릿지,아메리카노,4000,양천구,P
53,81,파스쿠찌 목동파리공원점,아메리카노 R,4000,양천구,F
54,83,커피견문록,산지별 일반 커피 단종 커피,4000,양천구,P
55,104,커피요리,아메리카노,4000,양천구,P
56,116,클래시빈,아메리카노(hot/iced),4000,양천구,P
57,154,모퉁이,그린티라떼,4000,양천구,P
58,162,목이,아메리카노,4000,양천구,P
59,178,에이치이에이,아메리카노,4000,양천구,P
60,223,카페자우,아메리카노,4000,양천구,P
61,308,탐앤탐스 신도림점,핫초코,4000,양천구,P
62,57,SHELIKESCOFFEE,아메리카노,3800,양천구,P
63,119,까마르도 양천점,카페 아메리카노,3800,양천구,P
64,192,파인피엠아이,아메리카노,3800,양천구,P
65,5,커피인동 등촌역점,아메리카노,3500,양천구,P
66,32,쿠스치노커피,아메리카노 대,3500,양천구,P
67,136,제이드 커피,아메리카노,3500,양천구,P
68,158,MIMICI,아메리카노,3500,양천구,P
69,161,어나더,아메리카노,3500,양천구,P
70,175,바그다드카페 목동,아메리카노,3500,양천구,P
71,182,카페SB,아메리카노 HOT,3500,양천구,P
