,Unnamed: 0,카페,메뉴,가격,지역,구분
219,138,요거프레소 선유도점,딸기 생크림 오믈렛(18EA),3500,영등포구,F
220,301,요거프레소 당산역점,딸기 생크림 오믈렛(18EA),3500,영등포구,F
8,161,이디야 영등포역점,아메리카노셋트,9700,영등포구,F
9,149,러브썸키친,등심돈가스,8000,영등포구,P
10,64,요거프레소 신풍역점,메리딸기,3500,영등포구,F
11,3,스타벅스 영등포본동점,골든 세서미 라떼,4100,영등포구,F
12,14,스타벅스 선유동이레빌딩점,골든 세서미 라떼,4100,영등포구,F
13,31,스타벅스 하이테크시티점,골든 세서미 라떼,4100,영등포구,F
14,36,스타벅스 영등포신길DT점,골든 세서미 라떼,4100,영등포구,F
15,38,스타벅스 영등포역점,골든 세서미 라떼,4100,영등포구,F
16,46,스타벅스 여의도호성점,골든 세서미 라떼,4100,영등포구,F
17,53,스타벅스 여의도ABL타워점,골든 세서미 라떼,4100,영등포구,F
18,54,스타벅스 타임스퀘어점,골든 세서미 라떼,4100,영등포구,F
19,63,스타벅스 여의도역R점,골든 세서미 라떼,4100,영등포구,F
20,70,스타벅스 당산역점,골든 세서미 라떼,4100,영등포구,F
21,82,스타벅스 여의도KBS R점,골든 세서미 라떼,4100,영등포구,F
22,87,스타벅스 문래역점,골든 세서미 라떼,4100,영등포구,F
23,90,스타벅스 문래동점,골든 세서미 라떼,4100,영등포구,F
24,95,스타벅스 여의도점,골든 세서미 라떼,4100,영등포구,F
25,117,스타벅스 여의도IFC몰(L1)R점,골든 세서미 라떼,4100,영등포구,F
26,124,스타벅스 여의도IFC(1F)점,골든 세서미 라떼,4100,영등포구,F
27,130,스타벅스 국회대로점,골든 세서미 라떼,4100,영등포구,F
28,136,스타벅스 영등포KT점,골든 세서미 라떼,4100,영등포구,F
29,153,스타벅스 당산점,골든 세서미 라떼,4100,영등포구,F
30,168,스타벅스 타임스퀘어B2점,골든 세서미 라떼,4100,영등포구,F
31,171,스타벅스 선유도역점,골든 세서미 라떼,4100,영등포구,F
32,175,스타벅스 동여의도점,골든 세서미 라떼,4100,영등포구,F
33,186,스타벅스 당산대로점,골든 세서미 라떼,4100,영등포구,F
34,195,스타벅스 신세계영등포B점,골든 세서미 라떼,4100,영등포구,F
35,197,스타벅스 여의도의사당점,골든 세서미 라떼,4100,영등포구,F
36,199,스타벅스 여의도공원R점,골든 세서미 라떼,4100,영등포구,F
37,205,스타벅스 타임스퀘어R점,골든 세서미 라떼,4100,영등포구,F
38,209,스타벅스 서여의도점,골든 세서미 라떼,4100,영등포구,F
39,215,스타벅스 롯데캐슬여의도점,골든 세서미 라떼,4100,영등포구,F
40,218,스타벅스 신세계영등포B2점,골든 세서미 라떼,4100,영등포구,F
41,219,스타벅스 여의도일신점,골든 세서미 라떼,4100,영등포구,F
42,224,스타벅스 국회의사당역점,골든 세서미 라떼,4100,영등포구,F
43,233,스타벅스 샛강역점,골든 세서미 라떼,4100,영등포구,F
44,309,스타벅스 여의도화재보험점,골든 세서미 라떼,4100,영등포구,F
45,9,주빈커피 여의도본점,융드립커피(Hot),6000,영등포구,P
46,18,테라로사 여의도점,에티오피아 구지 함벨라,6000,영등포구,P
47,121,렐란디,햄&에그,5500,영등포구,P
