,Unnamed: 0,카페,메뉴,가격,지역,구분
12,49,탐앤탐스 서울역점,청포도 슬러쉬,4100,용산구,P
13,182,커피여행,향커피,6500,용산구,P
14,186,아름다운 콩 커피집,아메리타노+와플,6300,용산구,P
15,7,스타벅스 서울역동자동점,골든 세서미 라떼,4100,용산구,F
16,11,스타벅스 숙대점,골든 세서미 라떼,4100,용산구,F
17,19,스타벅스 용산아이파크몰점,골든 세서미 라떼,4100,용산구,F
18,43,스타벅스 동빙고점,골든 세서미 라떼,4100,용산구,F
19,58,스타벅스 한강진역R점,골든 세서미 라떼,4100,용산구,F
20,68,스타벅스 이태원역점,골든 세서미 라떼,4100,용산구,F
21,88,스타벅스 용산역써밋R점,골든 세서미 라떼,4100,용산구,F
22,90,스타벅스 한남동R점,골든 세서미 라떼,4100,용산구,F
23,94,스타벅스 신용산역점,골든 세서미 라떼,4100,용산구,F
24,95,스타벅스 서울타워점,골든 세서미 라떼,4100,용산구,F
25,96,스타벅스 동부이촌동점,골든 세서미 라떼,4100,용산구,F
26,100,스타벅스 숙대입구역점,골든 세서미 라떼,4100,용산구,F
27,102,스타벅스 이태원거리점,골든 세서미 라떼,4100,용산구,F
28,113,스타벅스 순천향입구점,골든 세서미 라떼,4100,용산구,F
29,134,스타벅스 이촌점,골든 세서미 라떼,4100,용산구,F
30,157,스타벅스 효창공원앞역점,골든 세서미 라떼,4100,용산구,F
31,160,스타벅스 남영동점,골든 세서미 라떼,4100,용산구,F
32,206,스타벅스 용산파크타워점,골든 세서미 라떼,4100,용산구,F
33,67,배재란의커피클래스,에티오피아 모카 예가체프,6000,용산구,P
34,76,데바스테이트 한남점,아메리카노,6000,용산구,P
35,148,파치먼트 커피앤갤러리,Today's Wine One glass,6000,용산구,P
36,203,더샌디,음료,6000,용산구,P
37,219,쉼,아메리카노,6000,용산구,P
38,269,anslo,Espresso,6000,용산구,P
39,39,커피스미스 경리단길점,아이스 커피 프라페,5800,용산구,P
40,59,커피품격,싱글 오리진 - 스페셜티,5800,용산구,P
41,4,탄탈라이즈,케냐/에티오피아/코스타리카/르네테르,5500,용산구,P
42,14,라인프렌즈 이태원 플래그십스토어,BT21 BUN 스파이시 치킨번,5500,용산구,P
43,20,보난자커피,아메리카노,5500,용산구,P
44,33,어퍼콜라보,Americano (아메리카노),5500,용산구,P
45,41,을의커피,녹차비엔나,5500,용산구,P
46,108,FILL UP COFFEE,코코넛라떼,5500,용산구,P
47,187,탐앤탐스 용산전자랜드점,에스프레소 탐앤치노,5500,용산구,P
48,232,FILM CAFE BRADANA,아메리카노,5500,용산구,P
49,255,딩동클래식,햄치즈,5500,용산구,P
50,10,폴바셋 한남 커피스테이션점,카페라떼 (Standard),5300,용산구,F
51,183,폴바셋 동부이촌동점,카페라떼 (Standard),5300,용산구,F
53,0,앤트러사이트 한남점,아메리카노,5000,용산구,P
54,13,탐앤탐스 블랙 이태원점,아메리카노,5000,용산구,P
55,31,샹드마르스커피,아메리카노,5000,용산구,P
56,38,케냐키암부커피,아메리카노,5000,용산구,P
57,46,서울루덴스,아메리카노,5000,용산구,P
58,79,인바이티드,아메리카노,5000,용산구,P
59,86,카페미주리,아메리카노,5000,용산구,P
60,89,ELLIE1930,아메리카노,5000,용산구,P
61,103,Cafe Moss,아메리카노,5000,용산구,P
62,115,카페이중생활,아메리카노,5000,용산구,P
63,116,청파맨션,카페라떼비엔나,5000,용산구,P
64,155,해방커피,핸드드립 커피(라이트/미디움/다크/블랜딩/디카페인),5000,용산구,P
65,210,라잇비포,(얼음잔)클라우드 생맥주,5000,용산구,P
66,213,탐앤탐스 용산아이파크몰점,또띠아,5000,용산구,P
67,242,듀톤,FLAT WHITE,5000,용산구,P
68,290,베르노,수제레몬차/자몽차등,5000,용산구,P
69,17,커피앳웍스 트윈시티남산점,아메리카노,4800,용산구,P
70,18,유포리아커피로스터스,FLAT WHITE,4800,용산구,P
71,28,무진장,아메리카노/에스프레소,4800,용산구,P
72,40,커피빈 신용산역래미안점,아메리카노 S,4800,용산구,F
73,54,커피빈 이태원제일기획옆점,아메리카노 S,4800,용산구,F
74,55,커피빈 동부이촌동점,아메리카노 S,4800,용산구,F
75,56,커피빈 용산아이파크몰점,아메리카노 S,4800,용산구,F
76,64,엔제리너스 숙대입구점,아메리카노,4800,용산구,P
77,121,엔제리너스 용산아이파크몰점,아메리카노,4800,용산구,P
78,185,투더디프런트 이태원점,글램쿠키,4800,용산구,P
79,196,커피빈 이태원점,아메리카노 S,4800,용산구,F
80,241,엔제리너스 서울역KTX점,아메리카노,4800,용산구,P
81,305,청춘124,요거트펄,4800,용산구,P
82,51,아티제 동부이촌2점,아메리카노,4700,용산구,P
83,98,아티제 신용산역점,아메리카노,4700,용산구,P
84,26,헤븐온탑 동부이촌동,아메리카노 (hot/ice),4600,용산구,P
85,223,위긴티식스,아메리카노 - TWO,4600,용산구,P
86,3,맥심플랜트,아메리카노,4500,용산구,P
87,16,커피프레지던트,아이스 아메리카노,4500,용산구,P
88,24,원더커피,에스프레소(Espresso),4500,용산구,P
89,37,Apt Seoul,아메리카노,4500,용산구,P
90,44,테라로사 한남점,아메리카노 클래식 hot,4500,용산구,P
91,47,노들견우카페,쇼콜라라떼,4500,용산구,P
92,57,찬스브로스커피,아메리카노,4500,용산구,P
93,71,HACKNEY,아메리카노,4500,용산구,P
94,81,티알브이알카페,아메리카노,4500,용산구,P
95,85,아주작은커피가게,에티오피아첼바G1,4500,용산구,P
96,97,노들 직녀카페,아메리카노,4500,용산구,P
97,104,도레도레,아메리카노,4500,용산구,P
98,106,DORAZI17,아메리카노,4500,용산구,P
99,129,양민회관,아메리카노,4500,용산구,P
100,130,아나키브로스,아인슈페너,4500,용산구,P
101,235,Cafe In,아메리카노,4500,용산구,P
102,236,NARINO,카페라떼,4500,용산구,P
103,237,미에르,아메리카노,4500,용산구,P
104,287,빈스쿡,에스프레소 쉐이크,4500,용산구,P
105,191,미스랄라,녹차,4300,용산구,P
106,8,할리스커피 이태원점,카페 아메리카노,4100,용산구,F
107,27,할리스커피 한남순천향점,카페 아메리카노,4100,용산구,F
108,35,할리스커피 용산더프라임점,카페 아메리카노,4100,용산구,F
109,48,투썸플레이스 용산아이파크몰점,아메리카노,4100,용산구,F
110,50,할리스커피 용산아이파크몰 영풍문고점,카페 아메리카노,4100,용산구,F
111,60,할리스커피 용산리첸시아점,카페 아메리카노,4100,용산구,F
112,63,할리스커피 서울역KTX플랫폼점,카페 아메리카노,4100,용산구,F
113,69,투썸플레이스 이태원역점,아메리카노,4100,용산구,F
114,72,탐앤탐스커피이촌점,아메리카노 Tall,4100,용산구,P
115,80,투썸플레이스 용산LS타워점,카페 아메리카노,4100,용산구,F
116,83,달콤커피 한남동점,아메리카노,4100,용산구,F
117,145,카페필로스,아메리카노,4100,용산구,P
118,207,투썸플레이스 용산트윈시티점,카페 아메리카노,4100,용산구,F
119,209,카페네스카페 이태원점,네스카페 오리지날,4100,용산구,P
120,221,투썸플레이스 엔타워점,카페 아메리카노,4100,용산구,F
121,225,투썸플레이스 용산청파삼거리점,카페 아메리카노,4100,용산구,F
122,239,투썸플레이스 용산전자랜드점,아메리카노,4100,용산구,F
123,247,탐앤탐스 용산문배점,아메리카노,4100,용산구,P
124,257,빈스앤베리즈 서울역2호점,아메리카노,4100,용산구,P
125,1,업사이드커피,아메리카노,4000,용산구,P
126,5,코지빌라커피,아메리카노,4000,용산구,P
127,9,널담은공간 해방촌점,아메리카노,4000,용산구,P
128,15,커피스미스 이태원점,에스프레소,4000,용산구,P
129,34,오랑오랑,아메리카노,4000,용산구,P
130,42,마다가스카르,커피류,4000,용산구,P
131,84,파스쿠찌 경리단길점,아메리카노 R,4000,용산구,F
132,128,카페 드 파젠다,아메리카노,4000,용산구,P
133,147,후암동커피,핸드드립,4000,용산구,P
134,149,카페 아임히어,아메리카노 (hot/iced),4000,용산구,P
135,156,웨스트빙고,아메리카노,4000,용산구,P
136,158,파스쿠찌 용산더센트럴점,아메리카노,4000,용산구,F
137,194,espresso core,에스프레소 솔로,4000,용산구,P
138,230,카페딩동,아메리카노,4000,용산구,P
139,231,군바리스타용산직영점,아메리카노 1L,4000,용산구,P
140,238,파크15,latte,4000,용산구,P
141,240,꾸에바마테라,아메리카노 HOT,4000,용산구,P
142,300,익스페리멘털커피바,아메리카노,4000,용산구,P
143,2,겟썸커피 Hannam,더티카푸치노,3800,용산구,P
144,82,빈스앤베리즈 서울역1호점,에스프레소,3800,용산구,P
145,226,세이제로듀,아메리카노,3800,용산구,P
146,302,로뎀나무,아메리카노,3800,용산구,P
