,Unnamed: 0,카페,메뉴,가격,지역,구분
102,102,요거프레소 응암점,딸기 생크림 오믈렛(18EA),3500,은평구,F
0,109,달냥,비건 까르보나라,4500,은평구,P
3,3,스타벅스 구파발역점,골든 세서미 라떼,4100,은평구,F
4,4,스타벅스 은평구청입구점,골든 세서미 라떼,4100,은평구,F
30,30,스타벅스 구산역점,골든 세서미 라떼,4100,은평구,F
32,32,스타벅스 불광역점,골든 세서미 라떼,4100,은평구,F
36,36,스타벅스 연신내점,골든 세서미 라떼,4100,은평구,F
47,47,스타벅스 연신내역사거리점,골든 세서미 라떼,4100,은평구,F
70,70,스타벅스 구파발사거리점,골든 세서미 라떼,4100,은평구,F
96,96,스타벅스 은평이마트점,골든 세서미 라떼,4100,은평구,F
75,75,투썸플레이스 은평한옥마을점,키위바나나 주스,4100,은평구,F
126,33,수수가든카페,티라미수 케잌,4500,은평구,P
123,133,폴바셋 롯데몰은평점,카페라떼 (Standard),5300,은평구,P
118,6,동감커피집,핸드드립,5000,은평구,P
119,123,카페 빈버드,빈마끼아또,5000,은평구,P
121,136,프로즌빈카페,카페라떼,5000,은평구,P
122,236,토모,아메리카노,5000,은평구,P
14,14,커피빈 응암동점,아메리카노 S,4800,은평구,F
114,85,엔제리너스 불광역점,아메리카노,4800,은평구,P
115,161,엔제리너스 NC백화점 불광점,아메리카노,4800,은평구,P
116,175,엔제리너스 롯데몰은평4F점,아메리카노,4800,은평구,P
117,198,엔제리너스 롯데몰은평3F,아메리카노,4800,은평구,P
110,2,근린커피,아메리카노,4500,은평구,P
111,5,슬러프커피,카페라떼,4500,은평구,P
112,40,구름정원coffeezip,핸드드립커피,4500,은평구,P
113,146,카페로이스,레몬에이드,4500,은평구,P
7,7,할리스커피 연신내점,카페 아메리카노,4100,은평구,F
8,8,할리스커피 응암역점,카페 아메리카노,4100,은평구,F
9,9,할리스커피 구산역점,카페 아메리카노,4100,은평구,F
26,26,할리스커피 구파발역점,카페 아메리카노,4100,은평구,F
29,29,할리스커피 은평구청점,카페 아메리카노,4100,은평구,F
45,45,투썸플레이스 연신내점,아메리카노,4100,은평구,F
55,55,커피에반하다 녹번환희점,아메리카노,4100,은평구,F
62,62,커피에반하다 은평신사점,1500,4100,은평구,F
65,65,커피에반하다 은평진관점,아메리카노,4100,은평구,F
66,66,커피에반하다 응암서부병원점,아메리카노,4100,은평구,F
67,67,커피에반하다 은평녹번점,아메리카노,4100,은평구,F
69,69,투썸플레이스 은평뉴타운점,롱블랙/아메리카노,4100,은평구,F
76,76,투썸플레이스 은평구청점,아메리카노,4100,은평구,F
81,81,커피에반하다 은평뉴타운2호점,아메리카노,4100,은평구,F
99,1,은평커피로스터스,아메리카노,4000,은평구,P
100,12,커피생각,아메리카노,4000,은평구,P
103,16,탐앤탐스탐스커버리 DMC탐스커버리점,핫초코,4000,은평구,P
104,28,카페케일럽,커피,4000,은평구,P
105,88,커피트리,카페라떼,4000,은평구,P
106,89,커피바 피우,아메리카노,4000,은평구,P
107,110,커피집 숍,스무디,4000,은평구,P
108,140,카페디폴트,브라질세라도,4000,은평구,P
109,199,ISLAND 4199 COFFEE,아메리카노,4000,은평구,P
125,125,파스쿠찌 연신내점,아메리카노,4000,은평구,F
58,58,라떼떼커피 응암1호점,크림 베이글,3900,은평구,F
98,23,커피몽드,아메리카노,3900,은평구,P
86,86,커피마마 연신내우리집,아메리카노,3800,은평구,F
91,91,커피베이 불광동점,아메리카노,3800,은평구,F
93,93,커피빈치,아메리카노,3800,은평구,F
95,87,탐앤탐스 응암점,아메리카노,3800,은평구,P
97,147,카페라또,카페라떼(hot/ice),3800,은평구,P
120,120,아마스빈구산역점,아메리카노,3800,은평구,F
124,124,토프레소 증산벚꽃길점,아메리카노,3800,은평구,F
152,152,토프레소 은평점,아메리카노,3800,은평구,F
165,165,토프레소 은평구청입구점,아메리카노,3800,은평구,F
169,169,카페베네 비스포레센터점,아메리카노,3800,은평구,F
94,49,플로그,아메리카노(ice/hot),3600,은평구,P
11,11,요거프레소 새절역점,아메리카노(HOT/ICE),3500,은평구,F
79,10,아로이커피 은평점,아메리카노,3500,은평구,P
80,20,공음,아메리카노,3500,은평구,P
82,27,감성적커피,아메리카노,3500,은평구,P
83,80,코코치,아메리카노,3500,은평구,P
84,119,드립앤더치,아메리카노,3500,은평구,P
85,126,블랙밸런스,아메리카노,3500,은평구,P
87,138,다정한 망각,에스프레소 & 배리에이션,3500,은평구,P
88,139,프롬보람,아메리카노,3500,은평구,P
89,141,나띵베러,그린그레스 티,3500,은평구,P
90,196,빌바치,더치 아메리카노,3500,은평구,P
92,241,킹콩스푼,아메리카노,3500,은평구,P
78,172,카페쉼,아메리카노,3300,은평구,P
71,17,이디야커피 응암오거리점,카페 아메리카노,3200,은평구,P
72,39,이디야커피 백련산아이파크점,아메리카노,3200,은평구,P
74,63,이디야 연신내역점,라떼,3200,은평구,P
77,79,이디야커피 역촌진흥로점,아메리카노(HOT/ICE),3200,은평구,P
127,0,YM Coffee Project,핸드드립,3200,은평구,P
129,74,가정집커피,핸드드립,3200,은평구,P
130,92,행인당 연신내점,흑당버블밀크티,3200,은평구,P
131,13,이디야커피 연신내통일로점,아메리카노,3200,은평구,P
132,15,이디야 응암중앙점,아메리카노,3200,은평구,P
133,22,이디야커피 구파발역점,아메리카노,3200,은평구,P
134,24,이디야커피 은평구청점,아메리카노,3200,은평구,P
135,34,커피가지고,아메리카노,3200,은평구,P
136,35,커피리브,아메리카노,3200,은평구,P
137,37,아로이커피증산역점,아메리카노,3200,은평구,P
138,41,이디야커피 불광점,아메리카노,3200,은평구,P
139,42,커피더캠프 응암점,아메리카노,3200,은평구,P
140,43,이디야커피 갈현점,아메리카노,3200,은평구,P
141,44,도레도레,아메리카노,3200,은평구,P
142,46,커피시네마,아메리카노,3200,은평구,P
143,48,이디야커피 신사동고개삼거리점,아메리카노,3200,은평구,P
144,50,아로이커피 응암역점,아메리카노,3200,은평구,P
145,51,미스터브리즈커피 은평구청점,아메리카노,3200,은평구,P
146,52,이디야커피 구산사거리점,아메리카노,3200,은평구,P
147,53,coffeero153,아메리카노,3200,은평구,P
148,148,토프레소 응암역점,카페라떼,3200,은평구,F
149,54,이디야커피 녹번동점,아메리카노,3200,은평구,P
150,60,이디야 수색역점,아메리카노,3200,은평구,P
151,61,이디야커피 본서부병원점,아메리카노,3200,은평구,P
153,71,독바위커피,아메리카노,3200,은평구,P
154,77,불광동 커피공방,아메리카노,3200,은평구,P
155,82,커피올,아메리카노,3200,은평구,P
156,83,디핀커피,아메리카노,3200,은평구,P
157,84,커피데이은평응암서부점,아메리카노,3200,은평구,P
159,90,둘레커피,아메리카노,3200,은평구,P
160,94,슬럼프커피,아메리카노,3200,은평구,P
161,95,아이커피,아메리카노,3200,은평구,P
162,97,커피산책,아메리카노,3200,은평구,P
163,98,카파커피,아메리카노,3200,은평구,P
164,103,커피피플,아메리카노,3200,은평구,P
166,104,티십이커피,아메리카노,3200,은평구,P
167,105,커피향기,아메리카노,3200,은평구,P
168,106,또또커피호프,아메리카노,3200,은평구,P
171,107,써니데이커피,아메리카노,3200,은평구,P
172,108,크리스피크림도넛 롯데몰은평점,아메리카노,3200,은평구,P
173,111,커피&케이크뜰,아메리카노,3200,은평구,P
174,112,마루니,아메리카노,3200,은평구,P
175,113,커피앤드,아메리카노,3200,은평구,P
176,114,커피부엉이,아메리카노,3200,은평구,P
177,115,쉬크커피전문점,아메리카노,3200,은평구,P
178,116,진궁커피호프,아메리카노,3200,은평구,P
179,117,용궁커피호프,아메리카노,3200,은평구,P
180,118,어벤츄스앤드커피,아메리카노,3200,은평구,P
181,121,로스터리카페,아메리카노,3200,은평구,P
182,122,이디야 구산역점,아메리카노,3200,은평구,P
183,127,카페 스퀘어,아메리카노,3200,은평구,P
184,129,파스퇴르 밀크바,아메리카노,3200,은평구,P
185,130,카페문쌤,아메리카노,3200,은평구,P
186,134,이디야 역촌점,아메리카노,3200,은평구,P
187,137,이디야 불광중앙점,아메리카노,3200,은평구,P
188,143,우리동네 처음 생긴 카페 정우네,아메리카노,3200,은평구,P
189,144,카페크림새절역점,아메리카노,3200,은평구,P
190,145,카페1981,아메리카노,3200,은평구,P
191,149,나무자전거,아메리카노,3200,은평구,P
192,151,스무디킹,아메리카노,3200,은평구,P
193,153,이디야에스프레소 이마트은평점,아메리카노,3200,은평구,P
194,155,커피송,아메리카노,3200,은평구,P
195,156,이디야 연신내중앙점,아메리카노,3200,은평구,P
196,159,삼보당 호떡,아메리카노,3200,은평구,P
197,160,더루쓰,아메리카노,3200,은평구,P
198,162,이디야 역촌사거리점,아메리카노,3200,은평구,P
199,163,스트릿츄러스 롯데몰은평점,아메리카노,3200,은평구,P
200,166,골목카페,아메리카노,3200,은평구,P
201,167,125coffee 갈현점,아메리카노,3200,은평구,P
202,173,카페테루아,아메리카노,3200,은평구,P
203,174,도이창카페,아메리카노,3200,은평구,P
204,176,이디야 은평뉴타운점,아메리카노,3200,은평구,P
205,180,더카페 NC백화점불광점,아메리카노,3200,은평구,P
206,182,에꼴드크루아상,아메리카노,3200,은평구,P
207,183,아시카페 응평점,아메리카노,3200,은평구,P
208,185,생두,아메리카노,3200,은평구,P
209,186,공감,아메리카노,3200,은평구,P
210,188,펌카페,아메리카노,3200,은평구,P
211,190,CAFFETHOUART,아메리카노,3200,은평구,P
212,191,트랜스,아메리카노,3200,은평구,P
213,195,카페피보나치,아메리카노,3200,은평구,P
214,201,뉴욕커피숍 NC백화점불광점,아메리카노,3200,은평구,P
215,202,사랑채한방찻집,아메리카노,3200,은평구,P
216,204,공룡카페티렉스,아메리카노,3200,은평구,P
217,206,카페유로시안 은평점,아메리카노,3200,은평구,P
218,207,코와핀 연신내역점,아메리카노,3200,은평구,P
219,208,카페바이준,아메리카노,3200,은평구,P
220,209,카페BYJOO,아메리카노,3200,은평구,P
221,210,아이스팩토리,아메리카노,3200,은평구,P
222,211,공간까페스페이스북한산공원점,아메리카노,3200,은평구,P
223,213,갤러리식카페,아메리카노,3200,은평구,P
224,214,카페 21그램,아메리카노,3200,은평구,P
225,215,에스프레소인뉴욕,아메리카노,3200,은평구,P
226,216,트루비커피 불광역점,아메리카노,3200,은평구,P
227,217,CAFEPAUSE,아메리카노,3200,은평구,P
228,219,웰니스,아메리카노,3200,은평구,P
229,220,아이라이크,아메리카노,3200,은평구,P
230,221,굿모닝커피숍,아메리카노,3200,은평구,P
231,222,미미커피숍,아메리카노,3200,은평구,P
232,223,카페더함,아메리카노,3200,은평구,P
233,224,커피밀,아메리카노,3200,은평구,P
234,225,티니티니,아메리카노,3200,은평구,P
235,226,홀리더카페,아메리카노,3200,은평구,P
236,227,카페멘테2,아메리카노,3200,은평구,P
237,230,락카스테라,아메리카노,3200,은평구,P
238,231,위니비니,아메리카노,3200,은평구,P
239,232,로비토커피호프,아메리카노,3200,은평구,P
240,233,카페1969,아메리카노,3200,은평구,P
241,234,더카페 불광2001B1F점,아메리카노,3200,은평구,P
242,237,창문카페,아메리카노,3200,은평구,P
243,238,카페쁘아,아메리카노,3200,은평구,P
244,239,카페지하우스,아메리카노,3200,은평구,P
