,Unnamed: 0,카페,메뉴,가격,지역,구분
254,246,홈스테드 대학로점,머쉬룸 파니니 아메리카노 세트,8900,종로구,F
238,40,키미아트,아메리카노,6500,종로구,P
239,87,탐앤탐스커피성대입구점,청포도 슬러쉬,6500,종로구,F
240,206,TXT Coffee,브루잉 커피,6500,종로구,P
241,229,탐앤탐스 대학로2호점,청포도 슬러쉬,6500,종로구,F
242,245,작은인디아,차이,6500,종로구,P
205,10,스타벅스 광화문D타워점,골든 세서미 라떼,4100,종로구,F
206,14,스타벅스 마로니에공원점,골든 세서미 라떼,4100,종로구,F
207,15,스타벅스 더종로R점,골든 세서미 라떼,4100,종로구,F
208,22,스타벅스 광화문R점,골든 세서미 라떼,4100,종로구,F
209,24,스타벅스 삼청동점,골든 세서미 라떼,4100,종로구,F
210,35,스타벅스 종로3가점,골든 세서미 라떼,4100,종로구,F
211,37,스타벅스 안국점,골든 세서미 라떼,4100,종로구,F
212,38,스타벅스 스페이스본점,골든 세서미 라떼,4100,종로구,F
213,44,스타벅스 성대입구점,골든 세서미 라떼,4100,종로구,F
214,51,스타벅스 종각점,골든 세서미 라떼,4100,종로구,F
215,59,스타벅스 종로수송점,골든 세서미 라떼,4100,종로구,F
216,64,스타벅스 새문안로점,골든 세서미 라떼,4100,종로구,F
217,97,스타벅스 북촌로점,골든 세서미 라떼,4100,종로구,F
218,126,스타벅스 경복궁역점,골든 세서미 라떼,4100,종로구,F
219,141,스타벅스 혜화역점,골든 세서미 라떼,4100,종로구,F
220,170,스타벅스 동숭로아트점,골든 세서미 라떼,4100,종로구,F
221,175,스타벅스 서울극장점,골든 세서미 라떼,4100,종로구,F
222,178,스타벅스 정부서울청사R점,골든 세서미 라떼,4100,종로구,F
223,183,스타벅스 영풍문고점,골든 세서미 라떼,4100,종로구,F
224,187,스타벅스 적선점,골든 세서미 라떼,4100,종로구,F
225,189,스타벅스 주얼리시티점,골든 세서미 라떼,4100,종로구,F
226,208,스타벅스 대명거리점,골든 세서미 라떼,4100,종로구,F
227,218,스타벅스 동묘앞역점,골든 세서미 라떼,4100,종로구,F
228,220,스타벅스 이마빌딩점,골든 세서미 라떼,4100,종로구,F
229,235,스타벅스 경복궁사거리점,골든 세서미 라떼,4100,종로구,F
230,250,스타벅스 종로관수점,골든 세서미 라떼,4100,종로구,F
231,253,스타벅스 인사점,골든 세서미 라떼,4100,종로구,F
232,258,스타벅스 대학로점,골든 세서미 라떼,4100,종로구,F
233,260,스타벅스 광교점,골든 세서미 라떼,4100,종로구,F
