,Unnamed: 0,카페,메뉴,가격,지역,구분
87,87,빈스빈스 명동점,아이스크림와플,4100,중구,F
240,240,빈스빈스 신한은행점,아이스크림와플,4100,중구,F
145,145,요거프레소 순화포스코점,딸기 생크림 오믈렛(18EA),3500,중구,F
283,283,카페베네 충무로역점,초코악마빙수,4100,중구,F
32,32,카페코인,카페라떼,4500,중구,P
51,51,백두강산,black coffee,6500,중구,P
69,69,씨디티,코코넛커피스무디,6500,중구,P
76,76,탐앤탐스커피대한항공서소문점,청포도 슬러쉬,6500,중구,P
2,2,스타벅스 시청점,골든 세서미 라떼,4100,중구,F
13,13,스타벅스 한국프레스센터점,골든 세서미 라떼,4100,중구,F
18,18,스타벅스 대우재단빌딩점,골든 세서미 라떼,4100,중구,F
20,20,스타벅스 황학캐슬점,골든 세서미 라떼,4100,중구,F
29,29,스타벅스 소공동점,골든 세서미 라떼,4100,중구,F
31,31,스타벅스 연세세브란스점,골든 세서미 라떼,4100,중구,F
37,37,스타벅스 중구저동점,골든 세서미 라떼,4100,중구,F
43,43,스타벅스 을지로2가점,골든 세서미 라떼,4100,중구,F
50,50,스타벅스 무교동점,골든 세서미 라떼,4100,중구,F
53,53,스타벅스 을지로삼화타워점,골든 세서미 라떼,4100,중구,F
71,71,스타벅스 서소문로점,골든 세서미 라떼,4100,중구,F
74,74,스타벅스 남산단암점,골든 세서미 라떼,4100,중구,F
81,81,스타벅스 명동메트로점,골든 세서미 라떼,4100,중구,F
84,84,스타벅스 대한극장점,골든 세서미 라떼,4100,중구,F
86,86,스타벅스 서울중앙우체국점,골든 세서미 라떼,4100,중구,F
88,88,스타벅스 약수역점,골든 세서미 라떼,4100,중구,F
91,91,스타벅스 문화일보점,골든 세서미 라떼,4100,중구,F
102,102,스타벅스 국립중앙의료원점,골든 세서미 라떼,4100,중구,F
115,115,스타벅스 신당역점,골든 세서미 라떼,4100,중구,F
127,127,스타벅스 시청플러스점,골든 세서미 라떼,4100,중구,F
130,130,스타벅스 대한상공회의소R점,골든 세서미 라떼,4100,중구,F
135,135,스타벅스 명동길점,골든 세서미 라떼,4100,중구,F
138,138,스타벅스 동대문공원점,골든 세서미 라떼,4100,중구,F
155,155,스타벅스 명동입구점,골든 세서미 라떼,4100,중구,F
157,157,스타벅스 회현역점,골든 세서미 라떼,4100,중구,F
184,184,스타벅스 을지로내외빌딩R점,골든 세서미 라떼,4100,중구,F
188,188,스타벅스 동국대점,골든 세서미 라떼,4100,중구,F
190,190,스타벅스 소공로점,골든 세서미 라떼,4100,중구,F
192,192,스타벅스 신당역사거리점,골든 세서미 라떼,4100,중구,F
196,196,스타벅스 신세계본점5F점,골든 세서미 라떼,4100,중구,F
201,201,스타벅스 명동중앙로점,골든 세서미 라떼,4100,중구,F
202,202,스타벅스 신세계본점6F점,골든 세서미 라떼,4100,중구,F
217,217,스타벅스 명동미래점,골든 세서미 라떼,4100,중구,F
221,221,스타벅스 을지로경기빌딩점,골든 세서미 라떼,4100,중구,F
226,226,스타벅스 동대입구역점,골든 세서미 라떼,4100,중구,F
230,230,스타벅스 동대문두타점,골든 세서미 라떼,4100,중구,F
238,238,스타벅스 숭례문북창점,골든 세서미 라떼,4100,중구,F
241,241,스타벅스 퍼시픽타워점,골든 세서미 라떼,4100,중구,F
242,242,스타벅스 명동역점,골든 세서미 라떼,4100,중구,F
252,252,스타벅스 남산스테이트점,골든 세서미 라떼,4100,중구,F
254,254,스타벅스 서소문점,골든 세서미 라떼,4100,중구,F
258,258,스타벅스 순화동더샵점,골든 세서미 라떼,4100,중구,F
263,263,스타벅스 을지로한국빌딩점,골든 세서미 라떼,4100,중구,F
270,270,스타벅스 충무로역점,골든 세서미 라떼,4100,중구,F
281,281,스타벅스 명동센트럴점,골든 세서미 라떼,4100,중구,F
286,286,스타벅스 순화동에이스점,골든 세서미 라떼,4100,중구,F
290,290,스타벅스 을지로국제빌딩점,골든 세서미 라떼,4100,중구,F
38,38,프롱 스페셜티 커피,FILTER COFFEE,6000,중구,P
54,54,가무,비엔나 커피,6000,중구,P
63,63,mwm,에어로프레스 Black,5500,중구,P
100,100,카페코인,티라미수,5500,중구,P
70,70,폴바셋 코리아나호텔점,카페라떼 (Standard),5300,중구,F
117,117,폴바셋 을지로파인에비뉴점,카페라떼 (Standard),5300,중구,F
170,170,폴바셋 서대문역점,카페라떼 (Standard),5300,중구,F
177,177,폴바셋 롯데백화점본점,카페라떼 (Standard),5300,중구,F
178,178,폴바셋 페럼타워점,카페라떼 (Standard),5300,중구,F
193,193,폴바셋 명동점,카페라떼 (Standard),5300,중구,F
219,219,폴바셋 서소문점,카페라떼 (Standard),5300,중구,F
278,278,폴바셋 롯데백화점본점 2층,카페라떼 (Standard),5300,중구,F
4,4,탐앤탐스 블랙 청계광장점,아메리카노,5000,중구,P
7,7,커피사 마리아,드립커피,5000,중구,P
8,8,호텔수선화,핸드드립 커피,5000,중구,P
14,14,쎄투,블랙커피,5000,중구,P
41,41,아포테케리,카페라떼,5000,중구,P
77,77,남산커피집,핸드 드립,5000,중구,P
97,97,다담에뜰,녹차류,5000,중구,P
179,179,카페 돌담콩,바나나크레페,5000,중구,P
297,297,키친373,생강차,5000,중구,P
0,0,커피한약방,카페라떼,4800,중구,P
15,15,커피빈 동대입구역점,아메리카노 S,4800,중구,F
23,23,엔제리너스 서울역사점,아메리카노,4800,중구,F
27,27,엔제리너스 명동점,아메리카노,4800,중구,F
30,30,엔제리너스 무교점,아메리카노,4800,중구,F
40,40,커피빈 명동성당앞점,아메리카노 S,4800,중구,F
47,47,커피빈 서울시청뒤남강빌딩점,아메리카노 S,4800,중구,F
49,49,커피빈 명동나인트리호텔점,아메리카노 S,4800,중구,F
57,57,커피빈 을지로입구역점,아메리카노 S,4800,중구,F
60,60,커피빈 서울스퀘어점,아메리카노 S,4800,중구,F
73,73,커피빈 명동M플라자점,아메리카노 S,4800,중구,F
78,78,커피빈 충무로극동빌딩점,아메리카노 S,4800,중구,F
79,79,커피빈 무교점,아메리카노 S,4800,중구,F
89,89,카페오시정 SFC몰점,아메리카노,4800,중구,P
