,Unnamed: 0,카페,메뉴,가격,지역,구분
15,15,요거프레소 면목역점,딸기 생크림 오믈렛(18EA),3500,중랑구,F
119,119,요거프레소 동원사거리점,딸기 생크림 오믈렛(18EA),3500,중랑구,F
304,304,요거프레소 공릉2호점,딸기 생크림 오믈렛(18EA),3500,중랑구,F
0,0,스타벅스 사가정역점,골든 세서미 라떼,4100,중랑구,F
8,8,스타벅스 상봉역점,골든 세서미 라떼,4100,중랑구,F
27,27,스타벅스 중랑역점,골든 세서미 라떼,4100,중랑구,F
33,33,스타벅스 상봉점,골든 세서미 라떼,4100,중랑구,F
35,35,스타벅스 중랑구청점,골든 세서미 라떼,4100,중랑구,F
91,91,스타벅스 묵동이마트점,골든 세서미 라떼,4100,중랑구,F
258,258,스타벅스 공릉DT점,골든 세서미 라떼,4100,중랑구,F
276,276,스타벅스 장한평역점,골든 세서미 라떼,4100,중랑구,F
277,277,스타벅스 공릉역점,골든 세서미 라떼,4100,중랑구,F
278,278,스타벅스 월계트레이더스점,골든 세서미 라떼,4100,중랑구,F
285,285,스타벅스 외대점,골든 세서미 라떼,4100,중랑구,F
299,299,스타벅스 광운대점,골든 세서미 라떼,4100,중랑구,F
105,105,투썸플레이스 서일대점,스파이시 튜나 바게트,4100,중랑구,F
248,248,아차산로 59,아메리카노,6000,중랑구,P
116,116,투썸플레이스 cgv상봉점,아이스카페모카,4100,중랑구,F
245,245,모던기와커피,아메리카노,5000,중랑구,P
108,108,제일커피호프,아메리카노,5000,중랑구,F
246,246,아펜즈커피,아메리카노,4900,중랑구,P
7,7,커피빈 상봉엔터식스점,아메리카노 S,4800,중랑구,F
10,10,커피빈 상봉역점,아메리카노 S,4800,중랑구,F
113,113,엔제리너스 사가정역점,아메리카노,4800,중랑구,F
257,257,커피빈 외대앞점,아메리카노 S,4800,중랑구,F
263,263,커피빈 장안점,아메리카노 S,4800,중랑구,F
12,12,봉화산커피,녹차 프라페,4500,중랑구,P
34,34,카페레블,밀크티,4500,중랑구,P
253,253,호호커피집,아메리카노,4500,중랑구,P
259,259,커피볶는성군 1호점,크림라테,4500,중랑구,P
290,290,ddami coffee,더치아메리카노,4500,중랑구,P
298,298,이너모스트,카페라떼,4500,중랑구,P
